Home Team,Away Team,Game Time
CHA,DET,September 28 @ 3:40PM
CHA,DET,September 28 @ 11:33PM
BOS,BAL,September 28 @ 1:05PM
KCA,MIN,September 28 @ 2:15PM
TOR,TBA,September 28 @ 3:07PM
WAS,CLE,September 28 @ 4:05PM
SFN,LAN,September 28 @ 4:05PM
PHI,FLO,September 28 @ 6:05PM
PIT,CIN,September 28 @ 7:05PM
SLN,CHN,September 28 @ 7:15PM
NYN,ATL,September 28 @ 7:15PM
TEX,NYA,September 28 @ 8:05PM
ARI,SDN,September 28 @ 8:10PM
COL,MIL,September 28 @ 8:10PM
ANA,HOU,September 28 @ 9:07PM
SEA,OAK,September 28 @ 9:10PM
