Home Team,Away Team,Game Time
CLE,MIN,September 14 @ 1:10PM
CLE,MIN,September 14 @ 7:10PM
CHN,PIT,September 14 @ 2:20PM
TOR,NYA,September 14 @ 3:07PM
WAS,ATL,September 14 @ 4:05PM
DET,BAL,September 14 @ 6:10PM
PHI,BOS,September 14 @ 7:05PM
NYN,LAN,September 14 @ 7:10PM
SLN,MIL,September 14 @ 7:15PM
KCA,HOU,September 14 @ 7:15PM
TEX,OAK,September 14 @ 8:05PM
ARI,CIN,September 14 @ 8:10PM
COL,SDN,September 14 @ 8:10PM
SFN,FLO,September 14 @ 9:05PM
ANA,TBA,September 14 @ 9:07PM
SEA,CHA,September 14 @ 9:10PM
