Home Team,Away Team,Game Time
WAS,PHI,June 18 @ 7:05PM
PIT,DET,June 18 @ 7:05PM
NYA,TBA,June 18 @ 7:05PM
TOR,ANA,June 18 @ 7:07PM
CIN,HOU,June 18 @ 7:10PM
ATL,NYN,June 18 @ 7:20PM
TEX,CLE,June 18 @ 8:05PM
CHN,CHA,June 18 @ 8:05PM
MIN,BOS,June 18 @ 8:10PM
SLN,FLO,June 18 @ 8:15PM
ARI,COL,June 18 @ 9:40PM
OAK,BAL,June 18 @ 10:07PM
SEA,KCA,June 18 @ 10:10PM
SDN,MIL,June 18 @ 10:10PM
LAN,SFN,June 18 @ 10:10PM
