Home Team,Away Team,Game Time
BOS,BAL,April 13 @ 1:05PM
NYA,CHA,April 13 @ 1:05PM
MIN,DET,April 13 @ 2:10PM
CHN,ANA,April 13 @ 2:20PM
TOR,TBA,April 13 @ 3:07PM
WAS,PIT,April 13 @ 4:05PM
SFN,COL,April 13 @ 4:05PM
FLO,PHI,April 13 @ 6:10PM
CIN,SLN,April 13 @ 7:10PM
KCA,CLE,April 13 @ 7:15PM
ATL,NYN,April 13 @ 7:20PM
TEX,OAK,April 13 @ 8:05PM
ARI,SDN,April 13 @ 8:10PM
SEA,HOU,April 13 @ 9:10PM
LAN,MIL,April 13 @ 9:10PM
