Home Team,Away Team,Game Time
CHA,DET,September 27 @ 4:10PM
CHA,DET,September 27 @ 11:33PM
PHI,FLO,September 27 @ 7:05PM
WAS,CLE,September 27 @ 7:05PM
PIT,CIN,September 27 @ 7:05PM
TOR,TBA,September 27 @ 7:07PM
BOS,BAL,September 27 @ 7:10PM
NYN,ATL,September 27 @ 7:10PM
TEX,NYA,September 27 @ 8:05PM
COL,MIL,September 27 @ 8:10PM
SLN,CHN,September 27 @ 8:15PM
KCA,MIN,September 27 @ 8:15PM
ARI,SDN,September 27 @ 9:40PM
ANA,HOU,September 27 @ 10:07PM
SEA,OAK,September 27 @ 10:10PM
SFN,LAN,September 27 @ 10:15PM
