Home Team,Away Team,Game Time
SLN,WAS,September 18 @ 1:15PM
COL,NYN,September 18 @ 3:10PM
OAK,KCA,September 18 @ 3:37PM
ARI,FLO,September 18 @ 3:40PM
NYA,ANA,September 18 @ 6:35PM
BAL,TOR,September 18 @ 7:05PM
PIT,SEA,September 18 @ 7:05PM
BOS,SFN,September 18 @ 7:10PM
CLE,DET,September 18 @ 7:10PM
ATL,PHI,September 18 @ 7:20PM
MIL,SDN,September 18 @ 7:40PM
MIN,CHA,September 18 @ 7:40PM
CHN,CIN,September 18 @ 8:05PM
HOU,TEX,September 18 @ 8:10PM
LAN,TBA,September 18 @ 8:10PM
