Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100418,TBA,AL,12,BOS,AL,12,7,1,54,BOS07,37143,32,7,2,0,2,7,1,0,0,6,0,6,3,0,2,0,5,2,1,1,0,0,27,13,0,0,3,0,27,5,2,0,0,1,0,1,0,2,0,5,0,0,3,0,2,3,7,7,0,0,27,15,1,0,2,0,garzm001,lestj001,,garzm001,lestj001,12,Apr 18,@,BOS,"W,7-1",9.0,5,1,1,0,2,5,0,0,3.62,30,133,77,0,0,0,0,27,2,0,0,0,1,0,3,2,Ted Barrett,"M.Garza (5-77-W), M.Ekstrom (7)",,0.21875,0.18518518518518517,0.34210526315789475,0.23333333333333334,0.46875,0.25925925925925924,0.8108552631578947,0.4925925925925926,1.0,1.0,0.7777777777777778,0.16666666666666666,0.06666666666666667,0.21739130434782608
20100419,TBA,AL,13,BOS,AL,13,8,2,54,BOS07,37609,35,12,4,1,1,8,1,1,0,3,0,5,1,0,1,0,5,2,2,2,0,0,27,9,0,0,1,0,30,5,1,0,1,2,1,0,0,3,0,4,0,0,1,0,5,4,8,8,0,0,27,10,1,0,1,0,niemj001,lackj001,,niemj001,lackj001,13,Apr 19,@,BOS,"W,8-2",9.0,5,2,2,0,3,4,1,0,3.5,34,119,75,0,0,0,0,30,1,0,0,1,0,0,1,2,Angel Campos,"J.Niemann (5-60-W), A.Sonnanstine (1)",,0.34285714285714286,0.16666666666666666,0.38461538461538464,0.24242424242424243,0.6,0.3,0.9846153846153847,0.5424242424242425,1.0,1.0,0.8888888888888888,0.11764705882352941,0.08823529411764706,0.16
20100420,TBA,AL,14,CHA,AL,14,1,4,51,CHI12,19260,29,3,0,0,1,1,0,0,0,2,0,10,0,1,1,0,3,3,4,4,0,0,24,8,1,0,0,0,30,7,1,1,2,3,1,0,0,3,1,6,0,0,0,0,6,2,1,1,0,0,27,11,1,0,1,0,dankj001,pricd001,jenkb001,pricd001,dankj001,14,Apr 20,@,CHW,"L,1-4",8.0,7,4,4,0,3,6,2,0,3.56,34,126,78,1,0,0,0,30,1,1,1,1,0,0,0,3,Joe West,"D.Price (5-43-L), G.Balfour (3), D.Wheeler (2)",,0.10344827586206896,0.23333333333333334,0.16129032258064516,0.30303030303030304,0.20689655172413793,0.5333333333333333,0.3681868743047831,0.8363636363636364,0.0,1.0,1.25,0.17647058823529413,0.08823529411764706,0.22727272727272727
20100421,TBA,AL,15,CHA,AL,15,12,0,54,CHI12,17023,36,13,4,0,1,12,1,2,0,8,0,10,0,1,0,0,8,3,0,0,0,0,27,11,1,0,1,0,30,4,0,0,0,0,0,0,0,4,0,10,1,1,1,0,7,6,11,11,1,0,27,10,1,0,0,0,daviw001,buehm001,,daviw001,buehm001,15,Apr 21,@,CHW,"W,12-0",9.0,4,0,0,0,4,10,0,0,3.33,34,140,90,0,0,1,1,30,0,0,0,0,0,1,1,3,Angel Hernandez,"W.Davis (4-71-W), M.Ekstrom (2), A.Sonnanstine (1)",,0.3611111111111111,0.13333333333333333,0.45652173913043476,0.23529411764705882,0.5555555555555556,0.13333333333333333,1.0120772946859904,0.3686274509803922,1.0,0.0,0.8888888888888888,0.29411764705882354,0.11764705882352941,0.2
20100422,TBA,AL,16,CHA,AL,16,10,2,54,CHI12,18207,38,11,5,0,0,10,0,0,0,10,1,7,1,0,0,0,11,3,2,2,0,0,27,14,2,0,1,0,33,6,0,0,1,2,0,0,0,3,0,3,1,0,1,0,7,4,10,10,0,0,27,7,0,0,0,0,shiej002,peavj001,,shiej002,peavj001,16,Apr 22,@,CHW,"W,10-2",9.0,6,2,2,0,3,3,1,0,3.24,36,132,80,0,0,1,0,33,0,0,0,0,0,2,1,3,Paul Schrieber,"J.Shields (4-57-W), L.Cormier (5), A.Sonnanstine (0)",,0.2894736842105263,0.18181818181818182,0.4375,0.25,0.42105263157894735,0.2727272727272727,0.8585526315789473,0.5227272727272727,1.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.1724137931034483
20100423,TOR,AL,17,TBA,AL,17,6,5,54,STP01,22056,38,11,6,0,1,6,0,0,1,5,1,12,1,0,0,0,11,4,5,5,0,1,27,5,0,0,0,0,36,9,2,0,2,5,0,0,0,3,0,10,2,0,0,0,7,6,6,6,1,0,27,5,0,0,0,0,cecib001,garzm001,gregk001,cecib001,garzm001,17,Apr 23,1,TOR,"L,5-6",9.0,11,6,6,0,5,12,1,1,3.4,44,161,108,3,0,1,0,38,6,0,1,0,0,0,0,6,Dan Bellino,"M.Garza (4-33-L), G.Balfour (2), D.Wheeler (2), R.Choate (5), L.Cormier (0), R.Soriano (5)",,0.2894736842105263,0.25,0.38636363636363635,0.3076923076923077,0.5263157894736842,0.4722222222222222,0.9126794258373205,0.7799145299145299,0.0,1.0,1.7777777777777777,0.2727272727272727,0.11363636363636363,0.4
20100424,TOR,AL,18,TBA,AL,18,3,9,51,STP01,23870,33,6,1,0,2,3,0,0,1,2,1,10,1,0,0,0,6,4,9,9,1,0,24,12,2,0,1,0,34,11,2,0,1,9,1,0,1,5,1,3,0,0,1,0,8,5,3,3,0,0,27,7,0,0,0,0,wheed001,downs001,,romer002,niemj001,18,Apr 24,1,TOR,"W,9-3",9.0,6,3,3,0,2,10,2,1,3.38,36,120,76,5,0,1,0,33,1,0,1,0,0,0,0,5,Jerry Layne,"J.Niemann (4-59), R.Choate (0), L.Cormier (0), D.Wheeler (0-W), M.Ekstrom (2)",,0.18181818181818182,0.3235294117647059,0.25,0.425,0.3939393939393939,0.47058823529411764,0.6439393939393939,0.8955882352941176,1.0,0.0,0.8888888888888888,0.2777777777777778,0.05555555555555555,0.19047619047619047
20100425,TOR,AL,19,TBA,AL,19,0,6,51,STP01,23250,30,4,2,0,0,0,0,0,0,1,0,9,0,0,1,0,4,4,6,6,0,0,24,13,0,0,1,0,27,8,3,0,0,6,0,0,1,8,0,9,0,4,1,0,6,1,0,0,0,1,27,11,0,0,1,0,pricd001,morrb001,,morrb001,pricd001,19,Apr 25,1,TOR,"W,6-0",9.0,4,0,0,0,1,9,0,0,3.21,31,108,76,1,1,0,0,30,2,0,0,0,0,0,1,1,Mike Winters,D.Price (4-87-W),,0.13333333333333333,0.2962962962962963,0.16129032258064516,0.4722222222222222,0.2,0.4074074074074074,0.3612903225806452,0.8796296296296295,1.0,1.0,0.5555555555555556,0.2903225806451613,0.03225806451612903,0.19047619047619047
20100427,OAK,AL,21,TBA,AL,20,6,8,51,STP01,10825,38,13,3,0,1,6,0,1,0,2,0,9,0,0,0,0,8,5,8,8,0,0,24,7,1,0,0,0,35,12,2,0,2,8,0,0,0,2,0,5,0,1,0,0,5,5,6,6,0,0,27,8,0,0,0,0,daviw001,sheeb001,sorir001,sheeb001,daviw001,20,Apr 27,1,OAK,"W,8-6",9.0,13,6,6,0,2,9,1,0,3.34,41,168,110,2,0,0,0,38,3,0,0,0,1,0,0,5,Mike Everitt,"W.Davis (5-39-W), L.Cormier (2), R.Choate (2-H), G.Balfour (3-H), R.Soriano (3-Sv)",,0.34210526315789475,0.34285714285714286,0.36585365853658536,0.3783783783783784,0.5,0.5714285714285714,0.8658536585365854,0.9498069498069498,1.0,1.0,1.6666666666666667,0.21951219512195122,0.04878048780487805,0.41379310344827586
20100428,OAK,AL,22,TBA,AL,21,3,10,51,STP01,10691,39,10,2,0,2,2,0,0,0,1,0,12,0,0,0,0,10,4,10,10,2,0,24,8,2,0,1,0,37,14,3,0,2,8,0,1,0,4,0,5,0,0,1,0,8,2,2,2,0,0,27,7,3,1,0,0,shiej002,bradd002,,bradd002,shiej002,21,Apr 28,1,OAK,"W,10-3",9.0,10,3,2,1,1,12,2,0,3.28,40,134,91,0,0,0,0,39,2,0,0,0,0,3,0,2,Andy Fletcher,"J.Shields (5-70-W), A.Sonnanstine (5)",,0.2564102564102564,0.3783783783783784,0.275,0.42857142857142855,0.46153846153846156,0.6216216216216216,0.7365384615384616,1.05019305019305,1.0,1.0,1.2222222222222223,0.3,0.025,0.32
