Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
12885,20100417,westj001,CLE,14,29,0,0,1,3,2,0,0,11,0,6,1,2,1,6,0,3,27,3,0,0,3,0,3,2,0,1,4,0,AL,AL,51,thorm001,CLE08,perec002,,peavj001,12,3,0,2,CHA,10,29,0,0,0,0,3,0,2,0,5,0,3,0,0,2,24,2,0,2,4,3,0,0,3,0,lewij003,0.1724137931034483,0.20689655172413793,0.25,0.30303030303030304,0.27586206896551724,0.4482758620689655,0.5258620689655172,0.7513061650992685,1.0,1.0
10564,20100418,carmf001,CLE,9,30,0,0,0,0,1,0,2,12,0,8,1,4,0,5,0,6,27,7,0,0,7,0,10,4,0,0,6,0,AL,AL,51,floyg001,CLE08,perec002,,floyg001,13,9,0,4,CHA,10,35,0,0,1,2,2,1,0,0,10,0,7,0,0,5,24,4,1,3,5,7,0,0,4,2,carmf001,0.2857142857142857,0.26666666666666666,0.35,0.3888888888888889,0.34285714285714286,0.4,0.6928571428571428,0.788888888888889,1.0,1.0
38985,20100420,slowk001,MIN,11,28,0,0,0,0,1,0,2,14,1,6,0,1,0,6,0,2,27,3,1,0,5,0,7,1,0,0,5,0,AL,AL,51,mastj001,MIN04,,,mastj001,13,4,0,1,CLE,10,32,0,0,0,2,1,2,0,0,5,1,2,0,0,4,24,1,0,0,9,2,0,0,0,1,slowk001,0.15625,0.21428571428571427,0.15625,0.34285714285714286,0.28125,0.25,0.4375,0.5928571428571429,0.0,1.0
39044,20100421,lirif001,MIN,13,28,0,0,0,2,0,0,2,15,0,6,1,0,0,4,0,2,27,6,0,0,6,0,3,0,0,1,6,0,AL,AL,51,huffd001,MIN04,,,huffd001,14,7,0,0,CLE,9,32,0,0,0,2,2,0,1,0,7,0,6,0,0,3,24,0,0,0,7,6,0,0,2,1,lirif001,0.21875,0.21428571428571427,0.2647058823529412,0.35294117647058826,0.28125,0.39285714285714285,0.5459558823529411,0.7457983193277311,0.0,0.0
38810,20100422,bakes002,MIN,14,27,0,0,0,1,1,0,4,16,0,4,0,8,0,2,0,5,27,1,0,0,1,0,4,8,0,0,3,0,AL,AL,54,bakes002,MIN04,,,talbm001,15,5,0,8,CLE,13,35,0,1,1,4,6,1,1,0,11,1,0,0,0,3,27,8,1,0,6,0,0,0,4,0,talbm001,0.3142857142857143,0.14814814814814814,0.375,0.23333333333333334,0.5714285714285714,0.18518518518518517,0.9464285714285714,0.4185185185185185,1.0,0.0
11547,20100423,duchj001,OAK,16,37,0,0,0,5,2,0,2,18,0,12,1,0,0,6,0,3,27,10,0,0,10,0,2,0,0,0,3,0,AL,AL,51,westj001,OAK01,,,westj001,16,4,0,0,CLE,14,26,0,0,0,2,0,3,5,0,5,0,5,0,0,3,24,0,0,0,6,5,0,0,5,1,duchj001,0.19230769230769232,0.32432432432432434,0.3225806451612903,0.375,0.19230769230769232,0.4594594594594595,0.5148883374689827,0.8344594594594594,0.0,1.0
15873,20100424,andeb004,OAK,11,33,0,0,0,0,0,0,1,19,0,7,0,6,0,6,0,5,27,1,0,0,1,0,4,6,0,0,1,0,AL,AL,54,gaudc001,OAK01,,,carmf001,17,8,3,6,CLE,11,33,0,0,0,1,1,0,0,0,9,0,1,1,0,3,27,6,0,1,6,1,0,0,5,1,carmf001,0.2727272727272727,0.21212121212121213,0.3684210526315789,0.23529411764705882,0.30303030303030304,0.21212121212121213,0.671451355661882,0.4474153297682709,1.0,0.0
16946,20100425,gonzg003,OAK,7,37,0,0,0,0,4,0,1,20,0,15,1,0,0,7,0,3,27,11,0,0,11,0,5,0,0,2,5,0,AL,AL,51,mastj001,OAK01,,,mastj001,18,8,0,0,CLE,13,33,0,0,1,1,2,0,0,0,7,0,11,0,0,4,24,0,0,0,6,11,0,0,2,0,gonzg003,0.21212121212121213,0.40540540540540543,0.2571428571428571,0.47619047619047616,0.2727272727272727,0.7027027027027027,0.5298701298701298,1.178893178893179,0.0,1.0
34837,20100426,weavj003,ANA,7,35,0,0,0,0,4,1,2,21,0,15,2,2,0,12,0,6,27,5,1,1,5,1,7,2,0,0,4,0,AL,AL,51,huffd001,ANA01,fuenb001,,huffd001,19,14,0,2,CLE,9,36,0,0,0,2,1,0,0,0,8,1,5,0,0,3,24,2,0,1,13,5,0,0,7,0,weavj003,0.2222222222222222,0.42857142857142855,0.3488372093023256,0.475,0.3333333333333333,0.7142857142857143,0.6821705426356589,1.1892857142857143,0.0,0.0
39619,20100427,saunj001,ANA,14,35,0,0,0,3,0,0,0,22,0,9,1,9,0,10,0,4,27,2,0,0,2,0,4,9,0,0,4,2,AL,AL,54,saunj001,ANA01,,,talbm001,20,13,1,9,CLE,11,40,0,0,0,0,5,0,2,0,18,1,2,1,0,4,27,9,1,0,2,2,0,0,7,0,talbm001,0.45,0.2571428571428571,0.5208333333333334,0.3333333333333333,0.65,0.34285714285714286,1.1708333333333334,0.6761904761904762,1.0,0.0
