Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20100421,TEX,AL,14,BOS,AL,15,7,8,71,BOS07,37518,1.3E+11,14110000001,40,8,2,1,1,7,1,1,0,5,0,10,3,0,1,0,4,6,8,8,0,0,35,11,0,0,1,0,43,9,2,0,3,8,0,0,0,6,1,12,0,0,1,0,6,4,7,7,0,0,36,15,0,0,2,0,okajh001,nippd001,,harrm001,beckj002
20100422,TEX,AL,15,BOS,AL,16,3,0,54,BOS07,37417,300,0,33,7,3,0,0,3,0,0,0,2,1,11,2,0,1,0,5,3,0,0,0,0,27,17,0,0,2,0,31,6,0,0,0,0,0,0,0,2,0,4,0,0,2,0,6,3,3,3,0,0,27,8,2,0,1,0,wilsc004,buchc001,olivd001,wilsc004,buchc001
20100423,BAL,AL,17,BOS,AL,17,3,4,51,BOS07,37367,210,01101001x,34,9,2,0,1,3,0,0,1,7,1,9,1,1,1,0,12,6,4,4,0,0,24,11,2,0,3,0,26,6,0,0,1,3,1,1,0,7,1,0,0,0,3,0,7,5,3,3,1,0,27,14,0,0,1,0,delcm001,albem001,papej001,guthj001,lestj001
20100424,BAL,AL,18,BOS,AL,18,6,7,51,BOS07,38017,20001003,00001060x,42,17,2,0,2,5,0,0,0,2,0,6,0,0,2,0,11,4,7,7,0,0,24,7,0,0,1,0,32,9,1,0,3,7,0,0,0,4,0,8,1,0,1,0,5,4,6,6,0,0,27,12,1,0,2,0,lackj001,albem001,papej001,matub001,lackj001
20100425,BAL,AL,19,BOS,AL,19,7,6,60,BOS07,37102,100003003,40002,45,14,4,0,1,7,0,0,0,2,0,10,1,0,0,0,10,6,6,6,1,0,30,7,0,0,0,0,41,13,4,0,0,6,1,1,0,3,0,6,0,0,0,0,10,6,7,7,0,0,30,5,1,0,0,0,johnj010,atchs001,merec001,hernd002,waket001
20100426,BOS,AL,20,TOR,AL,20,13,12,54,TOR02,13847,104314000,6211020,45,18,4,0,0,12,0,0,1,4,0,11,2,0,0,0,10,7,12,12,0,0,27,4,0,0,0,0,42,16,4,2,2,12,0,1,0,4,0,9,0,0,0,0,8,6,13,13,2,0,27,8,0,0,0,0,schos001,camps002,papej001,beckj002,eveld001
20100427,BOS,AL,21,TOR,AL,21,2,1,54,TOR02,14776,10000010,100000000,33,7,1,0,0,2,0,0,0,5,0,7,0,0,1,0,9,2,1,1,0,0,27,10,1,0,0,0,34,7,1,0,0,1,0,0,0,2,0,4,0,0,0,0,8,3,2,2,0,0,27,11,0,0,1,0,buchc001,downs001,ramir003,buchc001,marcs001
20100428,BOS,AL,22,TOR,AL,22,2,0,54,TOR02,15276,1100,0,33,8,4,0,0,2,0,1,0,1,0,6,1,0,1,0,6,3,0,0,0,0,27,8,0,0,0,0,28,2,2,0,0,0,0,0,0,2,0,15,0,1,0,0,3,4,2,2,0,0,27,8,0,0,1,0,lestj001,cecib001,papej001,lestj001,cecib001
20100430,BOS,AL,23,BAL,AL,23,4,5,59,BAL12,30668,100011100,2001000101,35,8,0,0,3,4,0,0,0,10,0,8,0,1,1,0,11,5,4,4,0,0,29,10,2,0,2,0,35,9,2,0,1,4,0,1,0,4,1,10,0,2,1,0,6,7,4,4,0,0,30,11,0,0,3,0,albem001,ramir003,,lackj001,hernd002
20100501,BOS,AL,24,BAL,AL,24,9,12,51,BAL12,35164,11200410,10006410x,39,12,3,0,4,9,0,0,0,1,0,6,0,0,0,0,4,3,11,11,0,0,24,11,1,0,1,0,34,12,1,0,5,12,0,0,0,3,0,6,0,1,1,0,1,5,9,9,0,0,27,12,0,0,0,0,bergb002,matsd001,simoa001,matsd001,bergb002
20100502,BOS,AL,25,BAL,AL,25,2,3,57,BAL12,34255,101000,2000001,31,7,0,0,2,2,1,0,0,5,0,7,1,1,2,0,5,3,2,2,0,0,27,9,1,0,1,0,34,10,3,0,0,3,1,0,2,2,1,8,0,1,1,0,9,3,2,2,0,0,30,12,0,0,3,0,albem001,papej001,,beckj002,millk004
20100503,ANA,AL,27,BOS,AL,26,8,17,51,BOS07,37404,301004,03220730x,36,12,3,0,0,8,0,2,0,5,0,4,0,2,0,0,8,4,17,17,1,0,24,12,1,0,1,0,43,20,7,0,4,17,0,0,1,6,1,6,0,0,1,0,9,4,8,8,0,0,27,14,1,0,0,0,buchc001,saunj001,,saunj001,buchc001
20100504,ANA,AL,28,BOS,AL,27,1,5,51,BOS07,37411,100000,10000004x,29,5,2,0,0,1,1,0,0,2,0,7,1,0,2,0,4,3,5,5,0,0,24,8,1,0,2,0,34,11,6,0,0,5,0,0,0,5,0,8,0,0,2,0,10,2,1,1,0,0,27,15,0,0,2,0,lestj001,jepsk001,,sante001,lestj001
20100505,ANA,AL,29,BOS,AL,28,1,3,51,BOS07,37601,10000,01010001x,28,2,0,0,1,1,0,0,1,2,0,6,0,0,1,0,3,3,3,3,0,0,24,11,0,0,2,0,32,11,1,0,2,3,0,0,0,4,0,8,0,0,0,0,9,3,1,1,0,0,27,14,0,0,1,0,lackj001,pinej001,papej001,pinej001,lackj001
20100506,ANA,AL,30,BOS,AL,29,6,11,51,BOS07,37639,400002000,00205400x,35,9,4,0,1,6,0,0,0,5,0,7,3,0,1,0,7,4,8,8,0,0,24,8,2,0,0,0,36,11,3,1,1,11,0,0,1,8,0,5,0,1,0,0,10,4,6,6,0,0,27,12,0,0,1,0,matsd001,kazms001,,kazms001,matsd001
20100507,NYA,AL,28,BOS,AL,30,10,3,54,BOS07,37898,306010,101010,35,11,1,0,1,10,0,2,2,3,1,9,0,0,1,0,5,3,3,3,0,0,27,9,0,0,1,0,34,9,1,0,0,3,0,1,0,3,0,9,0,0,1,0,8,3,10,10,2,0,27,10,0,1,1,0,hughp001,beckj002,,hughp001,beckj002
