Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20100416","FLO","NL",11,"PHI","NL",10,6,8,51,"PHI13",45245,"000100014","31100030x",39,14,2,0,1,6,1,0,0,0,0,4,0,0,1,0,7,3,8,8,0,0,24,9,1,0,2,0,33,12,2,0,2,8,0,1,0,6,0,2,0,0,1,0,8,3,6,6,0,0,27,15,0,0,1,0,"hallr001","Roy Halladay","sanca004","Anibal Sanchez","madsr001","Ryan Madson","sanca004","Anibal Sanchez","hallr001","Roy Halladay",
"20100417","FLO","NL",12,"PHI","NL",11,5,1,54,"PHI13",45305,"500000000","000000001",32,6,0,0,1,5,0,0,0,3,0,8,1,1,0,0,3,1,1,1,0,0,27,7,0,0,2,0,30,5,0,0,1,1,0,0,0,3,0,4,0,0,2,0,5,3,5,5,0,0,27,10,0,0,0,0,"nolar001","Ricky Nolasco","moyej001","Jamie Moyer","","(none)","nolar001","Ricky Nolasco","moyej001","Jamie Moyer",
"20100418","FLO","NL",13,"PHI","NL",12,2,0,54,"PHI13",45405,"010000001","000000000",35,8,3,0,1,2,0,0,0,0,0,10,1,0,0,0,6,3,0,0,0,0,27,11,1,0,0,0,31,4,1,0,0,0,1,0,0,4,0,7,0,0,0,0,9,2,2,2,0,0,27,10,0,0,0,0,"roben001","Nate Robertson","hamec001","Cole Hamels","nunel001","Leo Nunez","roben001","Nate Robertson","hamec001","Cole Hamels",
"20100420","FLO","NL",14,"HOU","NL",13,5,7,51,"HOU03",24135,"210001001","11000113x",35,10,1,0,1,5,1,0,0,0,0,3,1,0,1,0,4,2,7,7,0,0,24,9,1,0,0,0,31,9,3,0,1,7,3,0,0,3,0,2,2,0,0,0,6,3,5,5,1,0,27,14,1,0,1,0,"lyonb003","Brandon Lyon","woodt003","Tim Wood","lindm001","Matt Lindstrom","volsc001","Chris Volstad","myerb001","Brett Myers",
"20100421","FLO","NL",15,"HOU","NL",14,4,5,51,"HOU03",22607,"000040000","10001120x",30,5,0,1,0,3,1,0,0,2,0,9,0,0,2,0,2,3,4,4,1,0,24,14,1,0,0,0,29,8,1,1,1,5,1,0,0,3,0,6,1,2,0,0,4,4,3,3,0,0,27,6,1,0,2,0,"lopew001","Wilton Lopez","badeb001","Burke Badenhop","lindm001","Matt Lindstrom","johnj009","Josh Johnson","norrb001","Bud Norris",
"20100422","FLO","NL",16,"HOU","NL",15,5,1,54,"HOU03",21802,"300002000","000000100",32,6,2,0,0,3,0,0,1,3,0,8,0,1,0,0,4,4,1,1,1,0,27,14,0,0,1,0,34,9,0,0,0,1,1,0,1,0,0,5,1,0,1,0,8,3,2,2,1,0,27,15,2,0,0,0,"sanca004","Anibal Sanchez","paulf001","Felipe Paulino","","(none)","sanca004","Anibal Sanchez","paulf001","Felipe Paulino",
"20100424","FLO","NL",17,"COL","NL",17,4,1,54,"DEN02",0,"012001000","000100000",33,10,2,0,2,4,0,1,1,2,0,5,0,1,1,0,6,2,1,1,0,0,27,9,0,0,2,0,31,7,0,0,0,1,0,0,0,1,0,9,0,1,2,0,4,3,4,4,0,0,27,13,0,0,2,0,"nolar001","Ricky Nolasco","smitg002","Greg Smith","nunel001","Leo Nunez","nolar001","Ricky Nolasco","smitg002","Greg Smith",
"20100424","FLO","NL",18,"COL","NL",18,1,8,51,"DEN02",31560,"000001000","20300201x",31,5,0,0,0,1,0,0,0,2,0,4,0,0,1,0,5,4,8,8,0,0,24,10,1,0,2,0,31,11,3,1,1,6,1,0,2,6,1,7,1,0,2,0,8,1,1,1,0,0,27,16,1,0,1,0,"cooka002","Aaron Cook","roben001","Nate Robertson","","(none)","roben001","Nate Robertson","cooka002","Aaron Cook",
"20100425","FLO","NL",19,"COL","NL",19,4,8,51,"DEN02",35883,"000020110","01034000x",32,8,3,0,0,4,1,0,1,5,0,9,0,0,2,0,8,4,8,8,0,0,24,13,1,0,0,0,33,10,1,1,3,7,1,0,0,5,1,5,1,0,0,0,7,5,4,4,0,1,27,8,0,0,2,0,"delaj001","Jorge de la Rosa","volsc001","Chris Volstad","","(none)","volsc001","Chris Volstad","delaj001","Jorge de la Rosa",
"20100426","SDN","NL",19,"FLO","NL",20,1,10,51,"MIA01",10924,"000000010","12420100x",28,3,1,0,0,1,1,1,0,1,0,12,0,0,0,0,3,4,10,10,0,0,24,8,0,0,0,0,36,12,2,0,2,10,0,0,0,7,0,12,1,0,0,0,9,1,1,1,0,0,27,9,0,0,0,0,"johnj009","Josh Johnson","latom001","Mat Latos","","(none)","latom001","Mat Latos","johnj009","Josh Johnson",
"20100427","SDN","NL",20,"FLO","NL",21,4,1,54,"MIA01",11613,"011000200","000001000",38,12,1,0,0,3,0,0,0,3,1,10,3,0,0,0,10,4,1,1,0,0,27,4,0,0,1,0,31,6,0,0,0,0,0,0,0,3,0,15,0,1,1,0,6,5,3,3,0,0,27,8,2,0,0,0,"garlj001","Jon Garland","sanca004","Anibal Sanchez","bellh001","Heath Bell","garlj001","Jon Garland","sanca004","Anibal Sanchez",
"20100428","SDN","NL",21,"FLO","NL",22,6,4,54,"MIA01",16310,"000050010","211000000",33,7,2,0,1,6,0,0,1,5,0,11,0,1,0,0,6,5,4,4,0,0,27,12,0,0,1,0,33,10,0,0,1,3,1,1,1,1,0,7,0,1,1,0,6,4,6,6,0,0,27,8,0,0,0,0,"corrk001","Kevin Correia","roben001","Nate Robertson","bellh001","Heath Bell","corrk001","Kevin Correia","roben001","Nate Robertson",
"20100430","WAS","NL",23,"FLO","NL",23,7,1,54,"MIA01",20856,"202100002","000000100",38,13,4,1,2,7,0,0,1,4,0,16,1,1,0,0,9,4,1,1,1,0,27,6,0,0,0,0,36,10,0,0,0,1,1,0,1,5,0,8,0,0,0,0,15,4,7,7,0,0,27,8,2,0,0,0,"olses001","Scott Olsen","nolar001","Ricky Nolasco","","(none)","olses001","Scott Olsen","nolar001","Ricky Nolasco",
"20100501","WAS","NL",24,"FLO","NL",24,1,7,51,"MIA01",34886,"010000000","00122020x",29,4,2,0,0,1,0,1,0,1,0,8,0,0,0,0,3,3,6,6,1,0,24,14,3,0,0,0,32,10,2,1,2,6,0,0,0,2,0,5,0,2,0,0,3,1,1,1,0,0,27,13,0,0,0,0,"volsc001","Chris Volstad","stamc001","Craig Stammen","","(none)","stamc001","Craig Stammen","volsc001","Chris Volstad",
"20100502","WAS","NL",25,"FLO","NL",25,3,9,51,"MIA01",13169,"020000010","00402102x",33,6,4,0,0,3,0,0,0,5,0,11,0,1,0,0,8,4,9,9,0,0,24,14,0,0,0,0,35,13,5,0,2,9,0,0,1,6,1,5,0,0,0,0,9,5,3,3,0,0,27,5,1,0,0,0,"johnj009","Josh Johnson","lannj001","John Lannan","","(none)","lannj001","John Lannan","johnj009","Josh Johnson",
"20100504","SFN","NL",25,"FLO","NL",26,9,6,72,"MIA01",13690,"001020021003","000003030000",49,15,5,0,1,8,1,0,1,3,2,9,1,1,1,0,9,6,6,6,0,0,36,11,0,0,0,0,45,9,0,0,2,6,0,0,0,3,1,20,1,0,0,0,6,6,8,8,0,0,36,8,1,1,1,0,"runzd001","Dan Runzler","badeb001","Burke Badenhop","motag001","Guillermo Mota","linct001","Tim Lincecum","sanca004","Anibal Sanchez",
