Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100417,SFN,NL,11,LAN,NL,11,9,0,54,LOS03,44734,36,12,2,0,0,7,1,2,1,6,0,7,2,0,0,0,10,4,0,0,0,0,27,6,0,0,0,0,35,8,1,0,0,0,0,0,0,2,0,8,0,0,0,0,10,5,7,7,1,0,27,8,2,1,0,0,linct001,haegc001,,linct001,haegc001,,0.46153846153846156,0.24242424242424243,0.4222222222222222,0.2702702702702703,0.3888888888888889,0.2571428571428571,0.8111111111111111,0.5274131274131274,0.0
20100418,SFN,NL,12,LAN,NL,12,1,2,51,LOS03,50433,28,4,1,0,1,1,2,0,1,5,1,10,0,1,0,0,8,2,2,2,0,0,24,9,0,0,0,0,28,5,0,0,1,2,0,0,0,1,0,4,0,1,0,0,3,5,1,1,0,0,27,10,0,0,0,0,tronr001,romos001,broxj001,zitob001,kersc001,,0.21052631578947367,0.18518518518518517,0.29411764705882354,0.20689655172413793,0.2857142857142857,0.2857142857142857,0.5798319327731092,0.4926108374384236,1.0
20100420,LAN,NL,13,CIN,NL,14,9,11,51,CIN09,12965,39,13,3,1,1,9,0,0,0,5,0,10,2,1,0,0,8,4,8,8,0,0,24,11,2,0,1,0,31,11,1,1,2,9,1,2,0,3,0,3,1,1,1,0,2,7,9,9,1,0,27,9,0,0,0,0,lincm001,tronr001,cordf002,billc001,bailh001,,0.38235294117647056,0.44,0.4090909090909091,0.3888888888888889,0.5384615384615384,0.6451612903225806,0.9475524475524476,1.0340501792114696,0.0
20100421,LAN,NL,14,CIN,NL,15,14,6,54,CIN09,12203,43,18,2,1,2,14,1,0,1,6,0,5,1,0,1,0,10,5,3,3,0,0,27,11,2,0,1,0,36,9,0,0,2,6,0,0,0,4,0,5,0,0,1,0,7,5,13,13,2,0,27,15,0,1,1,0,kuroh001,haraa001,,kuroh001,haraa001,,0.5142857142857142,0.28125,0.5,0.325,0.6511627906976745,0.4166666666666667,1.1511627906976745,0.7416666666666667,1.0
20100422,LAN,NL,15,CIN,NL,16,5,8,51,CIN09,13261,35,9,0,0,2,5,0,0,0,2,0,8,0,1,0,0,5,5,6,6,0,0,24,6,2,0,0,0,36,12,2,0,1,8,1,1,0,3,1,10,0,0,0,0,9,3,5,5,0,0,27,14,0,0,1,0,leakm001,kuo-h001,cordf002,padiv001,leakm001,,0.2727272727272727,0.4,0.2972972972972973,0.375,0.42857142857142855,0.4722222222222222,0.7258687258687259,0.8472222222222222,0.0
20100423,LAN,NL,16,WAS,NL,17,1,5,51,WAS11,23859,33,5,2,0,0,1,0,0,1,2,1,5,0,0,1,0,8,2,4,4,0,0,24,12,1,0,3,0,28,6,1,1,2,5,0,0,0,6,0,3,2,0,2,0,5,3,1,1,0,0,27,14,3,0,1,0,atill001,haegc001,,haegc001,atill001,,0.1724137931034483,0.2727272727272727,0.2222222222222222,0.35294117647058826,0.21212121212121213,0.5357142857142857,0.4343434343434344,0.8886554621848739,0.0
20100424,LAN,NL,17,WAS,NL,18,4,3,78,WAS11,18039,47,11,0,1,2,4,0,0,0,2,1,8,2,1,2,0,6,7,2,2,1,1,39,20,2,0,0,0,53,14,6,1,0,3,0,0,1,3,0,11,3,0,0,0,15,4,4,4,0,0,39,19,0,0,2,0,monac001,batim001,,kersc001,stamc001,,0.25,0.2857142857142857,0.2653061224489796,0.3157894736842105,0.40425531914893614,0.41509433962264153,0.6695614415979158,0.730883813306852,1.0
20100425,LAN,NL,18,WAS,NL,19,0,1,51,WAS11,18395,33,7,2,0,0,0,0,0,0,1,0,9,0,0,1,0,7,2,1,1,0,0,24,12,0,0,0,0,26,4,1,0,0,1,1,0,0,3,1,7,0,1,0,0,5,3,0,0,0,0,27,6,0,0,1,0,olses001,billc001,cappm001,billc001,olses001,,0.21875,0.19047619047619047,0.23529411764705882,0.2413793103448276,0.2727272727272727,0.19230769230769232,0.5080213903743316,0.4336870026525199,0.0
20100427,LAN,NL,19,NYN,NL,20,0,4,51,NYC20,0,31,5,1,1,0,0,0,0,0,5,0,10,1,0,1,0,9,5,4,4,1,0,24,8,0,0,1,0,31,8,1,0,1,3,0,0,0,5,3,5,1,0,1,0,8,3,0,0,0,0,27,8,0,0,1,0,santj003,kuroh001,,kuroh001,santj003,,0.19230769230769232,0.34782608695652173,0.2777777777777778,0.3611111111111111,0.25806451612903225,0.3870967741935484,0.53584229390681,0.7482078853046594,0.0
20100427,LAN,NL,20,NYN,NL,21,5,10,51,NYC20,32012,33,7,2,0,0,5,0,1,0,6,0,7,0,0,0,0,8,5,6,6,0,0,24,7,1,0,2,0,32,11,2,2,0,9,1,1,0,6,0,5,1,0,2,0,6,4,5,5,2,0,27,11,1,0,0,0,takah001,haegc001,,haegc001,pereo002,,0.2692307692307692,0.4583333333333333,0.325,0.4358974358974359,0.2727272727272727,0.53125,0.5977272727272727,0.967147435897436,0.0
20100428,LAN,NL,21,NYN,NL,22,3,7,51,NYC20,29724,31,5,2,0,1,2,1,0,0,4,0,13,1,0,1,0,6,2,7,7,1,0,24,7,0,0,1,0,32,10,5,1,0,7,1,0,1,3,1,5,0,0,0,0,6,4,2,2,1,0,27,6,1,0,1,0,mainj001,ely-j001,,ely-j001,mainj001,,0.19230769230769232,0.38461538461538464,0.2571428571428571,0.3888888888888889,0.3225806451612903,0.53125,0.5797235023041474,0.9201388888888888,0.0
20100429,PIT,NL,22,LAN,NL,22,2,0,54,LOS03,40185,32,5,0,1,0,2,0,0,0,4,1,10,1,0,0,0,7,3,0,0,0,0,27,15,1,0,0,0,30,4,1,0,0,0,0,0,0,4,0,6,0,0,0,0,7,4,2,2,0,0,27,8,0,0,0,0,burrb001,kersc001,meeke001,burrb001,kersc001,,0.18518518518518517,0.15384615384615385,0.25,0.23529411764705882,0.21875,0.16666666666666666,0.46875,0.4019607843137255,0.0
20100430,PIT,NL,23,LAN,NL,23,2,6,51,LOS03,46775,32,7,4,0,0,2,0,0,0,3,1,7,0,0,2,0,6,2,3,3,0,0,24,9,2,0,0,0,30,7,0,0,2,6,1,1,0,2,1,9,1,1,0,0,4,4,2,2,0,0,27,12,0,0,2,0,billc001,mortc002,,mortc002,billc001,,0.25,0.28,0.2857142857142857,0.2727272727272727,0.34375,0.43333333333333335,0.6294642857142857,0.7060606060606059,1.0
