teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
BAL,AL,3,1,35,10,0,0,0,3,3,3,10,3,3,3,1,0.2857142857142857,0.358974358974359,0.2857142857142857,0.6446886446886446,0.0
BAL,AL,3,0,36,11,1,0,0,3,4,7,10,7,2,2,2,0.3055555555555556,0.375,0.3333333333333333,0.7083333333333333,0.0
BAL,AL,7,0,42,15,5,0,0,7,6,10,15,4,13,13,2,0.35714285714285715,0.4489795918367347,0.47619047619047616,0.9251700680272108,0.0
BAL,AL,5,0,34,9,0,0,1,5,6,4,9,5,3,3,0,0.2647058823529412,0.375,0.35294117647058826,0.7279411764705883,1.0
BAL,AL,6,0,36,10,0,0,2,6,0,6,3,2,7,7,0,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.7222222222222222,0.0
BAL,AL,3,0,35,6,1,0,0,2,4,6,6,5,4,4,0,0.17142857142857143,0.2564102564102564,0.2,0.4564102564102564,0.0
BAL,AL,5,1,27,7,1,0,1,4,6,6,6,3,1,1,0,0.25925925925925924,0.37142857142857144,0.4074074074074074,0.7788359788359789,1.0
BAL,AL,1,1,30,3,0,0,1,1,4,7,6,4,6,6,1,0.1,0.20588235294117646,0.2,0.4058823529411765,0.0
BAL,AL,0,0,32,8,0,0,0,0,2,10,7,2,4,4,1,0.25,0.29411764705882354,0.25,0.5441176470588236,0.0
BAL,AL,2,0,31,5,1,0,0,2,0,8,2,4,5,5,0,0.16129032258064516,0.16129032258064516,0.1935483870967742,0.3548387096774194,0.0
BAL,AL,1,0,29,6,0,0,0,1,2,7,4,3,6,6,0,0.20689655172413793,0.25806451612903225,0.20689655172413793,0.4649610678531702,0.0
BAL,AL,1,0,31,5,1,0,1,1,1,7,5,2,1,1,1,0.16129032258064516,0.21212121212121213,0.2903225806451613,0.5024437927663734,0.0
BAL,AL,1,0,35,9,5,0,0,1,2,7,9,4,8,8,1,0.2571428571428571,0.2972972972972973,0.4,0.6972972972972973,0.0
BAL,AL,3,0,31,3,0,0,2,3,2,9,4,3,6,6,1,0.0967741935483871,0.17647058823529413,0.2903225806451613,0.4667931688804554,0.0
BAL,AL,0,1,29,5,0,0,0,0,1,2,4,5,8,8,0,0.1724137931034483,0.2,0.1724137931034483,0.3724137931034483,0.0
BAL,AL,2,1,31,6,1,0,0,2,5,6,9,4,8,8,0,0.1935483870967742,0.32432432432432434,0.22580645161290322,0.5501307759372276,0.0
BAL,AL,4,1,38,9,3,0,0,4,8,3,13,6,3,3,0,0.23684210526315788,0.3695652173913043,0.3157894736842105,0.6853546910755148,1.0
BAL,AL,7,1,41,15,1,0,1,7,2,7,9,5,12,12,1,0.36585365853658536,0.3953488372093023,0.4634146341463415,0.8587634713556438,0.0
BAL,AL,2,1,35,10,2,0,0,2,3,10,10,4,3,3,2,0.2857142857142857,0.34210526315789475,0.34285714285714286,0.6849624060150377,0.0
BAL,AL,4,1,31,8,2,1,1,4,1,7,7,4,3,3,0,0.25806451612903225,0.3142857142857143,0.4838709677419355,0.7981566820276498,1.0
BAL,AL,1,1,37,11,3,0,0,0,1,12,10,2,5,5,1,0.2972972972972973,0.3157894736842105,0.3783783783783784,0.6941678520625889,0.0
BAL,AL,1,1,31,7,3,0,0,1,1,3,6,2,3,3,1,0.22580645161290322,0.2727272727272727,0.3225806451612903,0.595307917888563,0.0
BAL,AL,2,0,34,8,2,0,1,2,2,8,7,5,10,10,1,0.23529411764705882,0.2777777777777778,0.38235294117647056,0.6601307189542484,0.0
BAL,AL,4,0,35,9,2,0,1,3,2,5,6,3,1,1,0,0.2571428571428571,0.2972972972972973,0.4,0.6972972972972973,1.0
BAL,AL,3,0,37,11,0,0,0,3,6,15,13,4,6,6,0,0.2972972972972973,0.3953488372093023,0.2972972972972973,0.6926461345065996,0.0
BAL,AL,2,0,32,8,0,0,0,2,2,5,6,5,3,3,0,0.25,0.29411764705882354,0.25,0.5441176470588236,0.0
BAL,AL,5,0,36,11,2,0,1,5,1,9,6,4,4,4,0,0.3055555555555556,0.3157894736842105,0.4444444444444444,0.7602339181286549,1.0
BAL,AL,4,0,31,6,1,0,0,4,3,7,4,4,8,8,1,0.1935483870967742,0.2647058823529412,0.22580645161290322,0.4905123339658444,0.0
BAL,AL,4,1,35,10,2,0,1,4,1,4,6,4,9,9,1,0.2857142857142857,0.2972972972972973,0.42857142857142855,0.7258687258687259,0.0
BAL,AL,5,1,38,10,2,0,2,5,3,10,9,3,7,7,1,0.2631578947368421,0.3170731707317073,0.47368421052631576,0.7907573812580231,0.0
BAL,AL,11,1,39,17,4,0,2,11,3,7,10,4,5,5,1,0.4358974358974359,0.4772727272727273,0.6923076923076923,1.1695804195804196,1.0
BAL,AL,7,1,38,13,1,0,1,5,5,4,11,5,5,5,1,0.34210526315789475,0.4090909090909091,0.4473684210526316,0.8564593301435407,1.0
BAL,AL,6,1,38,14,1,0,1,5,2,8,10,5,5,5,0,0.3684210526315789,0.4,0.47368421052631576,0.8736842105263158,1.0
BAL,AL,4,1,30,8,4,0,0,3,1,3,3,5,3,3,0,0.26666666666666666,0.2903225806451613,0.4,0.6903225806451614,1.0
BAL,AL,2,1,29,5,4,0,0,2,7,3,9,3,4,4,2,0.1724137931034483,0.35135135135135137,0.3103448275862069,0.6616961789375583,0.0
BAL,AL,9,1,35,12,1,0,5,9,6,7,9,6,5,5,2,0.34285714285714286,0.43902439024390244,0.8,1.2390243902439024,1.0
BAL,AL,2,0,33,7,0,0,1,2,1,6,5,2,3,3,1,0.21212121212121213,0.23529411764705882,0.30303030303030304,0.5383244206773619,0.0
BAL,AL,3,0,33,7,1,0,1,3,2,9,5,4,9,9,2,0.21212121212121213,0.2571428571428571,0.3333333333333333,0.5904761904761904,0.0
BAL,AL,6,0,38,11,3,1,0,5,1,10,7,4,1,1,0,0.2894736842105263,0.3,0.42105263157894735,0.7210526315789474,1.0
BAL,AL,9,0,41,14,2,1,1,7,3,4,9,5,12,12,1,0.34146341463414637,0.4,0.5121951219512195,0.9121951219512195,0.0
BAL,AL,5,0,48,17,1,1,1,5,6,5,17,5,7,7,0,0.3541666666666667,0.43636363636363634,0.4791666666666667,0.9155303030303028,0.0
BAL,AL,2,0,31,7,1,2,0,1,2,7,6,2,4,4,0,0.22580645161290322,0.2857142857142857,0.3870967741935484,0.6728110599078341,0.0
BAL,AL,6,0,36,10,2,0,2,6,2,9,7,5,4,4,3,0.2777777777777778,0.35,0.5,0.85,1.0
BAL,AL,7,0,42,15,4,0,2,7,3,3,10,7,4,4,3,0.35714285714285715,0.41304347826086957,0.5952380952380952,1.0082815734989647,1.0
BAL,AL,6,0,35,9,1,0,3,5,0,2,2,3,0,0,2,0.2571428571428571,0.2571428571428571,0.5428571428571428,0.7999999999999999,1.0
BAL,AL,4,0,35,8,3,0,1,4,5,8,9,4,1,1,0,0.22857142857142856,0.325,0.4,0.7250000000000001,1.0
BAL,AL,2,1,34,7,2,0,0,1,1,8,6,5,4,4,1,0.20588235294117646,0.22857142857142856,0.2647058823529412,0.4932773109243698,0.0
BAL,AL,2,1,31,7,1,0,0,2,5,10,7,3,3,3,0,0.22580645161290322,0.3333333333333333,0.25806451612903225,0.5913978494623655,0.0
BAL,AL,1,1,38,12,2,0,0,1,1,6,11,3,10,10,0,0.3157894736842105,0.3333333333333333,0.3684210526315789,0.7017543859649122,0.0
BAL,AL,1,1,33,7,1,0,0,1,1,4,7,5,8,8,0,0.21212121212121213,0.2571428571428571,0.24242424242424243,0.4995670995670996,0.0
BAL,AL,11,1,51,16,5,0,4,11,3,9,8,6,9,9,2,0.3137254901960784,0.34545454545454546,0.6470588235294118,0.9925133689839571,1.0
BAL,AL,4,1,35,9,4,0,1,4,1,4,6,4,5,5,0,0.2571428571428571,0.2972972972972973,0.45714285714285713,0.7544401544401544,0.0
BAL,AL,0,1,31,5,2,0,0,0,1,4,5,3,5,5,0,0.16129032258064516,0.1875,0.22580645161290322,0.4133064516129033,0.0
BAL,AL,3,1,30,7,0,1,1,3,0,5,4,4,2,2,0,0.23333333333333334,0.23333333333333334,0.4,0.6333333333333333,1.0
BAL,AL,2,1,31,6,1,0,1,2,2,8,5,4,7,7,1,0.1935483870967742,0.2647058823529412,0.3225806451612903,0.5872865275142315,0.0
BAL,AL,5,0,36,10,3,0,3,5,4,9,9,2,9,9,1,0.2777777777777778,0.36585365853658536,0.6111111111111112,0.9769647696476964,0.0
BAL,AL,2,0,34,9,2,0,0,2,1,10,7,3,7,7,1,0.2647058823529412,0.2777777777777778,0.3235294117647059,0.6013071895424837,0.0
BAL,AL,0,0,29,3,1,0,0,0,3,6,6,3,4,4,1,0.10344827586206896,0.21212121212121213,0.13793103448275862,0.3500522466039707,0.0
BAL,AL,6,0,40,8,1,0,2,6,8,6,11,6,5,5,1,0.2,0.32,0.375,0.6950000000000001,1.0
BAL,AL,5,0,33,9,2,0,0,4,2,1,6,6,7,7,0,0.2727272727272727,0.3157894736842105,0.3333333333333333,0.6491228070175439,0.0
BAL,AL,3,0,30,8,1,0,0,3,3,7,4,2,4,4,1,0.26666666666666666,0.35294117647058826,0.3,0.6529411764705882,0.0
BAL,AL,4,0,36,10,1,0,2,3,4,6,9,4,5,5,0,0.2777777777777778,0.35,0.4722222222222222,0.8222222222222222,0.0
BAL,AL,6,1,31,9,4,0,1,6,4,5,6,3,3,3,0,0.2903225806451613,0.37142857142857144,0.5161290322580645,0.8875576036866359,1.0
BAL,AL,9,1,37,14,3,1,1,9,2,6,7,5,7,7,0,0.3783783783783784,0.41025641025641024,0.5945945945945946,1.0048510048510049,1.0
BAL,AL,5,1,35,13,5,0,1,5,0,3,6,3,4,4,1,0.37142857142857144,0.37142857142857144,0.6,0.9714285714285714,1.0
BAL,AL,2,1,39,10,0,0,0,2,2,6,10,3,1,1,1,0.2564102564102564,0.2926829268292683,0.2564102564102564,0.5490931832395247,1.0
BAL,AL,2,1,31,6,1,0,1,2,2,7,4,3,3,3,2,0.1935483870967742,0.24242424242424243,0.3225806451612903,0.5650048875855327,0.0
BAL,AL,4,1,32,11,4,0,1,4,1,0,6,2,3,3,0,0.34375,0.36363636363636365,0.5625,0.9261363636363636,1.0
BAL,AL,14,0,40,13,2,1,4,14,4,6,3,3,7,7,3,0.325,0.38636363636363635,0.725,1.1113636363636363,1.0
BAL,AL,3,0,35,13,1,0,1,3,3,3,9,1,1,1,0,0.37142857142857144,0.4358974358974359,0.4857142857142857,0.9216117216117216,1.0
BAL,AL,1,0,32,6,1,0,0,1,0,4,4,3,3,3,1,0.1875,0.1875,0.21875,0.40625,0.0
BAL,AL,5,0,34,12,3,1,1,5,4,5,6,3,0,0,1,0.35294117647058826,0.42105263157894735,0.5882352941176471,1.0092879256965943,1.0
BAL,AL,3,0,32,4,1,0,1,3,4,5,6,4,7,7,0,0.125,0.2222222222222222,0.25,0.4722222222222222,0.0
BAL,AL,2,0,31,5,1,1,1,2,1,7,4,3,3,3,0,0.16129032258064516,0.18181818181818182,0.3548387096774194,0.5366568914956011,0.0
BAL,AL,5,1,44,15,1,0,0,4,4,7,13,6,4,4,1,0.3409090909090909,0.3877551020408163,0.36363636363636365,0.75139146567718,1.0
BAL,AL,0,1,29,3,1,0,0,0,3,5,5,3,4,4,0,0.10344827586206896,0.1875,0.13793103448275862,0.3254310344827586,0.0
BAL,AL,5,1,32,7,2,0,1,4,4,8,6,2,5,5,2,0.21875,0.32432432432432434,0.375,0.6993243243243243,0.0
BAL,AL,4,1,32,11,3,0,0,4,1,4,6,2,0,0,0,0.34375,0.38235294117647056,0.4375,0.8198529411764706,1.0
BAL,AL,0,1,30,3,2,0,0,0,1,12,4,5,1,1,1,0.1,0.12903225806451613,0.16666666666666666,0.2956989247311828,0.0
BAL,AL,8,1,35,11,0,0,4,8,1,8,4,3,6,6,0,0.3142857142857143,0.3333333333333333,0.6571428571428571,0.9904761904761904,1.0
BAL,AL,5,0,36,11,1,0,1,4,3,7,8,3,7,7,0,0.3055555555555556,0.375,0.4166666666666667,0.7916666666666667,0.0
BAL,AL,4,0,33,7,1,0,1,4,4,4,7,3,2,2,0,0.21212121212121213,0.2894736842105263,0.3333333333333333,0.6228070175438596,1.0
BAL,AL,0,0,30,4,1,0,0,0,3,10,6,3,7,7,2,0.13333333333333333,0.21212121212121213,0.16666666666666666,0.3787878787878788,0.0
BAL,AL,3,0,31,8,2,0,0,3,1,5,3,2,1,1,0,0.25806451612903225,0.28125,0.3225806451612903,0.6038306451612903,1.0
BAL,AL,5,0,36,9,1,0,1,5,3,5,7,2,0,0,0,0.25,0.3076923076923077,0.3611111111111111,0.6688034188034189,1.0
BAL,AL,1,0,30,5,1,0,0,1,1,12,4,3,0,0,0,0.16666666666666666,0.1875,0.2,0.3875,1.0
BAL,AL,5,1,33,9,1,0,2,4,1,6,5,4,2,2,0,0.2727272727272727,0.29411764705882354,0.48484848484848486,0.7789661319073085,1.0
BAL,AL,6,1,35,10,3,0,0,5,2,12,6,4,9,9,0,0.2857142857142857,0.3333333333333333,0.37142857142857144,0.7047619047619047,0.0
BAL,AL,4,1,34,8,4,0,0,4,1,11,5,4,3,3,1,0.23529411764705882,0.2571428571428571,0.35294117647058826,0.6100840336134454,0.0
BAL,AL,1,1,31,7,2,0,0,1,3,5,8,3,4,4,0,0.22580645161290322,0.2857142857142857,0.2903225806451613,0.5760368663594471,0.0
BAL,AL,8,1,39,15,3,0,1,8,2,6,9,3,4,4,1,0.38461538461538464,0.4146341463414634,0.5384615384615384,0.953095684803002,1.0
BAL,AL,4,0,30,9,2,0,0,3,5,7,6,4,3,3,0,0.3,0.3888888888888889,0.36666666666666664,0.7555555555555555,1.0
BAL,AL,6,0,37,9,1,0,1,6,1,8,5,3,2,2,0,0.24324324324324326,0.2631578947368421,0.35135135135135137,0.6145092460881935,1.0
BAL,AL,2,0,34,6,1,0,1,2,2,12,7,4,3,3,0,0.17647058823529413,0.2222222222222222,0.29411764705882354,0.5163398692810457,0.0
BAL,AL,6,0,32,8,1,0,1,5,3,2,5,4,2,2,1,0.25,0.3157894736842105,0.375,0.6907894736842105,1.0
BAL,AL,5,0,41,16,3,1,0,5,2,5,12,3,3,3,0,0.3902439024390244,0.4090909090909091,0.5121951219512195,0.9212860310421288,1.0
BAL,AL,2,0,31,5,0,1,0,1,2,12,4,4,6,6,0,0.16129032258064516,0.21212121212121213,0.22580645161290322,0.43792766373411535,0.0
BAL,AL,4,1,41,12,2,0,1,4,6,7,15,7,3,3,1,0.2926829268292683,0.42,0.4146341463414634,0.8346341463414634,1.0
BAL,AL,11,1,42,16,3,0,2,10,5,6,12,4,3,3,0,0.38095238095238093,0.44680851063829785,0.5952380952380952,1.0420466058763929,1.0
BAL,AL,3,1,29,10,1,0,0,2,3,6,5,1,1,1,1,0.3448275862068966,0.40625,0.3793103448275862,0.7855603448275862,1.0
BAL,AL,3,1,30,6,0,0,2,3,1,6,4,4,4,4,0,0.2,0.2647058823529412,0.4,0.6647058823529413,0.0
BAL,AL,3,1,32,9,1,0,1,3,1,4,5,5,11,11,0,0.28125,0.2857142857142857,0.40625,0.6919642857142857,0.0
BAL,AL,4,0,32,8,2,0,0,3,5,7,8,4,2,2,0,0.25,0.3333333333333333,0.3125,0.6458333333333333,1.0
BAL,AL,9,0,39,13,2,1,1,6,3,8,8,5,1,1,0,0.3333333333333333,0.37209302325581395,0.5128205128205128,0.8849135360763267,1.0
BAL,AL,1,0,32,6,2,0,0,1,0,9,4,4,6,6,0,0.1875,0.1875,0.25,0.4375,0.0
BAL,AL,4,0,43,16,4,0,0,4,2,9,14,4,6,6,0,0.37209302325581395,0.4,0.46511627906976744,0.8651162790697675,0.0
BAL,AL,4,0,39,8,2,0,1,4,7,7,9,5,5,5,0,0.20512820512820512,0.32608695652173914,0.3333333333333333,0.6594202898550725,0.0
BAL,AL,2,0,33,7,0,0,0,2,2,8,8,4,5,5,1,0.21212121212121213,0.2702702702702703,0.21212121212121213,0.4823914823914824,0.0
BAL,AL,4,0,35,9,2,1,0,4,1,7,7,3,0,0,1,0.2571428571428571,0.2894736842105263,0.37142857142857144,0.6609022556390978,1.0
BAL,AL,0,0,33,6,2,0,0,0,0,10,6,3,5,5,0,0.18181818181818182,0.18181818181818182,0.24242424242424243,0.42424242424242425,0.0
BAL,AL,2,0,33,6,0,1,0,2,1,4,5,3,0,0,1,0.18181818181818182,0.20588235294117646,0.24242424242424243,0.4483065953654189,1.0
BAL,AL,10,1,30,9,3,1,0,10,4,2,2,3,6,6,0,0.3,0.4166666666666667,0.4666666666666667,0.8833333333333333,1.0
BAL,AL,2,1,32,13,0,0,1,2,0,5,8,2,1,1,3,0.40625,0.4411764705882353,0.5,0.9411764705882352,1.0
BAL,AL,2,1,25,3,2,0,1,2,1,7,1,4,1,1,1,0.12,0.14814814814814814,0.32,0.4681481481481482,1.0
BAL,AL,4,0,31,5,1,1,0,4,1,7,2,2,1,1,0,0.16129032258064516,0.18181818181818182,0.25806451612903225,0.4398826979472141,1.0
BAL,AL,3,0,32,6,0,0,1,3,2,9,4,5,1,1,0,0.1875,0.23529411764705882,0.28125,0.5165441176470589,1.0
BAL,AL,5,0,36,11,3,0,0,5,1,5,5,4,1,1,1,0.3055555555555556,0.32432432432432434,0.3888888888888889,0.7132132132132132,1.0
BAL,AL,5,1,32,9,3,0,1,4,2,7,5,3,1,1,0,0.28125,0.3235294117647059,0.46875,0.7922794117647058,1.0
BAL,AL,3,1,30,4,0,0,1,3,2,9,2,4,5,5,2,0.13333333333333333,0.1875,0.23333333333333334,0.4208333333333333,0.0
BAL,AL,9,1,32,10,3,0,2,9,7,6,7,4,5,5,0,0.3125,0.425,0.59375,1.01875,1.0
BAL,AL,5,1,30,7,0,0,2,5,2,4,4,2,0,0,0,0.23333333333333334,0.30303030303030304,0.43333333333333335,0.7363636363636363,1.0
BAL,AL,1,1,31,4,0,0,1,1,4,6,7,3,13,13,1,0.12903225806451613,0.22857142857142856,0.22580645161290322,0.4543778801843318,0.0
BAL,AL,4,0,35,8,3,0,2,4,2,8,6,4,7,7,0,0.22857142857142856,0.2702702702702703,0.4857142857142857,0.7559845559845559,0.0
BAL,AL,5,0,38,11,2,0,1,5,1,7,5,5,6,6,0,0.2894736842105263,0.3,0.42105263157894735,0.7210526315789474,0.0
BAL,AL,2,0,34,8,0,0,0,2,1,4,7,4,8,8,0,0.23529411764705882,0.2777777777777778,0.23529411764705882,0.5130718954248366,0.0
BAL,AL,3,0,37,10,0,1,2,3,2,6,9,4,8,8,1,0.2702702702702703,0.3076923076923077,0.4864864864864865,0.7941787941787942,0.0
BAL,AL,2,0,30,6,1,0,0,1,1,6,3,3,3,3,1,0.2,0.21875,0.23333333333333334,0.4520833333333333,0.0
BAL,AL,3,1,31,6,0,0,3,3,5,4,7,3,5,5,1,0.1935483870967742,0.32432432432432434,0.4838709677419355,0.8081952920662598,0.0
BAL,AL,11,1,36,13,2,0,1,10,4,3,6,3,0,0,0,0.3611111111111111,0.43902439024390244,0.5,0.9390243902439024,1.0
BAL,AL,5,1,30,8,1,0,2,5,1,5,2,4,4,4,0,0.26666666666666666,0.2903225806451613,0.5,0.7903225806451613,1.0
BAL,AL,1,1,34,7,3,0,0,1,2,10,8,3,3,3,0,0.20588235294117646,0.25,0.29411764705882354,0.5441176470588236,0.0
BAL,AL,3,1,32,6,0,0,1,3,2,7,4,4,15,15,0,0.1875,0.23529411764705882,0.28125,0.5165441176470589,0.0
BAL,AL,3,1,40,8,1,0,1,3,3,11,7,6,5,5,3,0.2,0.2558139534883721,0.3,0.5558139534883721,0.0
