Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20150420,CLE,AL,12,CHA,AL,12,3,4,52,CHI12,13055,11010000,4,33,6,2,0,2,3,0,0,0,3,0,7,0,0,0,0,6,4,4,4,1,0,25,6,0,0,1,0,34,10,3,0,0,4,0,0,0,4,0,10,1,0,1,0,9,4,3,3,0,0,27,6,0,0,0,0,robed002,allec002,,bauet001,dankj001
20150421,CLE,AL,13,CHA,AL,13,6,2,54,CHI12,14032,10012200,100000010,31,7,1,0,2,6,1,1,0,5,0,7,1,1,0,0,5,7,2,2,1,0,27,12,1,0,1,0,35,8,1,0,1,2,0,0,0,0,0,15,0,0,1,0,6,3,6,6,0,0,27,9,0,0,0,0,carrc003,noesh001,,carrc003,noesh001
20150422,CLE,AL,14,CHA,AL,14,0,6,51,CHI12,14429,0,10100130x,34,8,1,0,0,0,0,0,0,4,0,6,0,0,1,0,11,2,6,6,2,0,24,10,0,0,1,0,36,14,4,0,1,4,0,0,0,1,0,9,0,1,1,0,7,4,0,0,0,0,27,9,0,0,1,0,samaj001,klubc001,,klubc001,samaj001
20150423,KCA,AL,16,CHA,AL,15,3,2,78,CHI12,14218,2E+12,1100000000,47,13,2,0,0,3,0,0,1,2,1,7,0,1,3,0,8,6,2,2,1,0,39,17,1,0,0,0,46,7,2,0,0,2,0,0,1,4,1,14,0,1,0,0,10,6,3,3,0,0,39,22,0,0,4,0,moraf001,petrj001,daviw001,venty001,salec001
20150426,KCA,AL,18,CHA,AL,17,3,5,51,CHI12,23317,1200000,00000500x,34,8,3,0,1,3,0,0,1,1,0,13,0,0,0,0,6,4,1,1,1,0,24,12,2,0,1,0,31,6,0,0,0,5,0,0,0,2,0,7,0,0,0,0,4,4,3,3,0,0,27,11,1,0,0,0,dankj001,volqe001,robed002,volqe001,dankj001
20150429,CHA,AL,18,BAL,AL,20,2,8,51,BAL12,,20000,60101000x,30,4,0,0,0,1,0,0,0,1,0,9,0,0,2,0,2,3,7,7,0,0,24,9,1,0,1,0,34,11,4,0,2,8,0,1,0,1,0,7,0,0,1,0,4,3,0,0,0,0,27,12,1,0,2,0,jimeu001,samaj001,,samaj001,jimeu001
20150430,CHA,AL,19,MIN,AL,22,2,12,51,MIN04,20736,2000000,11700003x,38,12,2,0,0,2,0,0,0,1,0,7,0,0,0,0,10,4,11,11,0,0,24,10,2,1,0,0,38,13,3,0,1,12,0,0,0,2,0,7,0,0,0,0,4,4,2,2,0,0,27,11,0,0,0,0,may-t001,salec001,,salec001,may-t001
20150501,CHA,AL,20,MIN,AL,23,0,1,51,MIN04,22794,0,00001000x,33,6,1,0,0,0,0,0,1,1,0,5,0,0,2,0,8,3,1,1,1,0,24,11,0,0,2,0,28,7,0,0,0,0,0,0,0,3,0,6,1,0,2,0,6,2,0,0,0,0,27,14,3,0,2,0,gibsk002,quinj001,perkg001,quinj001,gibsk002
20150502,CHA,AL,21,MIN,AL,24,3,5,51,MIN04,30551,21000000,01202000x,32,10,1,0,0,3,0,0,1,2,0,5,0,2,2,0,5,3,5,5,0,0,24,9,0,1,1,0,33,11,2,0,2,5,0,1,0,3,0,4,0,0,1,0,8,6,3,3,0,0,27,14,1,0,3,0,nolar001,noesh001,perkg001,noesh001,nolar001
20150503,CHA,AL,22,MIN,AL,25,3,13,51,MIN04,22423,200010,00740200x,31,8,0,0,0,3,1,0,3,3,0,4,0,0,4,0,8,6,6,6,2,0,24,9,4,0,1,0,45,19,1,1,2,12,0,0,1,1,0,8,0,0,1,0,10,4,2,2,0,0,27,15,1,0,4,0,presr001,dankj001,,dankj001,pelfm001
20150505,DET,AL,27,CHA,AL,23,2,5,51,CHI12,16351,110000000,10400000x,35,7,0,0,1,2,0,0,0,1,0,8,1,0,1,0,7,4,5,5,0,0,24,14,0,0,3,0,27,6,1,1,0,5,0,0,0,5,0,3,0,1,2,0,3,3,2,2,1,0,27,9,3,0,1,0,samaj001,grees005,robed002,grees005,samaj001
20150506,DET,AL,28,CHA,AL,24,6,7,51,CHI12,18268,102011010,01110004x,34,11,1,1,1,6,1,1,1,8,0,11,0,0,1,0,12,6,3,3,1,0,24,7,1,0,0,0,36,12,1,0,2,6,0,1,0,5,0,3,1,0,0,0,11,4,6,6,2,0,27,10,0,0,1,0,putnz001,chamj002,robed002,simoa001,salec001
20150507,DET,AL,29,CHA,AL,25,4,1,54,CHI12,20081,100010020,100000,34,7,2,0,0,3,0,0,1,4,2,10,1,0,0,0,8,2,0,0,0,0,27,12,1,0,2,0,31,5,0,0,0,1,0,0,0,2,0,7,0,0,2,0,5,4,4,4,1,0,27,9,0,0,0,0,lobsk001,quinj001,sorij001,lobsk001,quinj001
20150509,CIN,NL,29,CHA,AL,26,10,4,54,CHI12,0,2107,103,36,13,2,0,1,10,1,1,2,8,0,7,3,0,0,0,11,2,4,4,0,0,27,8,0,0,0,0,32,6,2,0,2,4,0,1,0,2,0,7,0,0,0,0,4,5,9,9,3,0,27,14,2,0,2,0,cuetj001,carrs001,,cuetj001,noesh001
20150509,CIN,NL,30,CHA,AL,27,2,8,51,CHI12,27980,2000000,02010230x,29,6,0,0,0,2,0,0,0,6,0,11,1,0,2,0,6,3,8,8,0,1,24,12,0,0,0,0,35,14,1,0,3,8,0,1,0,2,0,1,0,2,0,0,6,4,2,2,0,0,27,9,0,1,3,0,rodoc001,marqj001,,marqj001,rodoc001
