Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20110331,SDN,NL,1,SLN,NL,1,5,3,66,STL10,46368,11000102,10010001000,39,8,2,0,1,4,0,1,2,3,0,6,1,0,1,0,7,6,3,3,0,0,33,19,0,1,4,0,40,12,0,1,1,3,1,0,0,3,0,5,0,1,4,0,8,6,4,4,0,0,33,11,1,0,1,0,neshp001,augeb001,bellh001,staut001,carpc002
20110402,SDN,NL,2,SLN,NL,2,11,3,54,STL10,38527,20160002,201000000,34,9,2,1,1,11,2,1,0,8,2,7,0,0,0,0,7,4,3,3,0,0,27,9,1,0,0,0,34,6,0,0,1,3,0,0,0,3,0,6,0,0,0,0,7,3,11,11,1,0,27,11,1,0,0,0,richc002,westj001,,richc002,westj001
20110403,SDN,NL,3,SLN,NL,3,0,2,51,STL10,36414,0,00001001x,28,4,0,0,0,0,1,0,0,2,0,9,1,0,1,0,4,2,2,2,1,0,24,12,1,0,1,0,29,7,0,0,0,2,0,0,0,1,0,3,0,1,1,0,4,1,0,0,0,0,27,11,0,0,2,0,garcj004,mosed001,,mosed001,garcj004
20110405,SFN,NL,5,SDN,NL,4,1,3,51,SAN02,43146,100000000,00300000x,33,8,1,0,0,1,0,0,0,2,0,7,1,1,1,0,7,3,3,3,0,0,24,9,0,0,1,0,29,7,1,0,0,3,1,1,0,4,0,5,1,1,0,0,8,4,1,1,0,0,27,12,0,0,1,0,haraa001,bumgm001,bellh001,bumgm001,haraa001
20110406,SFN,NL,6,SDN,NL,5,8,4,54,SAN02,24368,300014000,1000003,37,13,3,1,1,8,2,0,0,5,1,6,0,0,2,0,9,5,4,4,0,0,27,7,1,0,0,0,34,7,3,0,1,3,0,0,0,2,0,15,0,0,0,0,5,6,8,8,0,0,27,16,2,0,3,0,linct001,staut001,ramir003,linct001,staut001
20110409,LAN,NL,8,SDN,NL,7,4,0,54,SAN02,42420,100020010,0,39,13,2,0,1,3,1,0,0,5,2,4,5,0,1,0,14,2,0,0,0,0,27,9,0,0,2,0,31,6,1,0,0,0,0,0,0,3,0,4,0,0,1,0,7,3,3,3,1,0,27,18,1,0,1,0,kuroh001,mosed001,broxj001,kuroh001,mosed001
20110410,LAN,NL,9,SDN,NL,8,2,7,51,SAN02,33949,100000100,00110212x,28,4,0,0,0,1,1,0,1,2,0,6,2,1,2,0,3,3,7,7,1,0,24,6,0,0,0,0,33,10,3,1,3,7,0,0,0,4,0,7,1,1,0,0,6,4,1,1,0,0,27,11,1,0,2,0,haraa001,ely-j001,,ely-j001,haraa001
20110411,CIN,NL,10,SDN,NL,9,3,2,54,SAN02,18022,120000,200000000,31,5,0,0,2,3,0,0,1,3,0,12,1,1,0,0,5,4,2,2,0,0,27,14,0,0,3,0,27,5,1,0,0,2,0,1,1,3,0,8,2,2,2,0,3,4,3,3,0,0,27,5,0,0,0,0,volqe001,latom001,cordf002,volqe001,latom001
20110412,CIN,NL,11,SDN,NL,10,8,2,66,SAN02,17379,10001000006,1000001000,42,10,2,0,1,8,1,0,0,4,0,6,0,0,1,0,6,6,2,2,0,0,33,7,0,0,0,0,38,6,2,1,0,2,0,0,0,6,2,14,0,0,0,0,9,5,7,7,0,0,33,12,1,0,1,0,ondrl001,luebc001,,lecus001,richc002
20110413,CIN,NL,12,SDN,NL,11,2,3,53,SAN02,17057,110000,111,34,8,3,0,0,2,0,0,0,3,1,7,1,0,1,0,8,4,2,2,0,0,26,8,2,0,1,0,31,7,0,0,0,3,0,1,0,7,1,5,1,0,1,0,10,5,2,2,0,0,27,10,0,0,1,0,bellh001,massn001,,woodt004,staut001
