Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20180410","DET","AL",10,"CLE","AL",11,1,2,51,"CLE08",10078,"000000100","10000001x",33,6,3,0,0,1,0,0,1,2,0,7,1,0,0,0,8,2,2,2,0,0,24,8,0,0,1,0,27,4,0,0,2,2,0,0,1,1,0,6,0,0,1,0,3,6,1,1,0,0,27,12,1,0,0,0,"milla002","Andrew Miller","wilsa001","Alex Wilson","allec002","Cody Allen","boydm001","Matt Boyd","tomlj001","Josh Tomlin",
"20180411","DET","AL",11,"CLE","AL",12,1,5,51,"CLE08",10872,"000001000","00040010x",29,3,1,0,1,1,0,0,0,2,0,6,0,1,0,0,3,5,5,5,0,0,24,11,0,0,0,0,34,10,2,0,0,5,0,0,0,4,0,6,2,0,0,0,9,1,1,1,0,0,27,13,0,0,0,0,"carrc003","Carlos Carrasco","norrd002","Daniel Norris","","(none)","zimmj003","Jordan Zimmermann","carrc003","Carlos Carrasco",
"20180412","DET","AL",12,"CLE","AL",13,3,9,51,"CLE08",12901,"001000110","24030000x",38,9,3,0,0,3,0,0,1,2,0,7,0,0,0,0,11,3,6,6,0,0,24,13,3,0,1,0,40,15,3,0,2,8,0,0,1,1,1,5,0,0,1,0,9,3,3,3,0,0,27,9,2,0,0,0,"bauet001","Trevor Bauer","fulmm001","Michael Fulmer","","(none)","fulmm001","Michael Fulmer","bauet001","Trevor Bauer",
"20180413","TOR","AL",14,"CLE","AL",14,8,4,54,"CLE08",25592,"000400103","220000000",36,7,4,0,1,8,0,0,1,3,0,10,3,0,0,0,5,5,4,4,0,0,27,11,0,0,1,0,37,12,3,0,0,4,0,0,0,2,0,11,1,0,1,0,8,6,7,7,0,0,27,11,1,1,0,0,"barnd002","Danny Barnes","mcalz001","Zach McAllister","","(none)","strom001","Marcus Stroman","clevm001","Mike Clevinger",
"20180417","CLE","AL",15,"MIN","AL",12,6,1,54,"SJU01",19516,"000022110","000000100",39,12,3,0,4,6,0,0,0,1,0,9,0,0,0,0,7,3,1,1,0,0,27,4,1,0,0,0,34,6,2,0,0,1,0,0,0,4,0,9,0,0,0,0,10,5,6,6,0,0,27,6,0,1,0,0,"klubc001","Corey Kluber","odorj001","Jake Odorizzi","","(none)","klubc001","Corey Kluber","odorj001","Jake Odorizzi",
"20180418","CLE","AL",16,"MIN","AL",13,1,2,93,"SJU01",19537,"0000000000000100","0000000000000101",58,12,1,0,1,1,0,0,1,2,1,12,1,0,2,0,12,9,1,1,1,0,45,11,2,0,0,0,59,13,1,0,1,2,0,0,0,2,1,15,1,0,0,0,14,8,1,1,1,0,48,20,1,0,2,0,"busea001","Alan Busenitz","tomlj001","Josh Tomlin","","(none)","carrc003","Carlos Carrasco","berrj001","Jose Berrios",
"20180420","CLE","AL",17,"BAL","AL",20,1,3,51,"BAL12",20004,"100000000","00012000x",32,6,2,0,0,1,0,0,2,3,0,12,1,1,0,0,9,2,3,3,1,0,24,8,0,0,1,0,29,6,3,0,1,3,0,0,1,3,1,6,0,0,1,0,6,3,1,1,0,0,27,5,0,0,0,0,"bundd001","Dylan Bundy","bauet001","Trevor Bauer","odayd001","Darren O'Day","bauet001","Trevor Bauer","bundd001","Dylan Bundy",
"20180421","CLE","AL",18,"BAL","AL",21,4,0,54,"BAL12",29187,"100102000","000000000",32,9,0,0,3,4,0,0,0,3,0,8,0,3,1,0,4,1,0,0,0,0,27,9,1,0,1,0,29,2,0,0,0,0,0,0,0,2,0,3,0,0,1,0,4,3,4,4,2,0,27,12,0,0,1,0,"clevm001","Mike Clevinger","tillc001","Chris Tillman","","(none)","clevm001","Mike Clevinger","tillc001","Chris Tillman",
"20180422","CLE","AL",19,"BAL","AL",22,7,3,54,"BAL12",27394,"000220003","100200000",41,14,4,0,2,7,1,0,0,2,0,8,0,0,0,0,10,3,3,3,0,0,27,11,0,0,1,0,32,6,1,0,2,3,0,0,0,0,0,7,0,0,1,0,2,3,7,7,1,0,27,8,1,0,0,0,"klubc001","Corey Kluber","casha001","Andrew Cashner","","(none)","klubc001","Corey Kluber","casha001","Andrew Cashner",
"20180423","CLE","AL",20,"BAL","AL",23,2,1,54,"BAL12",10614,"020000000","010000000",31,4,1,0,1,2,0,0,0,1,0,7,0,0,0,0,3,3,1,1,0,0,27,8,0,0,2,0,32,7,1,0,0,1,0,0,0,2,1,11,1,0,0,0,6,2,2,2,0,0,27,8,0,0,0,0,"carrc003","Carlos Carrasco","gausk001","Kevin Gausman","allec002","Cody Allen","carrc003","Carlos Carrasco","gausk001","Kevin Gausman",
