Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
40471,20100417,gorzt001,CHN,13,38,0,0,0,0,4,1,0,11,0,9,0,4,0,8,0,5,27,3,0,0,3,0,9,4,0,0,0,0,NL,NL,54,gorzt001,CHI11,lindm001,,oswar001,11,4,1,4,HOU,8,33,0,0,0,0,0,2,0,0,6,1,3,0,0,4,27,4,0,0,3,3,0,0,1,1,oswar001,0.18181818181818182,0.23684210526315788,0.20588235294117646,0.23684210526315788,0.2727272727272727,0.34210526315789475,0.47860962566844917,0.5789473684210527,0.0,1.0
39506,20100418,dempr002,CHN,10,34,0,0,0,0,1,0,1,12,0,7,0,3,0,7,0,3,30,2,0,2,2,0,7,3,0,0,3,0,NL,NL,60,marss002,CHI11,lindm001,,rodrw002,12,7,1,3,HOU,15,35,0,0,1,2,2,1,0,0,8,0,2,1,0,4,30,3,1,1,10,2,0,0,3,0,byrdt001,0.22857142857142856,0.20588235294117646,0.28205128205128205,0.2702702702702703,0.2857142857142857,0.23529411764705882,0.5677655677655677,0.505564387917329,0.0,0.0
27940,20100419,niesj001,NYN,10,33,0,0,0,2,1,1,1,13,1,9,1,0,0,7,0,3,27,5,0,0,6,1,6,0,0,0,3,0,NL,NL,51,russj003,NYC20,,,wellr001,13,12,0,1,CHN,9,34,0,0,0,1,1,1,2,1,9,0,4,1,0,5,24,1,0,0,9,4,0,0,5,1,nievf001,0.2647058823529412,0.2727272727272727,0.375,0.35135135135135137,0.29411764705882354,0.3939393939393939,0.6691176470588236,0.7452907452907453,0.0,0.0
27502,20100420,pelfm001,NYN,10,31,0,0,0,1,0,1,1,14,1,9,1,0,0,10,0,4,27,4,0,1,4,1,9,0,0,1,5,0,NL,NL,51,zambc001,NYC20,,,zambc001,14,7,0,0,CHN,6,29,0,0,0,1,1,0,1,0,3,0,4,0,0,3,24,0,0,0,9,4,0,0,5,0,pelfm001,0.10344827586206896,0.2903225806451613,0.23529411764705882,0.40540540540540543,0.13793103448275862,0.45161290322580644,0.37322515212981744,0.8570183086312119,0.0,0.0
25684,20100421,pereo002,NYN,9,33,0,0,0,0,0,1,0,15,1,6,1,8,0,7,0,4,27,3,0,0,3,1,7,8,0,1,3,0,NL,NL,54,pereo002,NYC20,,,silvc001,15,14,1,9,CHN,5,39,0,0,0,0,2,0,0,0,14,1,3,1,0,5,27,9,1,0,9,3,0,1,9,0,silvc001,0.358974358974359,0.18181818181818182,0.46938775510204084,0.2702702702702703,0.5384615384615384,0.3333333333333333,1.0078492935635792,0.6036036036036037,1.0,0.0
28535,20100422,santj003,NYN,6,30,0,0,0,0,2,1,1,16,0,7,0,2,0,5,0,5,27,3,0,1,5,0,9,2,0,0,3,0,NL,NL,51,gorzt001,NYC20,rodrf003,,gorzt001,16,10,0,2,CHN,10,36,0,0,0,1,2,2,0,0,10,0,3,0,0,4,24,2,1,0,8,3,0,0,2,0,santj003,0.2777777777777778,0.23333333333333334,0.3076923076923077,0.30303030303030304,0.3333333333333333,0.3,0.641025641025641,0.603030303030303,0.0,1.0
37848,20100423,suppj001,MIL,12,33,0,0,0,1,3,3,1,16,2,8,0,7,0,9,0,5,27,1,0,0,1,1,7,7,0,0,2,1,NL,NL,54,suppj001,MIL06,,,dempr002,17,8,2,8,CHN,16,38,0,0,2,1,2,1,0,0,13,2,1,0,0,2,27,7,0,0,9,1,0,1,3,0,dempr002,0.34210526315789475,0.24242424242424243,0.3902439024390244,0.32432432432432434,0.6052631578947368,0.3333333333333333,0.9955070603337612,0.6576576576576576,1.0,0.0
43410,20100424,david002,MIL,10,33,0,0,0,1,1,1,0,17,0,7,0,5,0,10,0,3,27,1,0,1,1,0,8,5,0,0,4,0,NL,NL,54,david002,MIL06,,,lillt001,18,9,0,5,CHN,12,36,0,0,0,0,2,0,1,0,10,0,1,0,0,5,27,5,1,0,7,1,0,0,4,0,lillt001,0.2777777777777778,0.21212121212121213,0.34146341463414637,0.2972972972972973,0.3333333333333333,0.24242424242424243,0.6747967479674797,0.5397215397215398,1.0,1.0
38634,20100425,bushd001,MIL,9,35,0,0,0,3,3,1,1,18,1,8,0,10,0,8,0,6,27,2,0,0,2,0,7,10,0,0,1,0,NL,NL,54,bushd001,MIL06,,,wellr001,19,8,0,12,CHN,11,42,0,0,0,1,4,1,3,0,18,4,2,0,0,3,27,12,1,1,4,2,0,0,4,0,wellr001,0.42857142857142855,0.22857142857142856,0.46808510638297873,0.2702702702702703,0.8095238095238095,0.3142857142857143,1.2776089159067883,0.5845559845559846,1.0,1.0
37850,20100426,silvc001,CHN,13,33,0,0,0,0,2,0,2,20,0,8,0,3,0,9,0,4,30,4,0,0,4,0,5,3,0,2,8,1,NL,NL,58,brunb001,CHI11,,,lannj001,20,8,0,3,WAS,15,39,0,0,0,3,1,0,0,0,10,0,4,0,0,4,28,3,1,0,4,4,0,0,1,0,marmc001,0.2564102564102564,0.24242424242424243,0.2682926829268293,0.3902439024390244,0.28205128205128205,0.42424242424242425,0.5503439649781113,0.8144863266814486,1.0,1.0
