Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
25196,20100417,mccud001,PIT,8,31,0,0,1,0,2,0,1,11,0,7,1,4,1,9,0,4,27,5,0,0,5,0,6,4,0,0,9,0,NL,NL,53,cordf002,PIT08,,,cuetj001,12,4,0,4,CIN,11,30,0,0,1,1,3,1,0,0,6,0,5,0,0,5,26,4,2,1,6,5,0,0,3,0,tascj001,0.2,0.22580645161290322,0.2571428571428571,0.4,0.3,0.3870967741935484,0.5571428571428572,0.7870967741935484,1.0,1.0
13860,20100418,mahop002,PIT,5,29,0,0,0,0,1,1,0,12,1,5,0,3,0,4,0,4,27,5,0,0,5,1,8,3,0,0,3,0,NL,NL,51,arrob001,PIT08,doteo001,,arrob001,13,5,0,3,CIN,5,33,0,0,0,0,1,1,0,0,5,2,5,0,0,2,24,3,0,0,9,5,0,0,2,0,mahop002,0.15151515151515152,0.1724137931034483,0.2,0.2727272727272727,0.36363636363636365,0.20689655172413793,0.5636363636363637,0.4796238244514106,1.0,1.0
9386,20100420,mortc002,PIT,14,31,0,0,0,0,3,1,2,13,0,6,0,7,0,7,0,5,27,1,0,0,1,0,2,7,0,0,4,1,NL,NL,54,mortc002,PIT08,,,bushd001,13,8,1,8,MIL,15,34,0,0,0,3,3,1,0,0,9,1,1,0,0,3,27,8,1,1,4,1,0,1,7,0,bushd001,0.2647058823529412,0.1935483870967742,0.38095238095238093,0.2857142857142857,0.5,0.2903225806451613,0.8809523809523809,0.5760368663594471,0.0,1.0
12192,20100421,dukez001,PIT,14,30,0,0,0,1,1,1,1,14,1,4,0,7,0,9,0,3,27,0,0,0,0,3,13,7,0,0,5,1,NL,NL,54,dukez001,PIT08,,,gally001,14,10,0,8,MIL,5,39,0,0,0,1,3,0,1,1,12,3,0,0,0,4,27,8,0,2,7,0,0,2,5,0,gally001,0.3076923076923077,0.13333333333333333,0.4,0.2777777777777778,0.717948717948718,0.16666666666666666,1.117948717948718,0.4444444444444444,0.0,0.0
13634,20100422,mccud001,PIT,9,34,0,0,1,0,2,1,0,15,0,8,0,18,0,10,0,6,27,0,0,0,0,1,7,18,0,0,3,0,NL,NL,54,mccud001,PIT08,,,wolfr001,15,12,0,20,MIL,11,52,0,0,0,0,7,0,0,0,25,4,0,0,0,4,27,20,1,2,8,0,0,1,6,1,wolfr001,0.4807692307692308,0.23529411764705882,0.5254237288135594,0.2972972972972973,0.8846153846153846,0.29411764705882354,1.4100391134289438,0.5914149443561209,0.0,0.0
30018,20100423,oswar001,HOU,8,29,0,0,0,0,3,1,1,16,0,6,0,2,0,3,0,3,27,4,0,0,4,0,4,2,0,0,2,0,NL,NL,51,mahop002,HOU03,lindm001,,mahop002,16,3,0,3,PIT,14,32,0,0,0,1,0,1,0,0,4,2,2,0,0,2,24,3,0,0,5,2,0,0,1,0,oswar001,0.125,0.20689655172413793,0.15151515151515152,0.25806451612903225,0.3125,0.3103448275862069,0.4640151515151515,0.5684093437152391,0.0,0.0
30562,20100424,rodrw002,HOU,8,34,0,0,0,0,3,1,2,17,0,13,1,1,0,8,0,3,27,5,0,1,5,0,5,1,0,0,2,0,NL,NL,51,jakuc001,HOU03,lindm001,,jakuc001,17,7,0,2,PIT,11,34,0,0,0,2,0,1,0,0,7,1,5,0,0,6,24,2,0,1,10,5,0,0,2,1,rodrw002,0.20588235294117646,0.38235294117647056,0.25,0.4166666666666667,0.29411764705882354,0.5588235294117647,0.5441176470588236,0.9754901960784315,0.0,0.0
27210,20100425,myerb001,HOU,14,33,0,0,0,2,2,0,1,18,1,10,1,3,0,8,0,4,27,9,0,0,10,6,7,3,0,1,8,0,NL,NL,51,mortc002,HOU03,,,mortc002,18,9,0,3,PIT,8,38,0,0,1,1,1,1,1,0,14,0,9,0,0,4,24,3,0,1,8,9,0,0,1,1,myerb001,0.3684210526315789,0.30303030303030304,0.38461538461538464,0.4523809523809524,0.39473684210526316,0.5151515151515151,0.7793522267206479,0.9675324675324675,0.0,0.0
25892,20100426,gally001,MIL,7,41,0,0,0,1,3,3,0,19,1,17,2,1,1,10,0,4,27,17,1,0,17,1,12,1,0,0,8,2,NL,NL,51,dukez001,MIL06,,,dukez001,19,11,0,3,PIT,5,36,1,0,0,0,2,1,1,0,8,0,17,0,0,5,24,3,0,0,5,17,0,0,4,0,gally001,0.2222222222222222,0.4146341463414634,0.3,0.5098039215686274,0.2777777777777778,0.6341463414634146,0.5777777777777777,1.1439502630320422,0.0,0.0
28991,20100427,wolfr001,MIL,9,34,0,0,0,0,3,0,1,20,0,8,2,7,0,9,0,2,27,3,0,0,3,1,6,7,0,0,5,0,NL,NL,54,hofft001,MIL06,,,karsj001,20,9,1,7,PIT,9,39,0,1,0,1,3,0,0,0,14,3,3,1,0,5,27,7,1,0,5,3,0,0,2,0,donnb001,0.358974358974359,0.23529411764705882,0.38095238095238093,0.3333333333333333,0.6666666666666666,0.5,1.0476190476190474,0.8333333333333333,1.0,0.0
28401,20100428,narvc001,MIL,7,49,0,0,0,1,2,0,1,21,0,10,2,6,1,10,0,7,42,4,0,0,5,1,13,6,0,0,8,1,NL,NL,84,parrm001,MIL06,,,mahop002,21,12,0,6,PIT,13,54,0,0,0,1,1,0,0,1,13,4,5,1,0,5,42,6,0,1,19,5,0,0,5,1,carrd001,0.24074074074074073,0.20408163265306123,0.31666666666666665,0.3157894736842105,0.48148148148148145,0.3673469387755102,0.798148148148148,0.6831364124597208,1.0,1.0
40185,20100429,kersc001,LAN,8,30,0,0,0,0,1,0,0,22,0,4,0,2,0,7,0,4,27,0,0,0,0,0,6,2,0,0,4,0,NL,NL,54,kersc001,LOS03,meeke001,,burrb001,22,7,0,2,PIT,15,32,0,0,0,0,0,1,0,0,5,0,0,1,0,3,27,2,0,1,10,0,0,1,4,0,burrb001,0.15625,0.13333333333333333,0.25,0.23529411764705882,0.21875,0.16666666666666666,0.46875,0.4019607843137255,1.0,1.0
46775,20100430,billc001,LAN,12,30,0,0,1,2,0,0,0,23,0,7,2,2,1,4,0,4,27,6,1,1,6,1,9,2,0,0,2,0,NL,NL,51,mortc002,LOS03,,,mortc002,23,6,0,2,PIT,9,32,0,0,0,0,4,2,2,0,7,0,3,1,0,2,24,2,0,0,7,3,0,0,3,0,billc001,0.21875,0.23333333333333334,0.2857142857142857,0.2727272727272727,0.34375,0.43333333333333335,0.6294642857142857,0.706060606060606,0.0,1.0
40483,20100501,monac001,LAN,11,35,0,0,0,1,5,0,0,24,0,11,1,1,0,8,0,4,27,5,0,0,5,0,7,1,0,0,2,0,NL,NL,51,dukez001,LOS03,,,dukez001,24,7,1,1,PIT,7,30,0,0,1,0,2,0,1,2,6,1,5,0,0,3,24,1,0,0,8,5,0,0,2,0,ortir002,0.2,0.3142857142857143,0.29411764705882354,0.35135135135135137,0.36666666666666664,0.5428571428571428,0.6607843137254902,0.8942084942084942,0.0,0.0
