,teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
49,CHN,NL,2,0,33,7,1,1,1,2,3,7,8,2,3,3,0,0.212121212,0.277777778,0.393939394,0.671717172,0
50,CHN,NL,1,0,31,5,3,0,0,1,2,8,6,6,3,3,0,0.161290323,0.212121212,0.258064516,0.470185728,0
51,CHN,NL,8,0,35,12,5,0,2,8,3,3,5,4,3,3,1,0.342857143,0.384615385,0.657142857,1.041758242,1
52,CHN,NL,3,0,36,12,2,0,0,3,1,6,8,3,6,6,0,0.333333333,0.342105263,0.388888889,0.730994152,0
53,CHN,NL,6,0,34,10,3,0,0,6,6,6,9,3,1,1,0,0.294117647,0.404761905,0.382352941,0.787114846,1
54,CHN,NL,2,0,34,8,1,0,0,2,3,9,8,2,3,3,0,0.235294118,0.297297297,0.264705882,0.56200318,0
55,CHN,NL,9,0,38,12,1,0,5,9,2,6,4,4,4,4,0,0.315789474,0.35,0.736842105,1.086842105,1
56,CHN,NL,4,0,36,9,0,0,1,4,5,7,9,5,2,2,3,0.25,0.333333333,0.333333333,0.666666667,0
57,CHN,NL,5,1,35,9,1,0,1,4,3,7,7,5,10,10,0,0.257142857,0.333333333,0.371428571,0.704761905,0
58,CHN,NL,1,1,37,10,1,0,0,1,1,11,10,3,2,2,0,0.27027027,0.289473684,0.297297297,0.586770982,0
59,CHN,NL,1,1,25,3,1,0,0,1,3,9,3,2,0,0,0,0.12,0.214285714,0.16,0.374285714,1
60,CHN,NL,5,1,35,9,1,0,1,5,2,9,6,4,5,5,4,0.257142857,0.315789474,0.371428571,0.687218045,0
61,CHN,NL,6,1,28,9,3,0,1,6,6,8,6,3,2,2,0,0.321428571,0.428571429,0.535714286,0.964285714,1
62,CHN,NL,3,1,30,9,1,0,1,3,5,7,10,3,2,2,2,0.3,0.388888889,0.433333333,0.822222222,1
63,CHN,NL,6,1,33,7,1,0,3,6,6,4,8,4,3,3,3,0.212121212,0.341463415,0.515151515,0.85661493,0
64,CHN,NL,0,1,30,2,0,0,0,0,0,12,3,4,8,8,2,0.066666667,0.066666667,0.066666667,0.133333333,0
65,CHN,NL,0,0,31,6,2,0,0,0,3,8,7,1,2,2,1,0.193548387,0.264705882,0.258064516,0.522770398,0
66,CHN,NL,1,0,34,9,2,0,1,1,0,9,6,3,8,8,2,0.264705882,0.264705882,0.411764706,0.676470588,0
67,CHN,NL,3,0,40,6,0,0,0,3,5,11,7,7,2,2,0,0.15,0.255319149,0.15,0.405319149,1
68,CHN,NL,0,0,30,3,0,0,0,0,3,12,6,5,6,6,1,0.1,0.181818182,0.1,0.281818182,0
69,CHN,NL,2,0,31,8,1,0,1,2,1,5,4,2,3,3,1,0.258064516,0.28125,0.387096774,0.668346774,0
70,CHN,NL,8,0,39,14,4,0,2,8,2,8,6,3,6,6,0,0.358974359,0.390243902,0.615384615,1.005628518,1
