Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20150418,MIA,NL,12,NYN,NL,12,4,5,51,NYC20,41844,13,01100300x,36,11,1,0,1,4,1,0,0,1,0,13,0,1,0,0,7,3,5,5,1,0,24,10,0,0,1,0,33,10,2,0,2,5,0,0,0,1,0,5,1,0,1,0,5,5,4,4,1,0,27,8,0,0,1,0,degrj001,latom001,torra002,latom001,degrj001
20150419,MIA,NL,13,NYN,NL,13,6,7,51,NYC20,41234,10001220,00070000x,35,11,1,0,0,5,1,2,0,1,0,9,0,0,0,0,6,4,7,7,0,0,24,10,0,0,2,0,30,8,2,0,0,7,0,0,1,4,0,5,0,0,2,0,4,5,6,6,2,0,27,10,0,0,0,0,harvm001,koeht001,famij001,koeht001,harvm001
20150421,ATL,NL,13,NYN,NL,14,1,7,51,NYC20,21033,100,00004102x,31,5,0,0,1,1,0,0,1,5,0,7,0,0,1,0,9,4,6,6,0,0,24,11,2,0,1,0,33,9,1,0,0,7,0,1,0,6,0,1,0,0,1,0,9,5,1,1,0,0,27,10,1,0,1,0,niesj001,cahit001,,cahit001,niesj001
20150422,ATL,NL,14,NYN,NL,15,2,3,51,NYC20,20971,10010000,01000011x,32,8,1,1,0,2,0,1,0,3,1,4,0,0,2,0,7,4,3,3,1,0,24,9,1,0,1,0,31,7,1,1,1,3,0,0,0,3,0,6,0,0,1,0,7,4,2,2,0,0,27,11,0,0,2,0,carlb001,johnj010,famij001,stule002,gee-d001
20150423,ATL,NL,15,NYN,NL,16,3,6,51,NYC20,23980,10200000,30001020x,33,8,2,0,0,3,0,1,0,1,0,9,0,1,1,0,5,5,6,6,1,1,24,9,0,0,0,0,28,6,1,0,0,6,1,0,0,8,0,12,1,0,0,0,7,4,3,3,0,0,27,5,0,0,1,0,colob001,tehej001,famij001,tehej001,colob001
20150424,NYN,NL,17,NYA,AL,17,1,6,51,NYC21,45310,1000,20400000x,31,5,3,0,0,1,0,1,0,0,0,8,0,0,1,0,4,4,6,6,0,0,24,3,1,0,0,0,34,11,1,0,3,6,0,1,0,2,0,6,0,0,0,0,7,2,1,1,1,0,27,10,1,0,1,0,pinem001,degrj001,,degrj001,pinem001
20150425,NYN,NL,18,NYA,AL,18,8,2,54,NYC21,47909,100402010,1000100,40,12,0,1,3,7,0,0,1,0,0,6,0,0,0,0,6,2,2,2,0,0,27,10,0,0,1,0,31,5,1,0,1,1,0,0,0,2,0,7,0,0,1,0,4,3,8,8,2,0,27,5,1,0,0,0,harvm001,sabac001,,harvm001,sabac001
20150426,NYN,NL,19,NYA,AL,19,4,6,51,NYC21,47510,202000000,14001000x,33,7,3,0,1,4,0,0,2,1,0,10,0,0,1,0,5,3,4,4,0,0,24,10,4,0,2,0,32,9,5,0,1,5,0,0,0,1,0,7,0,0,2,0,3,6,4,4,1,0,27,12,2,0,2,0,shrec001,niesj001,milla002,niesj001,eovan001
20150427,NYN,NL,20,MIA,NL,20,3,1,54,MIA02,18547,3,10,31,5,2,0,1,3,0,0,0,4,0,4,1,0,0,0,5,3,1,1,0,0,27,16,0,0,0,0,33,6,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,2,3,3,0,0,27,13,0,0,1,0,torrc001,cishs001,famij001,gee-d001,cosaj001
20150428,NYN,NL,21,MIA,NL,21,3,4,51,MIA02,17255,300,00000301x,38,10,3,0,0,3,0,0,0,2,0,7,0,0,0,0,10,4,4,4,1,0,24,7,2,0,0,0,30,6,1,0,0,3,1,0,0,3,1,9,0,0,0,0,6,5,3,3,0,0,27,10,1,0,0,0,morrb002,torrc001,cishs001,montr004,pheld001
20150429,NYN,NL,22,MIA,NL,22,3,7,51,MIA02,17076,201000000,20001013x,32,7,1,0,1,3,0,0,0,4,0,6,0,0,2,0,6,5,7,7,0,0,24,11,1,0,1,0,32,12,2,0,2,7,2,1,0,1,0,4,1,0,1,0,5,4,3,3,0,0,27,10,0,0,2,0,dysos001,colob001,,colob001,latom001
20150430,WAS,NL,23,NYN,NL,23,8,2,54,NYC20,21689,302003,20000000,38,12,3,0,0,8,0,1,0,3,0,8,0,0,0,0,7,4,2,2,0,0,27,5,0,0,0,0,34,7,2,0,0,2,0,0,0,1,0,11,0,0,0,0,6,5,6,6,0,0,27,9,1,0,1,0,stras001,degrj001,,stras001,degrj001
20150501,WAS,NL,24,NYN,NL,24,0,4,51,NYC20,33178,0,00010003x,30,6,2,0,0,0,1,0,0,1,0,5,0,1,2,0,5,3,4,4,0,0,24,7,0,0,0,0,30,8,2,0,1,4,1,0,1,2,0,12,0,0,0,0,6,3,0,0,0,0,27,13,1,0,2,0,harvm001,schem001,famij001,schem001,harvm001
20150502,WAS,NL,25,NYN,NL,25,1,0,54,NYC20,39730,10000000,0,33,9,0,0,0,1,3,0,0,1,0,7,0,0,0,0,9,4,0,0,1,0,27,11,0,0,0,0,31,6,1,0,0,0,0,0,0,2,0,10,0,0,0,0,6,2,1,1,0,0,27,16,0,0,0,0,gonzg003,niesj001,stord001,gonzg003,niesj001
20150503,WAS,NL,26,NYN,NL,26,1,0,54,NYC20,41048,100000000,0,34,7,4,0,0,1,0,0,0,6,2,10,0,0,0,0,12,5,0,0,1,0,27,8,0,0,0,0,32,5,1,0,0,0,0,0,0,2,0,6,0,0,0,0,7,5,1,1,0,0,27,10,0,0,0,0,fistd001,gee-d001,stord001,fistd001,gee-d001
20150505,BAL,AL,24,NYN,NL,27,2,3,51,NYC20,20534,11,00030000x,34,7,0,0,2,2,0,0,0,0,0,10,0,0,0,0,5,2,3,3,0,0,24,10,0,0,1,0,29,7,3,0,0,3,0,0,0,1,0,5,0,1,1,0,3,3,2,2,0,0,27,7,0,0,0,0,colob001,norrb001,famij001,norrb001,colob001
20150506,BAL,AL,25,NYN,NL,28,1,5,51,NYC20,21667,10000,01110200x,36,9,0,0,0,1,0,0,1,1,0,12,2,0,1,0,10,4,5,5,0,0,24,7,0,0,0,0,30,7,0,0,2,5,0,1,0,3,0,7,0,0,0,0,5,4,1,1,1,0,27,12,0,0,1,0,degrj001,jimeu001,,jimeu001,degrj001
20150508,NYN,NL,29,PHI,NL,30,1,3,51,PHI13,32734,100000,10011000x,32,5,1,0,0,0,0,0,1,2,1,11,0,0,0,0,7,4,3,3,0,0,24,6,0,0,1,0,29,7,0,0,1,3,1,0,0,2,0,5,2,0,1,0,5,3,1,1,2,0,27,3,0,0,0,0,hamec001,harvm001,papej001,harvm001,hamec001
20150509,NYN,NL,30,PHI,NL,31,3,2,54,PHI13,29373,10200,2000,35,9,1,0,1,2,1,0,0,3,0,4,0,0,1,0,9,5,0,0,0,0,27,8,1,0,1,0,33,7,2,0,0,2,0,1,0,3,0,7,1,0,1,0,8,3,2,2,0,0,27,6,1,0,1,0,niesj001,haraa001,famij001,niesj001,haraa001
20150510,NYN,NL,31,PHI,NL,32,7,4,54,PHI13,27935,122020,1100200,40,14,4,0,1,6,0,0,0,1,0,5,1,0,0,0,7,5,4,4,0,0,27,8,0,0,0,0,35,9,3,0,1,4,0,1,1,1,0,7,0,0,0,0,7,4,7,7,0,0,27,8,1,0,1,0,colob001,billc001,famij001,colob001,billc001
20150511,NYN,NL,32,CHN,NL,31,3,4,51,CHI11,32980,102000,30010000x,31,6,0,0,2,3,0,0,0,5,0,7,1,0,1,0,6,5,4,4,0,0,24,9,1,0,0,0,28,6,0,0,2,4,1,0,1,6,1,8,1,1,0,0,8,4,3,3,1,0,27,11,0,0,2,0,lestj001,degrj001,rondh001,degrj001,lestj001
20150512,NYN,NL,33,CHN,NL,32,1,6,51,CHI11,31542,10,00000411x,28,5,0,0,0,1,0,1,0,2,0,12,0,0,2,0,3,4,6,6,1,0,24,5,0,0,0,0,35,11,4,1,2,6,0,0,0,7,1,9,0,0,0,0,12,2,1,1,0,0,27,9,0,0,2,0,arrij001,syndn001,,syndn001,arrij001
20150513,NYN,NL,34,CHN,NL,33,1,2,52,CHI11,33709,1000,11,30,6,1,0,0,1,1,0,2,1,0,7,1,0,2,0,6,3,2,2,1,0,25,12,0,0,2,0,29,7,1,0,0,2,0,0,1,4,2,10,0,0,2,0,7,3,1,1,0,0,27,7,0,0,2,0,rondh001,torrc001,,harvm001,hammj002
20150514,NYN,NL,35,CHN,NL,34,5,6,51,CHI11,31496,10220000,00014010x,37,10,1,0,3,5,0,0,0,1,0,14,1,0,0,0,6,4,4,4,0,0,24,10,1,1,0,0,31,6,1,0,1,5,0,0,2,2,0,3,1,0,0,0,5,6,5,5,0,0,27,3,0,0,0,0,strop001,niesj001,rondh001,niesj001,woodt004
20150515,MIL,NL,36,NYN,NL,36,7,0,54,NYC20,27554,14010010,0,36,10,4,0,3,7,0,0,0,0,0,5,0,0,1,0,2,2,0,0,0,0,27,6,1,0,0,0,30,3,1,0,0,0,1,0,0,1,0,9,0,0,0,0,5,4,6,6,0,0,27,17,1,0,1,0,lohsk001,colob001,,lohsk001,colob001
20150516,MIL,NL,37,NYN,NL,37,1,14,51,NYC20,30208,1000,010(10)0030x,31,7,0,0,0,1,0,1,0,1,0,10,0,0,1,0,5,4,14,14,0,0,24,10,0,0,2,0,39,16,4,0,3,14,0,0,0,3,0,9,0,0,2,0,4,3,1,1,0,0,27,7,0,0,2,0,degrj001,garzm001,,garzm001,degrj001
20150517,MIL,NL,38,NYN,NL,38,1,5,51,NYC20,32422,1000,10130000x,30,4,1,0,0,1,1,0,1,2,0,7,0,0,0,0,6,4,5,5,0,0,24,12,1,0,1,0,33,9,3,0,1,5,0,0,0,4,1,7,1,0,1,0,8,5,1,1,0,0,27,7,0,0,0,0,syndn001,peraw001,,peraw001,syndn001
20150518,SLN,NL,38,NYN,NL,39,1,2,82,NYC20,23338,100000,10000000001,50,9,3,0,0,1,0,1,0,3,1,18,0,0,1,0,11,8,2,2,0,0,40,18,0,0,2,0,47,10,2,0,0,2,0,0,0,4,1,14,0,0,2,0,9,6,1,1,2,0,42,13,1,0,2,0,torrc001,tuivs001,,lackj001,harvm001
20150519,SLN,NL,39,NYN,NL,40,10,2,54,NYC20,21157,111106000,200000,38,15,3,1,1,10,1,1,1,2,0,3,0,0,2,0,6,3,2,2,0,0,27,7,0,0,0,0,32,5,1,0,1,2,0,0,1,2,0,6,0,0,0,0,6,4,10,10,0,0,27,9,0,0,2,0,wachm001,niesj001,,wachm001,niesj001
20150520,SLN,NL,40,NYN,NL,41,9,0,54,NYC20,23726,100620000,0,41,14,2,1,2,9,1,0,0,3,0,9,0,0,0,0,9,3,0,0,0,0,27,8,1,0,2,0,30,4,0,0,0,0,0,0,1,2,0,5,0,0,2,0,6,4,8,8,0,0,27,9,1,0,0,0,martc006,colob001,,martc006,colob001
20150521,SLN,NL,41,NYN,NL,42,0,5,51,NYC20,32783,0,00010103x,29,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,4,5,5,0,0,24,14,0,0,4,0,27,9,0,0,2,5,1,0,0,7,0,5,0,1,3,0,6,2,0,0,0,0,27,9,0,0,0,0,degrj001,garcj004,,garcj004,degrj001
20150522,NYN,NL,43,PIT,NL,41,1,4,51,PIT08,33337,1000000,02000200x,28,6,0,0,0,0,1,0,1,1,0,10,0,2,3,0,3,2,1,1,1,0,24,10,2,1,0,0,30,6,3,0,0,3,0,1,1,0,0,7,3,0,0,0,4,2,0,0,1,0,27,13,1,0,4,0,coleg001,syndn001,melam001,syndn001,coleg001
20150523,NYN,NL,44,PIT,NL,42,2,8,51,PIT08,39385,100010,21040010x,33,7,0,0,1,2,0,0,1,0,0,12,0,0,1,0,5,5,7,7,2,0,24,12,1,0,0,0,33,10,3,0,2,7,0,1,0,2,0,5,1,0,0,0,4,3,2,2,0,0,27,10,0,0,1,0,burna001,harvm001,,harvm001,burna001
20150524,NYN,NL,45,PIT,NL,43,1,9,51,PIT08,37784,10000,00013320x,34,7,1,0,0,1,0,0,0,2,0,14,0,0,0,0,8,3,9,9,0,0,24,8,0,0,0,0,35,12,2,0,2,9,0,1,0,6,2,7,1,0,0,0,9,4,1,1,0,0,27,8,0,0,0,0,lirif001,niesj001,,niesj001,lirif001
20150525,PHI,NL,47,NYN,NL,46,3,6,51,NYC20,30946,2010000,10110300x,33,6,1,0,0,3,0,1,0,3,0,10,0,0,0,0,7,5,6,6,0,0,24,6,0,0,2,0,30,8,0,0,3,6,0,0,1,3,0,9,1,0,1,0,4,4,3,3,1,0,27,4,0,0,0,0,colob001,araue001,famij001,gonzs001,colob001
20150526,PHI,NL,48,NYN,NL,47,4,5,59,NYC20,21064,400,30000101,38,11,0,1,0,4,0,0,0,2,0,12,0,1,2,0,6,5,5,5,0,0,29,13,0,0,3,0,34,9,1,0,0,5,0,1,0,7,0,7,1,0,2,0,8,5,4,4,0,0,30,14,0,0,2,0,famij001,gomej002,,willj003,degrj001
20150527,PHI,NL,49,NYN,NL,48,0,7,51,NYC20,24406,0,10311100x,33,8,1,0,0,0,0,0,0,0,0,8,0,0,2,0,6,3,7,7,0,0,24,11,1,0,2,0,34,12,1,0,4,7,0,1,1,2,0,4,0,0,2,0,7,3,0,0,0,0,27,11,0,0,2,0,syndn001,osuls001,,osuls001,syndn001
20150529,MIA,NL,49,NYN,NL,49,4,3,54,NYC20,33880,310000,101001,32,6,0,0,1,4,1,0,0,1,0,12,1,0,0,0,3,3,3,3,1,0,27,13,0,0,1,0,32,6,2,0,2,3,0,0,0,1,0,7,0,0,1,0,3,2,4,4,0,0,27,8,0,0,0,0,hared001,harvm001,ramoa001,hared001,harvm001
20150530,MIA,NL,50,NYN,NL,50,9,5,54,NYC20,39095,21200202,100400000,41,14,4,0,4,9,0,0,0,1,0,9,1,0,0,0,6,7,5,5,0,0,27,12,2,0,1,0,36,9,2,0,0,5,0,0,1,6,0,6,0,0,1,0,11,5,8,8,0,0,27,11,2,0,0,0,dunnm002,roblh001,ramoa001,koeht001,niesj001
20150531,MIA,NL,51,NYN,NL,51,3,4,51,NYC20,28711,10011000,11100010x,35,9,1,0,1,3,1,0,0,0,0,5,0,0,0,0,6,4,3,3,1,0,24,5,1,0,0,0,31,6,2,0,1,3,0,0,1,1,1,4,1,0,0,0,5,3,3,3,0,0,27,11,0,0,0,0,colob001,cishs001,famij001,pheld001,colob001
20150601,NYN,NL,52,SDN,NL,53,7,0,54,SAN02,21893,200040100,0,38,13,3,1,1,6,0,0,0,1,0,16,1,1,1,0,5,2,0,0,0,0,27,5,0,0,1,0,28,2,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,5,6,6,0,0,27,4,1,0,3,0,degrj001,casha001,,degrj001,casha001
20150602,NYN,NL,53,SDN,NL,54,2,7,51,SAN02,22264,100001000,04120000x,34,8,1,0,0,2,0,0,0,2,0,12,0,1,0,0,7,5,7,7,0,0,24,5,0,0,0,0,36,14,1,2,1,7,1,0,0,2,0,13,1,1,0,0,8,5,2,2,0,0,27,6,0,0,0,0,kenni001,syndn001,,syndn001,kenni001
20150603,NYN,NL,54,SDN,NL,55,3,7,51,SAN02,24398,1101,20023000x,34,9,3,0,0,3,0,0,2,3,0,6,0,0,2,0,9,4,4,4,0,0,24,8,3,0,1,0,34,10,0,0,0,6,1,1,1,1,0,5,1,0,1,0,7,3,2,2,0,0,27,11,1,0,3,0,shiej002,gee-d001,,gee-d001,shiej002
20150604,NYN,NL,55,ARI,NL,53,6,2,54,PHO01,18954,3012,10001000,41,14,5,0,1,6,0,1,0,1,0,9,0,0,0,0,10,4,2,2,3,0,27,8,0,0,1,0,34,8,0,0,2,2,0,0,0,2,0,11,0,0,1,0,7,5,4,4,0,0,27,6,1,0,0,0,harvm001,leond003,famij001,harvm001,ray-r002
20150605,NYN,NL,56,ARI,NL,54,2,7,51,PHO01,24332,10100000,00100204x,32,6,1,0,1,2,0,0,0,3,0,10,0,0,1,0,6,4,7,7,1,0,24,8,1,0,1,0,30,9,3,1,0,6,1,1,0,4,1,10,3,0,1,0,5,4,2,2,0,0,27,6,0,0,1,0,hellj001,niesj001,,niesj001,hellj001
20150606,NYN,NL,57,ARI,NL,55,1,2,51,PHO01,30265,10000000,00000020x,33,10,0,0,1,1,0,0,0,2,0,8,0,0,4,1,8,4,2,2,0,0,24,10,1,0,1,0,29,6,0,0,1,2,0,0,0,2,1,8,0,0,1,0,5,4,1,1,0,0,27,11,1,0,4,0,delgr001,colob001,ziegb001,colob001,andec001
20150607,NYN,NL,58,ARI,NL,56,6,3,54,PHO01,31575,120011001,200001000,36,11,2,0,4,6,0,0,0,4,2,3,4,0,2,0,7,3,2,2,0,0,27,9,1,0,1,0,31,5,1,0,0,3,0,1,0,3,0,10,0,0,1,0,5,4,6,6,0,0,27,7,0,0,2,0,degrj001,collj001,famij001,degrj001,collj001
20150609,SFN,NL,59,NYN,NL,59,5,0,54,NYC20,23155,100201100,0,37,13,1,0,2,5,0,0,1,2,0,3,0,0,2,0,8,1,0,0,0,0,27,13,0,0,1,0,26,0,0,0,0,0,0,0,3,0,0,11,0,0,1,0,2,3,5,5,0,0,27,11,0,0,3,0,hestc001,syndn001,,hestc001,syndn001
20150610,SFN,NL,60,NYN,NL,60,8,5,54,NYC20,24436,200005001,200110010,39,14,3,0,3,8,0,0,0,3,0,5,0,0,1,0,7,6,5,5,0,0,27,12,0,0,2,0,35,11,3,1,0,5,0,0,1,2,0,10,0,0,2,0,6,6,8,8,0,0,27,16,2,0,1,0,hudst001,harvm001,garcj002,hudst001,harvm001
20150611,SFN,NL,61,NYN,NL,61,4,5,53,NYC20,25143,200002000,120101,31,6,0,0,1,3,1,0,1,3,0,4,0,0,2,0,5,6,4,4,0,0,26,6,1,1,1,0,34,9,4,0,0,5,0,1,1,4,1,7,0,0,1,0,9,3,2,2,0,0,27,19,1,0,2,0,famij001,romos001,,linct001,niesj001
20150612,ATL,NL,61,NYN,NL,62,3,5,51,NYC20,32554,20100,01020110x,32,9,2,0,0,2,1,0,1,6,2,3,0,0,3,0,10,3,4,4,0,0,24,8,1,0,2,0,29,7,2,0,2,5,0,0,1,4,1,7,1,0,2,0,5,4,3,3,0,0,27,14,0,0,3,0,colob001,wooda002,famij001,wooda002,colob001
20150613,ATL,NL,62,NYN,NL,63,5,3,66,NYC20,37734,10000000202,30000,44,13,2,0,1,5,3,0,0,3,1,12,1,0,1,0,12,7,3,3,1,0,33,13,1,0,1,0,43,11,4,0,0,2,0,0,0,2,0,8,0,0,0,0,9,6,5,5,1,0,33,13,3,0,2,0,grilj001,torrc001,perew001,mills001,degrj001
20150614,ATL,NL,63,NYN,NL,64,8,10,51,NYC20,36340,131300000,10222300x,40,14,3,0,1,8,0,0,0,3,1,7,1,0,1,0,8,5,9,9,0,0,24,9,0,1,0,0,36,14,2,0,4,9,0,0,0,4,0,9,1,0,0,0,6,6,8,8,0,0,27,10,0,0,1,0,gilms001,avill001,famij001,foltm001,gee-d001
