teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
BOS,AL,7,0,35,10,1,0,4,7,2,4,3,3,1,1,1,0.2857142857142857,0.32432432432432434,0.6571428571428571,0.9814671814671816,1.0,0.0
BOS,AL,6,0,42,9,2,0,1,6,12,10,13,6,7,7,0,0.21428571428571427,0.3888888888888889,0.3333333333333333,0.7222222222222222,0.0,1.0
BOS,AL,1,0,33,7,2,0,0,1,5,9,10,2,5,5,0,0.21212121212121213,0.3157894736842105,0.2727272727272727,0.5885167464114832,0.0,0.0
BOS,AL,9,0,38,13,1,0,5,9,2,4,4,4,11,11,0,0.34210526315789475,0.375,0.7631578947368421,1.138157894736842,0.0,0.0
BOS,AL,7,0,37,10,2,0,1,7,3,5,6,6,3,3,2,0.2702702702702703,0.325,0.40540540540540543,0.7304054054054054,1.0,0.0
BOS,AL,3,1,34,10,0,0,1,3,1,5,8,2,2,2,1,0.29411764705882354,0.3142857142857143,0.38235294117647056,0.6966386554621848,1.0,1.0
BOS,AL,6,1,32,8,5,0,2,5,3,6,5,1,1,1,1,0.25,0.3142857142857143,0.59375,0.9080357142857144,1.0,1.0
BOS,AL,1,0,30,4,1,0,1,1,2,9,6,3,5,5,0,0.13333333333333333,0.21212121212121213,0.26666666666666666,0.4787878787878788,0.0,1.0
BOS,AL,5,0,33,9,4,0,0,5,3,6,6,2,0,0,0,0.2727272727272727,0.32432432432432434,0.3939393939393939,0.7182637182637183,1.0,0.0
BOS,AL,8,0,37,10,2,1,1,7,4,4,8,2,3,3,0,0.2702702702702703,0.3333333333333333,0.4594594594594595,0.7927927927927928,1.0,1.0
BOS,AL,6,0,37,12,1,0,2,6,3,4,7,3,1,1,0,0.32432432432432434,0.375,0.5135135135135135,0.8885135135135135,1.0,1.0
BOS,AL,2,0,31,4,1,0,0,2,3,6,5,4,0,0,0,0.12903225806451613,0.2058823529411765,0.16129032258064516,0.3671726755218217,1.0,1.0
BOS,AL,11,0,39,13,1,1,3,11,7,6,8,4,3,3,0,0.3333333333333333,0.43478260869565216,0.6410256410256411,1.0758082497212933,1.0,1.0
