Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
37143,20100418,lestj001,BOS,15,27,0,0,0,2,2,1,3,12,0,5,0,7,0,2,0,3,27,1,1,0,1,0,5,7,0,0,2,0,AL,AL,54,lestj001,BOS07,,,garzm001,12,5,1,7,TBA,13,32,0,0,0,3,2,0,2,0,7,2,1,0,0,2,27,7,0,3,6,1,0,0,6,0,garzm001,0.21875,0.18518518518518517,0.34210526315789475,0.23333333333333334,0.46875,0.25925925925925924,0.8108552631578947,0.4925925925925926,1.0,1.0
37609,20100419,lackj001,BOS,10,30,0,0,0,1,1,1,1,13,0,5,1,8,0,5,0,4,27,2,0,1,2,0,4,8,0,0,3,0,AL,AL,54,lackj001,BOS07,,,niemj001,13,5,1,8,TBA,9,35,0,0,0,1,4,0,1,0,12,1,2,0,0,2,27,8,1,1,5,2,0,1,3,0,niemj001,0.34285714285714286,0.16666666666666666,0.38461538461538464,0.24242424242424243,0.6,0.3,0.9846153846153847,0.5424242424242425,1.0,1.0
19260,20100420,dankj001,CHA,11,30,0,0,0,1,1,1,0,14,0,7,2,1,1,6,0,2,27,3,0,1,4,0,6,1,0,1,3,0,AL,AL,51,pricd001,CHI12,jenkb001,,pricd001,14,3,0,1,TBA,8,29,0,0,1,0,0,1,1,0,3,1,4,0,0,3,24,1,0,0,10,4,0,0,2,0,dankj001,0.10344827586206896,0.23333333333333334,0.16129032258064516,0.30303030303030304,0.20689655172413793,0.5333333333333333,0.3681868743047831,0.8363636363636364,0.0,1.0
17023,20100421,buehm001,CHA,10,30,0,0,1,0,0,1,1,15,0,4,0,11,0,7,0,6,27,0,0,0,0,1,10,11,0,0,4,1,AL,AL,54,buehm001,CHI12,,,daviw001,15,8,1,12,TBA,11,36,0,0,1,1,4,1,0,0,13,1,0,0,0,3,27,12,2,0,10,0,0,0,8,0,daviw001,0.3611111111111111,0.13333333333333333,0.45652173913043476,0.23529411764705882,0.5555555555555556,0.13333333333333333,1.0120772946859904,0.3686274509803922,1.0,0.0
18207,20100422,peavj001,CHA,7,33,0,0,0,0,0,0,1,16,0,6,1,10,0,7,0,4,27,2,0,0,2,1,3,10,0,0,3,0,AL,AL,54,peavj001,CHI12,,,shiej002,16,11,0,10,TBA,14,38,0,0,0,1,5,2,0,0,11,0,2,1,0,3,27,10,0,1,7,2,0,0,10,0,shiej002,0.2894736842105263,0.18181818181818182,0.4375,0.25,0.42105263157894735,0.2727272727272727,0.8585526315789473,0.5227272727272727,1.0,1.0
22056,20100423,garzm001,TBA,5,36,0,0,0,0,2,0,0,17,0,9,2,6,0,7,0,6,27,5,0,0,5,2,10,6,0,0,3,1,AL,AL,54,garzm001,STP01,gregk001,,cecib001,17,11,0,6,TOR,5,38,0,1,0,0,6,0,0,1,11,1,5,1,0,4,27,6,0,1,12,5,0,0,5,0,cecib001,0.2894736842105263,0.25,0.38636363636363635,0.3076923076923077,0.5263157894736842,0.4722222222222222,0.9126794258373205,0.7799145299145299,0.0,1.0
23870,20100424,niemj001,TBA,7,34,0,0,0,0,2,0,1,18,1,11,1,3,1,8,0,5,27,9,0,1,9,0,3,3,0,0,5,0,AL,AL,51,downs001,STP01,,,romer002,18,6,0,3,TOR,12,33,0,0,0,1,1,2,0,1,6,2,9,1,0,4,24,3,0,1,10,9,0,0,2,1,wheed001,0.18181818181818182,0.3235294117647059,0.25,0.425,0.3939393939393939,0.47058823529411764,0.6439393939393939,0.8955882352941176,1.0,0.0
23250,20100425,pricd001,TBA,11,27,0,1,4,1,3,0,1,19,1,8,0,0,0,6,0,1,27,6,0,0,6,0,9,0,0,0,8,0,AL,AL,51,morrb001,STP01,,,morrb001,19,4,0,0,TOR,13,30,0,0,0,1,2,0,1,0,4,0,6,0,0,4,24,0,0,0,9,6,0,0,1,0,pricd001,0.13333333333333333,0.2962962962962963,0.16129032258064516,0.4722222222222222,0.2,0.4074074074074074,0.3612903225806452,0.8796296296296295,1.0,1.0
10825,20100427,daviw001,TBA,8,35,0,0,1,0,2,0,0,20,0,12,2,6,0,5,0,5,27,8,0,0,8,0,5,6,0,0,2,0,AL,AL,51,sheeb001,STP01,sorir001,,sheeb001,21,8,0,6,OAK,7,38,0,0,0,0,3,1,0,0,13,1,8,0,0,5,24,6,1,0,9,8,0,0,2,0,daviw001,0.34210526315789475,0.34285714285714286,0.36585365853658536,0.3783783783783784,0.5,0.5714285714285714,0.8658536585365854,0.9498069498069498,1.0,1.0
10691,20100428,shiej002,TBA,7,37,0,0,0,0,3,3,1,21,0,14,2,2,0,8,1,2,27,8,1,0,10,0,5,2,0,0,4,0,AL,AL,51,bradd002,STP01,,,bradd002,22,10,0,3,OAK,8,39,0,0,0,1,2,2,0,0,10,2,10,0,0,4,24,2,0,0,12,10,0,0,1,2,shiej002,0.2564102564102564,0.3783783783783784,0.275,0.42857142857142855,0.46153846153846156,0.6216216216216216,0.7365384615384616,1.05019305019305,1.0,1.0
12766,20100429,garzm001,TBA,6,40,0,0,0,1,4,0,1,22,1,15,0,1,0,12,0,4,27,11,0,0,11,2,7,1,0,2,6,0,AL,AL,51,hochl001,STP01,,,hochl001,22,7,0,1,KCA,10,32,0,1,0,1,2,2,1,0,6,1,11,0,0,5,24,1,0,1,11,11,0,0,3,0,garzm001,0.1875,0.375,0.2571428571428571,0.46808510638297873,0.34375,0.575,0.6008928571428571,1.0430851063829787,1.0,1.0
25195,20100430,niemj001,TBA,15,28,0,0,1,3,0,1,1,23,0,4,1,2,0,4,0,3,27,2,1,0,2,0,4,2,0,0,4,0,AL,AL,54,choar001,STP01,sorij001,,bannb001,23,5,2,3,KCA,14,27,0,0,0,2,1,0,3,1,6,0,2,1,0,3,27,3,1,0,4,2,0,0,4,0,rupej001,0.2222222222222222,0.14285714285714285,0.3333333333333333,0.24242424242424243,0.25925925925925924,0.25,0.5925925925925926,0.49242424242424243,0.0,1.0
34813,20100501,pricd001,TBA,15,37,0,0,1,1,1,1,1,24,0,7,0,4,0,8,0,6,33,1,0,0,2,2,12,4,0,0,6,0,AL,AL,66,corml001,STP01,sorij001,,davik002,24,6,0,4,KCA,13,39,0,0,1,2,1,0,1,0,7,0,2,1,0,5,33,4,0,2,6,2,0,0,4,0,tejer001,0.1794871794871795,0.1891891891891892,0.2558139534883721,0.3023255813953488,0.20512820512820512,0.21621621621621623,0.4609421586165772,0.518541797611565,0.0,0.0
19757,20100502,daviw001,TBA,7,28,0,0,0,1,0,1,0,25,1,4,1,0,0,4,0,4,27,1,0,0,1,0,6,0,0,0,0,0,AL,AL,51,greiz001,STP01,sorir001,,greiz001,25,6,0,0,KCA,5,29,0,0,0,0,2,0,1,0,3,0,1,0,0,1,24,0,0,0,7,1,0,0,4,0,daviw001,0.10344827586206896,0.14285714285714285,0.21212121212121213,0.1724137931034483,0.1724137931034483,0.25,0.38453500522466044,0.4224137931034483,1.0,0.0
15589,20100504,vargj001,SEA,6,34,0,0,0,0,1,4,0,26,0,8,0,4,0,6,1,4,27,1,0,0,2,0,12,4,0,0,1,1,AL,AL,54,vargj001,SEA03,sorir001,,shiej002,26,12,0,5,TBA,9,38,0,0,0,0,2,0,0,0,8,1,2,0,0,2,27,5,1,0,11,2,0,0,5,1,shiej002,0.21052631578947367,0.23529411764705882,0.29545454545454547,0.2571428571428571,0.34210526315789475,0.2647058823529412,0.6375598086124402,0.5218487394957982,1.0,1.0
14627,20100505,lee-c003,SEA,11,34,0,0,0,0,2,1,0,27,0,6,1,7,0,6,1,3,27,3,0,0,3,0,6,7,0,0,2,0,AL,AL,54,lee-c003,SEA03,,,garzm001,27,6,0,8,TBA,11,37,0,0,0,0,3,1,0,0,11,0,2,0,0,2,27,7,1,0,6,2,0,0,3,1,garzm001,0.2972972972972973,0.17647058823529413,0.34146341463414637,0.2222222222222222,0.3783783783783784,0.3235294117647059,0.7198417930125247,0.5457516339869282,1.0,1.0
