teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
SEA,AL,4,0,36,10,3,0,3,4,3,6,8,4,3,3,1,0.2777777777777778,0.3333333333333333,0.6111111111111112,0.9444444444444444,1.0,0.0
SEA,AL,2,0,32,6,1,0,1,1,1,10,4,4,3,3,0,0.1875,0.21212121212121213,0.3125,0.5246212121212122,0.0,1.0
SEA,AL,1,0,31,6,0,0,0,1,3,4,7,1,2,2,2,0.1935483870967742,0.2857142857142857,0.1935483870967742,0.4792626728110599,0.0,0.0
SEA,AL,4,0,31,6,0,0,1,4,4,5,4,4,8,8,1,0.1935483870967742,0.2857142857142857,0.2903225806451613,0.5760368663594471,0.0,0.0
SEA,AL,5,0,36,10,1,0,1,5,5,9,7,5,6,6,0,0.2777777777777778,0.35714285714285715,0.3888888888888889,0.7460317460317459,0.0,0.0
SEA,AL,2,1,38,10,1,0,0,2,2,5,11,2,3,3,0,0.2631578947368421,0.3,0.2894736842105263,0.5894736842105264,0.0,0.0
SEA,AL,4,1,28,8,1,0,0,4,5,6,7,3,3,3,0,0.2857142857142857,0.38235294117647056,0.32142857142857145,0.703781512605042,1.0,0.0
SEA,AL,15,1,40,15,3,0,3,15,4,8,6,3,7,7,1,0.375,0.4222222222222222,0.675,1.0972222222222223,1.0,1.0
SEA,AL,1,1,34,9,2,0,0,1,0,8,6,4,2,2,1,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.5882352941176471,0.0,1.0
SEA,AL,1,1,31,5,2,0,0,1,3,6,7,4,7,7,0,0.16129032258064516,0.22857142857142854,0.2258064516129032,0.4543778801843318,0.0,0.0
SEA,AL,5,1,30,7,2,0,2,5,2,8,4,3,2,2,1,0.2333333333333333,0.2727272727272727,0.5,0.7727272727272727,1.0,0.0
SEA,AL,5,1,34,10,1,0,1,5,2,9,8,4,2,2,1,0.29411764705882354,0.35135135135135137,0.4117647058823529,0.7631160572337043,1.0,1.0
SEA,AL,8,0,36,11,3,0,1,7,3,4,6,2,2,2,1,0.3055555555555556,0.36585365853658536,0.4722222222222222,0.8380758807588076,1.0,1.0
SEA,AL,1,0,34,4,0,0,0,0,3,10,6,2,4,4,1,0.1176470588235294,0.1891891891891892,0.1176470588235294,0.3068362480127186,0.0,1.0
SEA,AL,7,0,37,13,1,0,1,7,7,5,10,5,8,8,1,0.35135135135135137,0.4545454545454545,0.4594594594594595,0.914004914004914,0.0,0.0
SEA,AL,4,1,36,10,2,0,0,3,0,9,5,3,5,5,0,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.6111111111111112,0.0,0.0
SEA,AL,7,1,36,13,1,0,1,7,2,6,7,3,1,1,0,0.3611111111111111,0.3947368421052632,0.4722222222222222,0.8669590643274854,1.0,0.0
SEA,AL,2,1,35,8,0,0,0,2,1,5,6,3,1,1,0,0.22857142857142854,0.2432432432432433,0.22857142857142854,0.4718146718146719,1.0,1.0
SEA,AL,4,1,30,9,1,0,1,4,2,6,5,2,1,1,0,0.3,0.34375,0.43333333333333335,0.7770833333333333,1.0,1.0
SEA,AL,1,1,33,9,1,0,0,1,2,5,7,4,6,6,1,0.2727272727272727,0.3142857142857143,0.30303030303030304,0.6173160173160173,0.0,1.0
SEA,AL,2,1,33,8,1,0,0,2,6,6,11,6,11,11,0,0.24242424242424246,0.375,0.2727272727272727,0.6477272727272727,0.0,0.0
SEA,AL,4,1,38,12,4,1,0,4,4,7,11,6,8,8,2,0.3157894736842105,0.3809523809523809,0.4736842105263158,0.8546365914786966,0.0,0.0
SEA,AL,4,0,35,10,0,0,1,4,2,6,7,1,2,2,1,0.2857142857142857,0.32432432432432434,0.37142857142857133,0.6957528957528958,1.0,0.0
SEA,AL,1,0,31,4,1,0,0,1,3,5,6,3,7,7,1,0.12903225806451613,0.2058823529411765,0.16129032258064516,0.3671726755218217,0.0,1.0
