Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100416,BAL,AL,11,OAK,AL,12,2,4,51,OAK01,12225.0,30,5,2,0,1,2,0,0,0,1,0,5,0,0,2,0,2,3,3,3,0,0,24,8,1,0,0,0,32,9,0,1,0,4,0,1,0,0,0,10,1,0,0,0,5,3,2,2,0,0,27,14,1,0,2,0,bradd002,millk004,baila001,millk004,bradd002,,0.16666666666666666,0.28125,0.1935483870967742,0.2727272727272727,0.3333333333333333,0.34375,0.5268817204301075,0.6164772727272727,0.0,0.0
20100417,BAL,AL,12,OAK,AL,13,3,4,52,OAK01,15072.0,35,9,1,0,0,3,0,1,0,3,0,8,0,0,1,0,9,6,3,3,2,1,25,7,1,0,0,0,32,8,3,0,0,4,2,1,0,4,1,6,1,0,0,0,10,5,1,1,0,0,27,7,1,0,1,0,blevj001,johnj010,,guthj001,duchj001,,0.2571428571428571,0.25,0.3076923076923077,0.32432432432432434,0.2857142857142857,0.34375,0.5934065934065934,0.6680743243243243,0.0,0.0
20100418,BAL,AL,13,OAK,AL,14,8,3,54,OAK01,14451.0,39,11,3,0,1,8,0,0,0,0,0,6,0,1,0,0,4,3,3,3,0,0,27,7,0,0,1,0,34,10,1,0,0,3,0,1,1,1,0,10,0,0,1,0,7,4,7,7,0,0,27,18,2,1,0,0,matub001,andeb004,johnj010,matub001,andeb004,,0.28205128205128205,0.29411764705882354,0.28205128205128205,0.32432432432432434,0.4358974358974359,0.3235294117647059,0.717948717948718,0.6478537360890302,1.0,0.0
20100419,BAL,AL,14,SEA,AL,14,2,8,51,SEA03,14528.0,31,5,1,0,1,2,0,0,1,1,0,5,0,0,1,0,4,3,5,5,0,0,24,8,2,0,1,0,35,12,5,0,1,8,0,0,0,5,0,5,0,0,1,0,8,3,2,2,0,0,27,13,0,0,1,0,fistd001,bergb002,,bergb002,fistd001,,0.16129032258064516,0.34285714285714286,0.21212121212121213,0.425,0.2903225806451613,0.5714285714285714,0.5024437927663734,0.9964285714285714,0.0,1.0
20100420,BAL,AL,15,SEA,AL,15,1,3,51,SEA03,15931.0,32,4,3,0,0,1,0,0,0,2,0,7,0,0,0,0,6,3,3,3,1,0,24,13,1,0,1,0,31,8,2,0,0,3,0,1,0,2,0,3,1,0,1,0,7,3,1,1,0,0,27,9,1,0,0,0,vargj001,hernd002,aardd001,hernd002,vargj001,,0.125,0.25806451612903225,0.17647058823529413,0.29411764705882354,0.21875,0.3225806451612903,0.39522058823529416,0.6166982922201139,0.0,0.0
20100421,BAL,AL,16,SEA,AL,16,1,4,51,SEA03,18401.0,35,9,0,0,0,1,0,0,0,0,0,6,0,0,2,0,7,1,4,4,0,0,24,9,1,0,1,0,30,6,1,0,0,4,0,0,1,3,1,4,1,0,1,0,6,1,0,0,0,0,27,13,2,0,2,0,hernf002,millk004,,millk004,hernf002,,0.2571428571428571,0.2,0.2571428571428571,0.29411764705882354,0.2571428571428571,0.23333333333333334,0.5142857142857142,0.5274509803921569,0.0,0.0
20100423,BAL,AL,17,BOS,AL,17,3,4,51,BOS07,37367.0,34,9,2,0,1,3,0,0,1,7,1,9,1,1,1,0,12,6,4,4,0,0,24,11,2,0,3,0,26,6,0,0,1,3,1,1,0,7,1,0,0,0,3,0,7,5,3,3,1,0,27,14,0,0,1,0,delcm001,albem001,papej001,guthj001,lestj001,,0.2647058823529412,0.23076923076923078,0.40476190476190477,0.38235294117647056,0.4117647058823529,0.34615384615384615,0.8165266106442577,0.7285067873303167,0.0,0.0
20100424,BAL,AL,18,BOS,AL,18,6,7,51,BOS07,38017.0,42,17,2,0,2,5,0,0,0,2,0,6,0,0,2,0,11,4,7,7,0,0,24,7,0,0,1,0,32,9,1,0,3,7,0,0,0,4,0,8,1,0,1,0,5,4,6,6,0,0,27,12,1,0,2,0,lackj001,albem001,papej001,matub001,lackj001,,0.40476190476190477,0.28125,0.4318181818181818,0.3611111111111111,0.5952380952380952,0.59375,1.027056277056277,0.9548611111111112,0.0,0.0
20100425,BAL,AL,19,BOS,AL,19,7,6,60,BOS07,37102.0,45,14,4,0,1,7,0,0,0,2,0,10,1,0,0,0,10,6,6,6,1,0,30,7,0,0,0,0,41,13,4,0,0,6,1,1,0,3,0,6,0,0,0,0,10,6,7,7,0,0,30,5,1,0,0,0,johnj010,atchs001,merec001,hernd002,waket001,,0.3111111111111111,0.3170731707317073,0.3404255319148936,0.35555555555555557,0.4666666666666667,0.4146341463414634,0.8070921985815602,0.770189701897019,1.0,0.0
20100427,NYA,AL,19,BAL,AL,20,4,5,51,BAL12,20536.0,36,9,0,0,1,3,0,0,0,4,0,9,0,1,0,0,9,4,4,4,0,0,24,8,2,0,1,0,31,7,1,0,0,5,0,0,1,6,0,4,1,0,1,0,9,4,2,2,0,0,27,8,2,0,0,0,casta002,robed002,simoa001,hughp001,millk004,,0.25,0.22580645161290322,0.325,0.3684210526315789,0.3333333333333333,0.25806451612903225,0.6583333333333333,0.6264855687606112,1.0,1.0
