Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20160419","LAN","NL",14,"ATL","NL",13,1,8,51,"ATL02",14160,"000010000","20220020x",30,5,0,0,0,1,1,0,0,4,0,7,0,0,1,0,7,6,4,4,1,0,24,15,3,1,2,0,34,10,1,0,0,8,0,1,2,3,0,4,0,0,2,0,8,5,1,1,1,0,27,9,0,0,1,0,"weber001","wooda002","","wooda002","perew001",
"20160420","LAN","NL",15,"ATL","NL",14,5,3,60,"ATL02",16087,"0000120002","0012000000",38,10,2,0,1,5,0,0,0,5,1,9,2,2,0,0,8,7,2,2,0,0,30,15,1,0,0,0,37,7,1,0,0,3,1,0,0,3,1,7,1,0,0,0,8,8,5,5,1,0,30,9,2,0,0,0,"blanj001","grilj001","jansk001","strir001","tehej001",
"20160421","LAN","NL",16,"ATL","NL",15,2,1,60,"ATL02",18431,"1000000001","1000000000",40,9,2,0,0,2,0,0,0,5,1,10,1,0,1,0,13,3,1,1,0,0,30,13,1,1,1,0,38,11,3,0,0,1,0,0,0,1,0,11,0,0,1,0,8,5,1,1,2,0,30,11,3,0,1,0,"hatcc002","ogana001","jansk001","kersc001","wislm001",
"20160422","LAN","NL",17,"COL","NL",16,5,7,51,"DEN02",37153,"300020000","01030012x",34,8,0,1,2,5,0,0,0,4,0,14,1,0,0,0,6,6,7,7,0,0,24,14,0,0,0,0,30,9,1,1,2,7,1,1,0,3,0,5,0,0,0,0,4,5,5,5,0,0,27,8,1,0,0,0,"qualc001","hatcc002","mcgej001","kazms001","grayj003",
"20160423","LAN","NL",18,"COL","NL",17,4,1,54,"DEN02",42179,"120001000","000000100",36,10,2,0,1,4,1,0,0,3,0,8,0,0,0,0,9,5,1,1,0,0,27,10,1,0,0,0,33,6,1,0,0,1,0,0,0,1,0,11,0,0,0,0,6,4,4,4,0,0,27,8,0,0,0,0,"maedk001","chatt001","jansk001","maedk001","chatt001",
"20160424","LAN","NL",19,"COL","NL",18,12,10,54,"DEN02",35962,"043000005","010301050",37,11,4,1,1,11,1,0,0,10,0,6,0,0,1,0,9,7,10,10,2,0,27,9,2,0,1,0,36,11,2,0,0,9,2,0,0,9,1,9,2,0,1,0,10,6,10,10,1,0,27,16,1,0,1,0,"blanj001","mcgej001","jansk001","wooda002","lylej001",
"20160425","MIA","NL",18,"LAN","NL",20,3,2,54,"LOS03",44954,"000111000","000200000",34,8,1,1,1,3,0,0,0,3,0,6,0,0,0,0,7,4,2,2,0,0,27,12,1,1,1,0,33,7,0,0,2,2,1,0,0,2,0,8,0,0,1,0,7,5,3,3,0,0,27,10,0,0,1,0,"chenw001","strir001","ramoa001","chenw001","strir001",
"20160426","MIA","NL",19,"LAN","NL",21,6,3,54,"LOS03",41102,"000005010","200100000",38,11,2,1,1,6,0,0,1,1,0,10,0,0,0,0,7,5,2,2,3,0,27,7,1,0,0,0,33,6,2,0,0,1,0,0,0,5,0,7,0,0,0,0,8,4,6,6,1,0,27,10,0,0,0,0,"koeht001","kersc001","ramoa001","koeht001","kersc001",
"20160427","MIA","NL",20,"LAN","NL",22,2,0,54,"LOS03",38909,"200000000","000000000",34,8,0,0,0,2,0,0,1,2,0,8,0,0,1,0,8,5,0,0,0,0,27,14,0,0,1,0,28,2,0,0,0,0,0,0,0,5,0,4,0,0,1,0,6,4,2,2,0,0,27,7,0,0,1,0,"nicoj001","kazms001","urenj001","nicoj001","kazms001",
"20160428","MIA","NL",21,"LAN","NL",23,5,3,54,"LOS03",44009,"010000310","200000001",36,9,1,0,2,4,0,0,0,2,0,6,0,0,0,0,6,5,3,3,1,0,27,8,1,0,2,0,33,8,1,0,0,2,0,0,1,4,0,12,0,0,2,0,8,3,5,5,0,1,27,8,0,0,0,0,"fernj003","maedk001","ramoa001","fernj003","maedk001",
