Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS
20100416,DET,AL,10,SEA,AL,11,3,11,51,SEA03,39999,34,8,3,0,0,3,0,0,0,2,0,10,0,0,1,0,6,3,9,9,0,0,24,1,3,0,0,0,34,12,0,1,0,10,1,3,0,6,0,6,2,0,0,0,9,3,3,3,0,0,27,10,0,1,1,0,hernf002,bondj001,,bondj001,hernf002,,0.25,0.5,0.2777777777777778,0.4186046511627907,0.3235294117647059,0.4117647058823529,0.6013071895424837,0.8303693570451436
20100417,DET,AL,11,SEA,AL,12,2,4,51,SEA03,31647,32,7,1,0,1,2,1,0,0,4,0,5,0,0,1,0,8,3,4,4,0,0,24,10,1,0,0,0,29,8,2,1,0,4,0,1,0,2,0,7,3,1,0,0,4,4,2,2,0,0,27,9,0,1,1,0,leagb001,verlj001,aardd001,verlj001,rowlr002,,0.25925925925925924,0.3076923076923077,0.3055555555555556,0.3125,0.34375,0.41379310344827586,0.6493055555555556,0.7262931034482758
20100418,DET,AL,12,SEA,AL,13,4,2,54,SEA03,30419,34,9,3,1,1,4,0,0,0,9,1,6,0,0,2,0,12,4,2,2,0,0,27,13,0,0,1,0,30,7,2,0,1,2,1,0,0,4,0,7,0,1,0,0,6,5,4,4,0,0,27,12,1,0,2,0,schem001,sneli001,valvj001,schem001,sneli001,,0.375,0.28,0.4186046511627907,0.3235294117647059,0.5,0.4,0.9186046511627908,0.723529411764706
20100419,BAL,AL,14,SEA,AL,14,2,8,51,SEA03,14528,31,5,1,0,1,2,0,0,1,1,0,5,0,0,1,0,4,3,5,5,0,0,24,8,2,0,1,0,35,12,5,0,1,8,0,0,0,5,0,5,0,0,1,0,8,3,2,2,0,0,27,13,0,0,1,0,fistd001,bergb002,,bergb002,fistd001,,0.1724137931034483,0.4,0.21212121212121213,0.425,0.2903225806451613,0.5714285714285714,0.5024437927663734,0.9964285714285714
20100420,BAL,AL,15,SEA,AL,15,1,3,51,SEA03,15931,32,4,3,0,0,1,0,0,0,2,0,7,0,0,0,0,6,3,3,3,1,0,24,13,1,0,1,0,31,8,2,0,0,3,0,1,0,2,0,3,1,0,1,0,7,3,1,1,0,0,27,9,1,0,0,0,vargj001,hernd002,aardd001,hernd002,vargj001,,0.13333333333333333,0.2857142857142857,0.17647058823529413,0.29411764705882354,0.21875,0.3225806451612903,0.39522058823529416,0.6166982922201139
20100421,BAL,AL,16,SEA,AL,16,1,4,51,SEA03,18401,35,9,0,0,0,1,0,0,0,0,0,6,0,0,2,0,7,1,4,4,0,0,24,9,1,0,1,0,30,6,1,0,0,4,0,0,1,3,1,4,1,0,1,0,6,1,0,0,0,0,27,13,2,0,2,0,hernf002,millk004,,millk004,hernf002,,0.2571428571428571,0.24,0.2571428571428571,0.29411764705882354,0.2571428571428571,0.23333333333333334,0.5142857142857142,0.5274509803921569
20100423,SEA,AL,17,CHA,AL,17,6,7,53,CHI12,24653,35,8,2,1,1,6,0,0,0,3,0,9,1,0,0,0,5,5,5,5,0,0,26,13,2,0,2,0,36,10,2,0,4,7,0,0,1,2,1,2,3,0,2,0,6,3,6,6,0,0,27,9,1,0,0,0,thorm001,lowem002,,rowlr002,floyg001,,0.25,0.3125,0.2894736842105263,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.7180451127819549,1.0
20100424,SEA,AL,18,CHA,AL,18,4,5,53,CHI12,25253,31,4,2,0,1,4,0,0,0,3,1,6,1,0,0,0,3,2,5,5,0,0,26,14,0,0,3,0,32,10,2,0,2,5,0,0,0,2,0,5,1,1,2,0,3,3,4,4,0,0,27,12,1,0,0,0,jenkb001,aardd001,,fistd001,garcf002,,0.14814814814814814,0.3333333333333333,0.20588235294117646,0.35294117647058826,0.2903225806451613,0.5625,0.49620493358633777,0.9154411764705883
20100425,SEA,AL,19,CHA,AL,19,2,3,51,CHI12,28274,34,8,1,1,1,2,0,0,0,1,0,7,0,0,1,0,6,3,3,3,0,0,24,11,0,1,0,0,29,5,2,0,1,2,0,0,1,3,0,3,2,0,0,0,6,2,2,2,0,0,27,10,0,0,1,0,dankj001,leagb001,jenkb001,vargj001,dankj001,,0.24242424242424243,0.2,0.2571428571428571,0.2727272727272727,0.4117647058823529,0.3448275862068966,0.66890756302521,0.6175548589341693
20100426,SEA,AL,20,KCA,AL,19,1,3,51,KAN06,11391,33,6,2,0,0,1,0,0,0,4,0,6,2,0,0,0,9,2,2,2,1,0,24,10,1,0,0,0,34,8,1,0,1,3,0,0,0,3,0,7,0,0,0,0,10,5,1,1,0,0,27,8,0,0,0,0,davik002,hernf002,chenb001,hernf002,davik002,,0.20689655172413793,0.25806451612903225,0.2702702702702703,0.2972972972972973,0.24242424242424243,0.35294117647058826,0.5126945126945127,0.6502384737678856
