Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100417,TEX,AL,11,NYA,AL,11,3,7,51,NYC21,44963.0,34,8,1,0,1,3,0,0,0,3,0,10,1,0,1,0,7,4,7,7,0,0,24,10,1,0,1,0,36,13,1,0,2,6,0,0,0,2,0,4,1,0,1,0,7,4,3,3,1,0,27,10,0,0,1,0,burna001,felds001,,felds001,burna001,,0.25806451612903225,0.38235294117647056,0.2972972972972973,0.39473684210526316,0.35294117647058826,0.5555555555555556,0.6502384737678856,0.9502923976608187,1.0
20100418,TEX,AL,12,NYA,AL,12,2,5,51,NYC21,44121.0,29,4,1,0,0,2,1,0,0,3,0,6,0,0,1,0,4,3,5,5,0,0,24,8,0,0,1,0,28,7,0,0,2,5,0,1,2,8,0,10,4,1,1,0,10,2,2,2,0,0,27,10,0,0,1,0,petta001,hardr001,rivem002,hardr001,petta001,,0.16,0.4117647058823529,0.21875,0.4358974358974359,0.1724137931034483,0.4642857142857143,0.3911637931034483,0.9001831501831502,1.0
20100420,NYA,AL,13,OAK,AL,15,7,3,54,OAK01,19849.0,31,5,1,0,1,7,1,0,0,10,0,10,0,0,0,0,8,5,3,3,0,0,27,10,0,0,3,0,32,8,1,0,2,3,0,0,0,5,0,11,0,0,2,0,7,4,7,7,0,0,27,10,0,0,0,0,vazqj001,gonzg003,,vazqj001,gonzg003,,0.25,0.2962962962962963,0.36585365853658536,0.35135135135135137,0.2903225806451613,0.46875,0.6561762391817467,0.8201013513513513,1.0
20100421,NYA,AL,14,OAK,AL,16,3,1,54,OAK01,30211.0,34,8,0,2,0,3,0,0,0,4,0,7,1,1,0,0,8,3,1,1,0,0,27,4,0,0,0,0,30,3,0,0,0,1,0,0,1,2,0,10,0,0,0,0,5,3,3,3,1,0,27,11,0,0,1,0,hughp001,sheeb001,rivem002,hughp001,sheeb001,,0.26666666666666666,0.1111111111111111,0.3157894736842105,0.18181818181818182,0.35294117647058826,0.1,0.6687306501547987,0.28181818181818186,1.0
20100422,NYA,AL,15,OAK,AL,17,2,4,51,OAK01,21986.0,32,7,1,0,2,2,0,0,0,1,0,3,0,0,2,0,4,1,3,3,1,0,24,13,1,0,1,1,23,4,0,0,1,4,0,1,0,6,0,5,1,0,1,0,2,3,2,2,0,0,27,12,0,0,2,0,bradd002,sabac001,baila001,sabac001,bradd002,,0.22580645161290322,0.25,0.24242424242424243,0.3333333333333333,0.4375,0.30434782608695654,0.6799242424242424,0.6376811594202898,0.0
20100423,NYA,AL,16,ANA,AL,18,4,6,51,ANA01,44002.0,35,8,2,0,1,4,0,0,2,3,0,6,2,0,0,0,9,3,6,6,0,0,24,13,1,0,2,0,32,12,4,0,1,5,0,0,2,2,0,4,1,2,2,0,6,4,4,4,0,0,27,9,1,0,0,0,rodnf001,chamj002,fuenb001,burna001,sante001,,0.26666666666666666,0.42857142857142855,0.325,0.4444444444444444,0.37142857142857144,0.59375,0.6964285714285714,1.0381944444444444,0.0
20100424,NYA,AL,17,ANA,AL,19,7,1,54,ANA01,43390.0,38,14,2,1,0,7,1,0,0,3,1,4,1,0,1,0,8,2,1,1,0,0,27,12,0,0,1,0,31,7,1,0,0,1,0,1,0,0,0,8,0,0,1,0,4,3,7,7,1,0,27,18,0,1,1,0,petta001,pinej001,,petta001,pinej001,,0.42424242424242425,0.23333333333333334,0.4146341463414634,0.21875,0.47368421052631576,0.25806451612903225,0.8883183568677792,0.47681451612903225,1.0
20100425,NYA,AL,18,ANA,AL,20,4,8,51,ANA01,42284.0,28,3,1,0,2,4,1,0,1,5,0,5,0,0,1,0,4,5,8,8,0,0,24,7,0,0,1,0,30,7,1,0,2,8,0,0,2,6,0,5,2,0,1,0,6,5,4,4,0,0,27,9,0,0,1,0,kazms001,vazqj001,,vazqj001,kazms001,,0.14285714285714285,0.3181818181818182,0.2647058823529412,0.39473684210526316,0.35714285714285715,0.4666666666666667,0.6218487394957983,0.8614035087719298,0.0
20100427,NYA,AL,19,BAL,AL,20,4,5,51,BAL12,20536.0,36,9,0,0,1,3,0,0,0,4,0,9,0,1,0,0,9,4,4,4,0,0,24,8,2,0,1,0,31,7,1,0,0,5,0,0,1,6,0,4,1,0,1,0,9,4,2,2,0,0,27,8,2,0,0,0,casta002,robed002,simoa001,hughp001,millk004,,0.28125,0.2916666666666667,0.325,0.3684210526315789,0.3333333333333333,0.25806451612903225,0.6583333333333333,0.6264855687606112,0.0
20100428,NYA,AL,20,BAL,AL,21,8,3,54,BAL12,17248.0,40,15,1,1,1,7,0,2,1,1,0,7,0,0,0,0,9,3,3,3,0,0,27,16,0,0,2,0,35,11,3,0,1,3,0,1,0,2,0,5,0,0,2,0,8,5,7,7,0,0,27,9,1,0,0,0,sabac001,guthj001,,sabac001,guthj001,,0.4166666666666667,0.34375,0.38636363636363635,0.34210526315789475,0.525,0.4857142857142857,0.9113636363636364,0.8278195488721805,1.0
20100429,NYA,AL,21,BAL,AL,22,4,0,54,BAL12,26439.0,36,11,4,0,2,4,0,1,0,1,0,3,0,0,0,0,7,2,0,0,1,0,27,8,0,0,0,0,30,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,4,4,4,0,0,27,7,0,0,1,0,burna001,matub001,,burna001,matub001,,0.3235294117647059,0.10714285714285714,0.3157894736842105,0.15625,0.5833333333333334,0.1,0.8991228070175439,0.25625,1.0
20100430,CHA,AL,23,NYA,AL,22,4,6,51,NYC21,44783.0,34,8,2,0,1,4,0,1,0,3,1,5,1,0,0,0,7,4,6,6,1,0,24,7,0,0,1,0,30,7,1,1,1,6,0,0,1,4,0,4,1,0,1,0,5,5,4,4,1,0,27,13,0,0,0,0,aceva001,thorm001,rivem002,garcf002,petta001,,0.27586206896551724,0.28,0.2894736842105263,0.34285714285714286,0.38235294117647056,0.43333333333333335,0.6718266253869969,0.7761904761904762,1.0
20100501,CHA,AL,24,NYA,AL,23,7,6,54,NYC21,45265.0,33,9,2,0,3,7,0,1,0,7,1,4,1,0,0,0,7,5,6,6,0,0,27,12,0,0,1,0,37,11,0,0,1,6,0,0,0,4,0,5,1,0,1,0,8,6,7,7,1,0,27,10,0,0,1,0,lines001,robed002,jenkb001,dankj001,vazqj001,,0.375,0.3333333333333333,0.3902439024390244,0.36585365853658536,0.6060606060606061,0.3783783783783784,0.9963045084996305,0.7442320369149638,0.0
