Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100416,ANA,AL,11,TOR,AL,11,7,5,54,TOR02,14779.0,36,11,3,0,1,7,0,0,0,2,0,7,3,1,1,0,4,4,5,5,0,0,27,10,0,0,0,0,34,8,0,0,3,5,0,0,0,1,0,9,1,0,0,0,3,3,7,7,1,0,27,14,1,0,1,0,weavj003,marcs001,rodnf001,weavj003,marcs001,0.3055555555555556,0.23529411764705882,0.34210526315789475,0.2571428571428571,0.4722222222222222,0.5,0.814327485380117,0.7571428571428571,1.0,0.0
20100417,ANA,AL,12,TOR,AL,12,6,3,54,TOR02,17187.0,36,10,4,0,2,6,0,0,0,3,1,6,1,0,1,0,6,3,1,1,0,0,27,13,2,0,0,0,34,7,5,0,0,1,0,0,0,1,0,4,1,0,0,0,5,4,6,6,0,0,27,12,0,0,1,0,saunj001,tallb001,rodnf001,saunj001,tallb001,0.2777777777777778,0.20588235294117646,0.3333333333333333,0.22857142857142856,0.5555555555555556,0.35294117647058826,0.8888888888888888,0.5815126050420169,1.0,1.0
20100418,ANA,AL,13,TOR,AL,13,3,1,54,TOR02,14246.0,33,7,4,0,0,2,1,0,0,2,0,7,1,0,1,0,6,1,1,1,0,0,27,10,0,0,0,0,31,4,2,0,1,1,0,0,0,0,0,6,1,0,0,0,3,2,2,2,2,0,27,12,1,0,1,0,sante001,romer002,,sante001,romer002,0.21212121212121213,0.12903225806451613,0.2571428571428571,0.12903225806451613,0.3333333333333333,0.2903225806451613,0.5904761904761904,0.41935483870967744,1.0,1.0
20100419,DET,AL,13,ANA,AL,14,0,2,51,ANA01,36006.0,34,9,1,0,0,0,0,0,1,0,0,5,0,0,1,0,8,2,2,2,0,0,24,12,1,0,2,0,26,4,2,0,0,1,0,0,1,3,0,2,0,0,1,0,4,3,0,0,0,0,27,11,0,0,2,0,pinej001,willd003,rodnf001,willd003,pinej001,0.2647058823529412,0.15384615384615385,0.2857142857142857,0.26666666666666666,0.29411764705882354,0.23076923076923078,0.5798319327731092,0.4974358974358975,1.0,1.0
20100420,DET,AL,14,ANA,AL,15,5,6,51,ANA01,35266.0,38,11,2,1,0,5,0,0,0,4,0,13,1,0,0,0,10,3,6,6,2,0,24,7,1,0,2,0,32,10,3,0,0,6,0,0,1,3,0,8,1,0,2,0,6,6,5,5,0,0,27,4,0,0,0,0,kazms001,porcr001,rodnf001,porcr001,kazms001,0.2894736842105263,0.3125,0.35714285714285715,0.3888888888888889,0.39473684210526316,0.40625,0.7518796992481203,0.7951388888888888,1.0,1.0
20100421,DET,AL,15,ANA,AL,16,4,3,54,ANA01,35279.0,32,8,1,0,2,4,0,0,0,4,0,9,2,1,1,0,5,4,3,3,0,0,27,11,2,0,1,0,32,4,1,0,1,3,0,0,0,2,0,7,2,0,1,0,4,4,4,4,0,0,27,6,0,0,2,0,cokep001,fuenb001,valvj001,bondj001,weavj003,0.25,0.125,0.3333333333333333,0.17647058823529413,0.46875,0.25,0.8020833333333333,0.42647058823529416,0.0,1.0
20100422,DET,AL,16,ANA,AL,17,5,4,54,ANA01,37338.0,34,11,7,0,0,5,1,1,0,7,1,5,0,1,0,0,11,5,4,4,0,0,27,10,0,1,2,0,34,9,2,0,1,4,0,0,1,5,0,9,1,0,1,0,9,4,5,5,0,0,27,13,1,0,0,0,verlj001,saunj001,valvj001,verlj001,saunj001,0.3235294117647059,0.2647058823529412,0.42857142857142855,0.375,0.5294117647058824,0.4117647058823529,0.9579831932773109,0.7867647058823529,0.0,0.0
20100423,NYA,AL,16,ANA,AL,18,4,6,51,ANA01,44002.0,35,8,2,0,1,4,0,0,2,3,0,6,2,0,0,0,9,3,6,6,0,0,24,13,1,0,2,0,32,12,4,0,1,5,0,0,2,2,0,4,1,2,2,0,6,4,4,4,0,0,27,9,1,0,0,0,rodnf001,chamj002,fuenb001,burna001,sante001,0.22857142857142856,0.375,0.325,0.4444444444444444,0.37142857142857144,0.59375,0.6964285714285714,1.0381944444444444,1.0,0.0
20100424,NYA,AL,17,ANA,AL,19,7,1,54,ANA01,43390.0,38,14,2,1,0,7,1,0,0,3,1,4,1,0,1,0,8,2,1,1,0,0,27,12,0,0,1,0,31,7,1,0,0,1,0,1,0,0,0,8,0,0,1,0,4,3,7,7,1,0,27,18,0,1,1,0,petta001,pinej001,,petta001,pinej001,0.3684210526315789,0.22580645161290322,0.4146341463414634,0.21875,0.47368421052631576,0.25806451612903225,0.8883183568677792,0.4768145161290322,0.0,1.0
20100425,NYA,AL,18,ANA,AL,20,4,8,51,ANA01,42284.0,28,3,1,0,2,4,1,0,1,5,0,5,0,0,1,0,4,5,8,8,0,0,24,7,0,0,1,0,30,7,1,0,2,8,0,0,2,6,0,5,2,0,1,0,6,5,4,4,0,0,27,9,0,0,1,0,kazms001,vazqj001,,vazqj001,kazms001,0.10714285714285714,0.23333333333333334,0.2647058823529412,0.39473684210526316,0.35714285714285715,0.4666666666666667,0.6218487394957983,0.8614035087719298,1.0,0.0
