Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100426,CLE,AL,19,ANA,AL,21,2,5,51,ANA01,34837.0,36,8,1,0,1,2,0,0,0,7,0,13,1,0,0,0,14,3,5,5,0,0,24,9,0,0,2,0,35,15,4,0,2,5,1,1,0,4,0,7,1,0,2,0,12,6,2,2,0,0,27,7,1,0,0,0,weavj003,huffd001,fuenb001,huffd001,weavj003,0.2222222222222222,0.42857142857142855,0.3488372093023256,0.475,0.3333333333333333,0.7142857142857143,0.6821705426356589,1.1892857142857145,1.0,1.0
20100427,CLE,AL,20,ANA,AL,22,9,2,54,ANA01,39619.0,40,18,5,0,1,9,1,1,0,7,1,2,0,0,2,0,13,4,2,2,0,0,27,11,0,0,0,0,35,9,0,0,1,2,0,0,0,4,0,4,0,0,0,0,10,4,9,9,2,0,27,14,0,0,3,0,talbm001,saunj001,,talbm001,saunj001,0.45,0.2571428571428571,0.5208333333333334,0.3333333333333333,0.65,0.34285714285714286,1.1708333333333334,0.6761904761904762,0.0,1.0
20100428,CLE,AL,21,ANA,AL,23,3,4,53,ANA01,34190.0,31,8,2,0,0,3,1,1,1,4,0,10,2,1,1,0,8,6,4,4,0,0,26,16,1,0,2,0,31,6,1,0,1,4,0,0,0,3,2,7,0,0,2,0,4,4,3,3,0,0,27,8,0,0,2,0,fuenb001,smitj002,,westj001,sante001,0.25806451612903225,0.1935483870967742,0.35135135135135137,0.2647058823529412,0.3225806451612903,0.3225806451612903,0.6739319965126417,0.5872865275142315,1.0,0.0
20100430,ANA,AL,24,DET,AL,24,6,10,51,DET05,31725.0,37,10,3,1,1,6,0,0,0,2,0,7,0,0,0,0,6,3,9,9,1,0,24,11,3,0,0,0,41,16,2,1,3,10,0,1,0,2,0,4,1,0,0,0,10,4,6,6,1,0,27,13,0,0,0,0,porcr001,pinej001,,pinej001,porcr001,0.2702702702702703,0.3902439024390244,0.3076923076923077,0.4090909090909091,0.4864864864864865,0.7073170731707317,0.7941787941787942,1.1164079822616408,0.0,1.0
20100501,ANA,AL,25,DET,AL,25,2,3,52,DET05,31042.0,34,11,2,0,0,1,0,0,0,0,0,7,0,2,1,0,5,4,2,2,0,0,25,8,2,0,0,0,32,7,2,0,1,3,0,1,0,5,0,7,3,0,0,0,10,4,1,1,0,0,27,11,3,0,2,0,perrr001,shies002,,kazms001,bondj001,0.3235294117647059,0.21875,0.3235294117647059,0.3157894736842105,0.38235294117647056,0.375,0.7058823529411764,0.6907894736842105,0.0,0.0
20100502,ANA,AL,26,DET,AL,26,1,5,51,DET05,25603.0,31,4,0,0,0,1,0,0,0,0,0,7,0,0,0,0,3,4,5,5,2,0,24,5,1,0,0,0,35,11,3,0,0,4,1,0,0,2,0,9,0,0,0,0,9,2,1,1,0,0,27,9,0,0,0,0,verlj001,weavj003,,weavj003,verlj001,0.12903225806451613,0.3142857142857143,0.12903225806451613,0.35135135135135137,0.12903225806451613,0.4,0.25806451612903225,0.7513513513513514,0.0,0.0
20100503,ANA,AL,27,BOS,AL,26,8,17,51,BOS07,37404.0,36,12,3,0,0,8,0,2,0,5,0,4,0,2,0,0,8,4,17,17,1,0,24,12,1,0,1,0,43,20,7,0,4,17,0,0,1,6,1,6,0,0,1,0,9,4,8,8,0,0,27,14,1,0,0,0,buchc001,saunj001,,saunj001,buchc001,0.3333333333333333,0.46511627906976744,0.3953488372093023,0.54,0.4166666666666667,0.9069767441860465,0.8120155038759691,1.4469767441860464,0.0,0.0
20100504,ANA,AL,28,BOS,AL,27,1,5,51,BOS07,37411.0,29,5,2,0,0,1,1,0,0,2,0,7,1,0,2,0,4,3,5,5,0,0,24,8,1,0,2,0,34,11,6,0,0,5,0,0,0,5,0,8,0,0,2,0,10,2,1,1,0,0,27,15,0,0,2,0,lestj001,jepsk001,,sante001,lestj001,0.1724137931034483,0.3235294117647059,0.22580645161290322,0.41025641025641024,0.2413793103448276,0.5,0.4671857619577308,0.9102564102564102,0.0,0.0
20100505,ANA,AL,29,BOS,AL,28,1,3,51,BOS07,37601.0,28,2,0,0,1,1,0,0,1,2,0,6,0,0,1,0,3,3,3,3,0,0,24,11,0,0,2,0,32,11,1,0,2,3,0,0,0,4,0,8,0,0,0,0,9,3,1,1,0,0,27,14,0,0,1,0,lackj001,pinej001,papej001,pinej001,lackj001,0.07142857142857142,0.34375,0.16129032258064516,0.4166666666666667,0.17857142857142858,0.5625,0.3398617511520737,0.9791666666666669,0.0,0.0
20100506,ANA,AL,30,BOS,AL,29,6,11,51,BOS07,37639.0,35,9,4,0,1,6,0,0,0,5,0,7,3,0,1,0,7,4,8,8,0,0,24,8,2,0,0,0,36,11,3,1,1,11,0,0,1,8,0,5,0,1,0,0,10,4,6,6,0,0,27,12,0,0,1,0,matsd001,kazms001,,kazms001,matsd001,0.2571428571428571,0.3055555555555556,0.35,0.4444444444444444,0.45714285714285713,0.5277777777777778,0.8071428571428572,0.9722222222222222,0.0,0.0
