Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20110412","CIN","NL",11,"SDN","NL",10,8,2,66,"SAN02",17379,"10001000006","01000001000",42,10,2,0,1,8,1,0,0,4,0,6,0,0,1,0,6,6,2,2,0,0,33,7,0,0,0,0,38,6,2,1,0,2,0,0,0,6,2,14,0,0,0,0,9,5,7,7,0,0,33,12,1,0,1,0,"ondrl001","Logan Ondrusek","luebc001","Cory Luebke","","(none)","lecus001","Sam LeCure","richc002","Clayton Richard",
"20110413","CIN","NL",12,"SDN","NL",11,2,3,53,"SAN02",17057,"000110000","000000111",34,8,3,0,0,2,0,0,0,3,1,7,1,0,1,0,8,4,2,2,0,0,26,8,2,0,1,0,31,7,0,0,0,3,0,1,0,7,1,5,1,0,1,0,10,5,2,2,0,0,27,10,0,0,1,0,"bellh001","Heath Bell","massn001","Nick Masset","","(none)","woodt004","Travis Wood","staut001","Tim Stauffer",
"20110415","PIT","NL",13,"CIN","NL",13,6,1,54,"CIN09",21312,"011300001","000000001",40,14,4,0,2,6,1,0,0,4,1,9,1,0,1,0,12,1,1,1,0,0,27,15,1,0,1,0,32,5,0,0,1,1,0,0,0,2,0,3,2,0,1,0,6,3,6,6,0,0,27,7,1,0,1,0,"mortc002","Charlie Morton","arrob001","Bronson Arroyo","","(none)","mortc002","Charlie Morton","arrob001","Bronson Arroyo",
"20110416","PIT","NL",14,"CIN","NL",14,2,11,51,"CIN09",26418,"000200000","01107200x",30,6,1,0,0,2,0,1,0,7,0,8,1,0,2,0,9,5,10,8,0,0,24,8,1,0,0,0,39,15,2,1,4,11,1,0,0,4,1,6,1,0,0,0,9,4,2,2,0,0,27,13,0,0,2,0,"leakm001","Mike Leake","mcdoj004","James McDonald","","(none)","mcdoj004","James McDonald","leakm001","Mike Leake",
"20110417","PIT","NL",15,"CIN","NL",15,7,6,54,"CIN09",32105,"400002010","010130100",32,9,2,0,3,7,1,1,0,8,0,8,3,1,2,0,8,6,6,6,2,0,27,9,2,0,1,0,41,15,1,0,3,6,0,0,1,4,0,10,0,0,0,0,13,5,6,6,0,0,27,14,1,0,2,0,"resoc001","Chris Resop","ondrl001","Logan Ondrusek","hanrj001","Joel Hanrahan","karsj001","Jeff Karstens","volqe001","Edinson Volquez",
"20110418","PIT","NL",16,"CIN","NL",16,9,3,54,"CIN09",12777,"300510000","010000002",39,15,3,0,0,9,2,0,1,5,0,9,0,0,1,0,11,1,2,2,0,0,27,8,1,1,0,0,32,4,1,0,1,2,0,0,0,2,0,5,0,0,0,0,4,5,9,9,0,0,27,11,0,0,1,0,"corrk001","Kevin Correia","woodt004","Travis Wood","","(none)","corrk001","Kevin Correia","woodt004","Travis Wood",
"20110419","ARI","NL",15,"CIN","NL",17,5,4,54,"CIN09",12994,"101021000","012000010",36,10,1,1,4,5,0,0,0,1,0,8,1,0,0,0,5,4,3,3,0,0,27,8,1,0,1,0,29,5,3,0,1,4,1,1,2,3,0,9,2,0,1,0,5,3,5,5,0,0,27,12,0,0,0,0,"galaa002","Armando Galarraga","lecus001","Sam LeCure","putzj001","J.J. Putz","galaa002","Armando Galarraga","lecus001","Sam LeCure",
"20110420","ARI","NL",16,"CIN","NL",18,3,1,54,"CIN09",14915,"110000100","000001000",30,5,4,0,0,3,0,1,0,4,0,9,0,0,1,0,5,5,1,1,0,0,27,8,0,0,1,0,30,4,1,0,0,1,0,0,0,3,0,7,0,0,1,0,5,3,3,3,0,0,27,8,0,0,1,0,"kenni001","Ian Kennedy","arrob001","Bronson Arroyo","putzj001","J.J. Putz","kenni001","Ian Kennedy","arrob001","Bronson Arroyo",
"20110421","ARI","NL",17,"CIN","NL",19,4,7,51,"CIN09",17319,"110010001","40001200x",32,6,1,0,2,4,1,0,0,3,0,9,0,0,0,0,5,3,7,7,0,0,24,9,0,0,2,0,30,9,1,0,1,7,0,0,1,4,0,6,0,1,2,0,4,3,4,4,0,0,27,9,0,0,0,0,"leakm001","Mike Leake","hudsd001","Daniel Hudson","","(none)","hudsd001","Daniel Hudson","leakm001","Mike Leake",
"20110422","CIN","NL",20,"SLN","NL",20,2,4,51,"STL10",40327,"000010100","11101000x",34,10,0,0,1,2,0,1,0,5,0,3,2,1,1,0,11,5,4,4,1,0,24,10,1,0,2,0,31,12,2,0,0,3,0,1,1,1,0,2,0,1,2,0,6,5,2,2,2,0,27,14,0,0,1,0,"mcclk001","Kyle McClellan","malom001","Matt Maloney","boggm001","Mitchell Boggs","volqe001","Edinson Volquez","batim001","Miguel Batista",
