Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100416,ANA,AL,11,TOR,AL,11,7,5,54,TOR02,14779,36,11,3,0,1,7,0,0,0,2,0,7,3,1,1,0,4,4,5,5,0,0,27,10,0,0,0,0,34,8,0,0,3,5,0,0,0,1,0,9,1,0,0,0,3,3,7,7,1,0,27,14,1,0,1,0,weavj003,marcs001,rodnf001,weavj003,marcs001,,0.3055555555555556,0.23529411764705882,0.34210526315789475,0.2571428571428571,0.4722222222222222,0.5,0.814327485380117,0.7571428571428571,0.0,1.0
20100417,ANA,AL,12,TOR,AL,12,6,3,54,TOR02,17187,36,10,4,0,2,6,0,0,0,3,1,6,1,0,1,0,6,3,1,1,0,0,27,13,2,0,0,0,34,7,5,0,0,1,0,0,0,1,0,4,1,0,0,0,5,4,6,6,0,0,27,12,0,0,1,0,saunj001,tallb001,rodnf001,saunj001,tallb001,,0.2777777777777778,0.20588235294117646,0.3333333333333333,0.22857142857142856,0.5555555555555556,0.35294117647058826,0.8888888888888888,0.5815126050420169,0.0,0.0
20100418,ANA,AL,13,TOR,AL,13,3,1,54,TOR02,14246,33,7,4,0,0,2,1,0,0,2,0,7,1,0,1,0,6,1,1,1,0,0,27,10,0,0,0,0,31,4,2,0,1,1,0,0,0,0,0,6,1,0,0,0,3,2,2,2,2,0,27,12,1,0,1,0,sante001,romer002,,sante001,romer002,,0.21212121212121213,0.12903225806451613,0.2571428571428571,0.12903225806451613,0.3333333333333333,0.2903225806451613,0.5904761904761904,0.41935483870967744,0.0,0.0
20100419,KCA,AL,13,TOR,AL,14,1,8,51,TOR02,10314,30,5,1,0,0,1,0,0,0,2,0,9,0,0,2,0,4,4,8,8,2,0,24,7,1,0,0,0,36,11,4,0,3,7,0,0,0,6,0,8,2,0,0,1,11,3,1,1,1,0,27,13,0,0,2,0,morrb001,bannb001,,bannb001,morrb001,,0.16666666666666666,0.3055555555555556,0.21875,0.40476190476190477,0.2,0.6666666666666666,0.41875,1.0714285714285714,1.0,0.0
20100420,KCA,AL,14,TOR,AL,15,3,4,51,TOR02,10565,35,11,1,0,0,3,0,1,0,3,0,6,0,1,2,0,9,3,4,4,0,0,24,9,0,0,2,0,29,8,4,0,1,4,0,1,0,2,0,6,0,0,2,0,4,4,2,2,1,0,27,16,1,0,2,0,camps002,davik002,gregk001,davik002,eveld001,,0.3142857142857143,0.27586206896551724,0.358974358974359,0.3125,0.34285714285714286,0.5172413793103449,0.7018315018315018,0.8297413793103449,1.0,1.0
20100421,KCA,AL,15,TOR,AL,16,4,3,60,TOR02,15577,35,8,1,0,2,4,0,0,0,1,0,7,0,2,0,0,2,5,3,3,0,0,30,8,1,0,1,0,33,4,0,0,1,3,1,0,1,1,0,12,1,0,1,0,3,3,4,4,0,0,30,18,0,0,1,0,tejer001,downs001,sorij001,greiz001,marcs001,,0.22857142857142856,0.12121212121212122,0.25,0.17142857142857143,0.42857142857142855,0.21212121212121213,0.6785714285714286,0.38354978354978353,0.0,1.0
20100423,TOR,AL,17,TBA,AL,17,6,5,54,STP01,22056,38,11,6,0,1,6,0,0,1,5,1,12,1,0,0,0,11,4,5,5,0,1,27,5,0,0,0,0,36,9,2,0,2,5,0,0,0,3,0,10,2,0,0,0,7,6,6,6,1,0,27,5,0,0,0,0,cecib001,garzm001,gregk001,cecib001,garzm001,,0.2894736842105263,0.25,0.38636363636363635,0.3076923076923077,0.5263157894736842,0.4722222222222222,0.9126794258373205,0.7799145299145299,1.0,0.0
20100424,TOR,AL,18,TBA,AL,18,3,9,51,STP01,23870,33,6,1,0,2,3,0,0,1,2,1,10,1,0,0,0,6,4,9,9,1,0,24,12,2,0,1,0,34,11,2,0,1,9,1,0,1,5,1,3,0,0,1,0,8,5,3,3,0,0,27,7,0,0,0,0,wheed001,downs001,,romer002,niemj001,,0.18181818181818182,0.3235294117647059,0.25,0.425,0.3939393939393939,0.47058823529411764,0.6439393939393939,0.8955882352941176,0.0,1.0
20100425,TOR,AL,19,TBA,AL,19,0,6,51,STP01,23250,30,4,2,0,0,0,0,0,0,1,0,9,0,0,1,0,4,4,6,6,0,0,24,13,0,0,1,0,27,8,3,0,0,6,0,0,1,8,0,9,0,4,1,0,6,1,0,0,0,1,27,11,0,0,1,0,pricd001,morrb001,,morrb001,pricd001,,0.13333333333333333,0.2962962962962963,0.16129032258064516,0.4722222222222222,0.2,0.4074074074074074,0.3612903225806452,0.8796296296296295,0.0,0.0
20100426,BOS,AL,20,TOR,AL,20,13,12,54,TOR02,13847,45,18,4,0,0,12,0,0,1,4,0,11,2,0,0,0,10,7,12,12,0,0,27,4,0,0,0,0,42,16,4,2,2,12,0,1,0,4,0,9,0,0,0,0,8,6,13,13,2,0,27,8,0,0,0,0,schos001,camps002,papej001,beckj002,eveld001,,0.4,0.38095238095238093,0.46,0.425531914893617,0.4888888888888889,0.7142857142857143,0.9488888888888889,1.1398176291793314,0.0,0.0
20100427,BOS,AL,21,TOR,AL,21,2,1,54,TOR02,14776,33,7,1,0,0,2,0,0,0,5,0,7,0,0,1,0,9,2,1,1,0,0,27,10,1,0,0,0,34,7,1,0,0,1,0,0,0,2,0,4,0,0,0,0,8,3,2,2,0,0,27,11,0,0,1,0,buchc001,downs001,ramir003,buchc001,marcs001,,0.21212121212121213,0.20588235294117646,0.3157894736842105,0.25,0.24242424242424243,0.23529411764705882,0.5582137161084529,0.4852941176470588,0.0,0.0
20100428,BOS,AL,22,TOR,AL,22,2,0,54,TOR02,15276,33,8,4,0,0,2,0,1,0,1,0,6,1,0,1,0,6,3,0,0,0,0,27,8,0,0,0,0,28,2,2,0,0,0,0,0,0,2,0,15,0,1,0,0,3,4,2,2,0,0,27,8,0,0,1,0,lestj001,cecib001,papej001,lestj001,cecib001,,0.24242424242424243,0.07142857142857142,0.2571428571428571,0.13333333333333333,0.36363636363636365,0.14285714285714285,0.6207792207792208,0.2761904761904762,0.0,0.0
20100429,OAK,AL,23,TOR,AL,23,3,6,51,TOR02,10721,31,5,3,0,0,3,0,0,1,4,0,10,1,0,2,0,6,5,6,6,0,0,24,10,0,0,1,0,31,8,2,0,4,6,0,0,0,6,1,7,0,0,1,0,7,4,3,3,1,0,27,14,1,0,2,0,romer002,duchj001,gregk001,duchj001,romer002,,0.16129032258064516,0.25806451612903225,0.2777777777777778,0.3783783783783784,0.25806451612903225,0.7096774193548387,0.53584229390681,1.088055797733217,1.0,0.0
20100430,OAK,AL,24,TOR,AL,24,2,10,51,TOR02,12722,35,9,1,0,0,2,1,0,1,2,0,11,2,0,0,0,10,2,8,8,1,0,24,6,1,0,1,0,35,11,2,0,3,10,0,0,1,3,0,5,0,0,1,0,5,4,2,2,0,0,27,11,0,0,0,0,morrb001,cahit001,,cahit001,morrb001,,0.2571428571428571,0.3142857142857143,0.3157894736842105,0.38461538461538464,0.2857142857142857,0.6285714285714286,0.6015037593984962,1.0131868131868131,1.0,1.0
20100501,OAK,AL,25,TOR,AL,25,4,3,54,TOR02,13951,36,10,1,0,1,4,0,0,0,3,0,3,2,1,0,0,8,4,3,3,0,0,27,11,0,0,0,0,32,5,2,0,0,3,0,0,0,2,0,11,0,0,0,0,4,3,4,4,0,0,27,14,0,0,0,0,gonzg003,eveld001,baila001,gonzg003,eveld001,,0.2777777777777778,0.15625,0.3333333333333333,0.20588235294117646,0.3888888888888889,0.21875,0.7222222222222222,0.42463235294117646,0.0,1.0
20100502,OAK,AL,26,TOR,AL,26,3,9,51,TOR02,14725,34,9,1,0,0,3,0,0,0,4,0,8,0,0,2,0,8,3,9,9,0,0,24,5,0,0,0,0,36,13,6,1,3,9,0,1,0,2,0,5,1,0,0,0,6,3,3,3,0,0,27,8,0,0,2,0,marcs001,sheeb001,,sheeb001,marcs001,,0.2647058823529412,0.3611111111111111,0.34210526315789475,0.38461538461538464,0.29411764705882354,0.8333333333333334,0.6362229102167183,1.217948717948718,1.0,0.0
20100503,TOR,AL,27,CLE,AL,25,5,1,54,CLE08,10117,33,8,2,0,3,5,0,0,0,5,0,6,0,1,1,0,6,2,1,1,0,0,27,10,0,0,0,0,29,2,0,0,0,1,0,0,0,3,0,11,0,0,0,0,4,2,5,5,0,0,27,13,0,0,1,0,cecib001,talbm001,,cecib001,talbm001,,0.24242424242424243,0.06896551724137931,0.34210526315789475,0.15625,0.5757575757575758,0.06896551724137931,0.9178628389154706,0.2252155172413793,1.0,1.0
20100504,TOR,AL,28,CLE,AL,26,8,5,54,CLE08,10387,38,11,4,0,1,8,0,1,1,9,1,8,2,0,0,0,14,4,5,5,3,0,27,9,1,0,0,0,36,10,3,0,0,5,0,0,1,3,0,13,0,0,0,0,8,6,7,7,1,0,27,10,1,0,0,0,romer002,lewij003,gregk001,romer002,westj001,,0.2894736842105263,0.2777777777777778,0.42857142857142855,0.35,0.47368421052631576,0.3611111111111111,0.9022556390977443,0.711111111111111,1.0,1.0
20100505,TOR,AL,29,CLE,AL,27,5,4,54,CLE08,12563,37,11,3,1,1,4,0,0,0,4,0,5,1,0,3,0,9,4,4,4,0,0,27,7,0,0,1,0,35,9,3,0,1,4,0,0,1,4,0,12,0,0,1,0,9,3,2,2,0,0,27,15,2,0,3,0,frasj002,perec002,,morrb001,carmf001,,0.2972972972972973,0.2571428571428571,0.36585365853658536,0.35,0.5135135135135135,0.42857142857142855,0.8793671720500988,0.7785714285714285,1.0,1.0
20100506,TOR,AL,30,CHA,AL,29,2,0,54,CHI12,20106,33,9,3,0,0,2,0,0,0,2,0,9,0,2,2,0,6,3,0,0,1,0,27,11,1,0,1,0,29,3,1,0,0,0,0,0,0,4,0,6,0,0,1,0,6,3,2,2,0,0,27,12,2,0,2,0,eveld001,dankj001,gregk001,eveld001,dankj001,,0.2727272727272727,0.10344827586206896,0.3142857142857143,0.21212121212121213,0.36363636363636365,0.13793103448275862,0.6779220779220779,0.3500522466039707,1.0,1.0
20100507,TOR,AL,31,CHA,AL,30,7,4,72,CHI12,20072,48,13,1,0,3,7,0,0,0,4,0,12,0,0,1,0,9,5,4,4,0,0,36,15,1,0,1,0,43,8,3,0,3,4,1,0,0,2,1,2,0,0,0,0,6,4,7,7,0,0,36,10,0,0,1,0,downs001,putzj001,,marcs001,buehm001,,0.2708333333333333,0.18604651162790697,0.3269230769230769,0.2222222222222222,0.4791666666666667,0.46511627906976744,0.8060897435897436,0.6873385012919897,1.0,1.0
20100508,TOR,AL,32,CHA,AL,31,3,7,51,CHI12,24945,32,5,2,0,2,3,0,0,0,0,0,9,0,0,0,0,2,3,7,7,0,0,24,12,1,0,2,0,32,10,1,1,1,7,0,0,0,7,1,4,0,0,1,0,8,2,3,3,0,0,27,11,0,0,0,0,peavj001,cecib001,,cecib001,peavj001,,0.15625,0.3125,0.15625,0.4358974358974359,0.40625,0.5,0.5625,0.9358974358974359,0.0,1.0
20100509,TOR,AL,33,CHA,AL,32,9,7,54,CHI12,23850,38,11,4,0,2,9,0,0,2,4,0,11,1,0,1,0,8,5,7,7,2,0,27,11,0,1,1,0,37,11,3,0,1,6,0,0,1,8,1,12,1,0,1,0,12,5,8,8,0,0,27,9,1,0,1,0,frasj002,jenkb001,gregk001,romer002,floyg001,,0.2894736842105263,0.2972972972972973,0.38636363636363635,0.43478260869565216,0.5526315789473685,0.4594594594594595,0.9389952153110048,0.8942420681551116,1.0,0.0
20100510,TOR,AL,34,BOS,AL,33,6,7,51,BOS07,37332,35,8,2,0,1,6,0,0,0,4,0,7,0,0,1,0,6,4,6,6,0,0,24,8,2,0,0,0,33,8,1,0,0,6,0,0,0,7,0,9,0,0,0,0,9,4,6,6,0,0,27,14,1,0,1,0,lackj001,morrb001,papej001,morrb001,lackj001,,0.22857142857142856,0.24242424242424243,0.3076923076923077,0.375,0.37142857142857144,0.2727272727272727,0.6791208791208792,0.6477272727272727,0.0,1.0
20100511,TOR,AL,35,BOS,AL,34,1,6,51,BOS07,37609,31,4,2,0,0,1,0,0,0,1,0,11,0,0,0,0,4,4,6,6,1,0,24,11,0,0,1,0,30,8,2,0,1,5,0,1,1,8,1,7,1,0,1,0,10,3,1,1,1,0,27,4,0,0,0,0,matsd001,eveld001,,eveld001,matsd001,,0.12903225806451613,0.26666666666666666,0.15625,0.425,0.1935483870967742,0.43333333333333335,0.3497983870967742,0.8583333333333334,0.0,0.0
20100512,TOR,AL,36,BOS,AL,35,3,2,54,BOS07,37198,33,6,3,0,1,3,0,0,0,1,0,8,0,0,0,0,4,3,2,2,0,0,27,7,0,0,0,0,33,6,1,0,0,2,0,0,1,1,0,8,0,0,0,0,6,3,3,3,1,0,27,7,0,0,0,0,marcs001,waket001,gregk001,marcs001,waket001,,0.18181818181818182,0.18181818181818182,0.20588235294117646,0.22857142857142856,0.36363636363636365,0.21212121212121213,0.5695187165775402,0.4406926406926407,1.0,0.0
20100514,TEX,AL,36,TOR,AL,37,10,16,51,TOR02,16020,34,11,1,0,1,10,0,2,1,8,0,9,0,0,2,0,8,4,16,16,0,0,24,9,0,0,0,0,38,15,3,0,5,16,0,0,0,9,0,6,1,0,0,0,7,6,10,10,0,0,27,11,1,0,2,0,roenj001,mathd001,,hardr001,cecib001,,0.3235294117647059,0.39473684210526316,0.4444444444444444,0.5106382978723404,0.4411764705882353,0.868421052631579,0.8856209150326797,1.3790593505039195,1.0,1.0
20100515,TEX,AL,37,TOR,AL,38,0,6,51,TOR02,15945,31,5,0,0,0,0,0,0,0,1,0,12,0,1,0,0,5,2,6,6,0,0,24,8,1,0,0,0,35,10,1,1,2,6,0,0,0,1,0,7,0,0,0,0,6,1,0,0,1,0,27,10,0,0,0,0,romer002,felds001,,felds001,romer002,,0.16129032258064516,0.2857142857142857,0.1875,0.3055555555555556,0.16129032258064516,0.5428571428571428,0.34879032258064513,0.8484126984126984,1.0,1.0
20100516,TEX,AL,38,TOR,AL,39,2,5,51,TOR02,25518,32,9,1,0,0,1,0,1,0,1,0,11,0,1,3,0,5,4,5,5,0,0,24,5,0,0,0,0,27,3,1,0,1,5,0,0,1,5,0,10,1,0,0,0,4,4,2,2,1,0,27,9,0,0,4,0,morrb001,lewic001,gregk001,lewic001,morrb001,,0.28125,0.1111111111111111,0.29411764705882354,0.2727272727272727,0.3125,0.25925925925925924,0.6066176470588236,0.531986531986532,1.0,1.0
20100517,MIN,AL,38,TOR,AL,40,8,3,54,TOR02,13892,39,12,2,0,3,6,0,0,0,5,0,4,1,0,0,0,9,4,3,3,1,0,27,10,0,1,1,0,37,11,0,0,1,3,0,0,0,1,0,5,0,0,1,0,8,4,6,6,1,0,27,13,2,0,1,0,slowk001,eveld001,,slowk001,eveld001,,0.3076923076923077,0.2972972972972973,0.38636363636363635,0.3157894736842105,0.5897435897435898,0.3783783783783784,0.9761072261072261,0.6941678520625889,0.0,1.0
20100518,MIN,AL,39,TOR,AL,41,2,11,51,TOR02,27981,32,6,1,2,0,2,0,0,0,3,0,6,0,0,1,0,6,4,11,11,0,0,24,8,1,0,0,0,37,15,3,0,4,11,0,1,1,0,0,6,0,0,0,0,4,3,2,2,0,0,27,10,0,0,1,0,marcs001,pavac001,,pavac001,marcs001,,0.1875,0.40540540540540543,0.2571428571428571,0.41025641025641024,0.34375,0.8108108108108109,0.6008928571428571,1.221067221067221,1.0,0.0
20100519,TOR,AL,42,SEA,AL,40,3,2,54,SEA03,19208,32,6,3,0,0,3,0,1,1,1,0,7,0,0,0,0,5,4,2,2,0,0,27,10,1,0,0,0,38,10,1,0,0,2,0,0,0,2,0,5,1,0,0,0,11,2,3,3,0,0,27,12,0,0,0,0,cecib001,fistd001,gregk001,cecib001,fistd001,,0.1875,0.2631578947368421,0.22857142857142856,0.3,0.28125,0.2894736842105263,0.5098214285714285,0.5894736842105264,1.0,1.0
20100520,TOR,AL,43,SEA,AL,41,3,4,52,SEA03,20452,29,5,1,0,1,3,0,1,0,3,1,3,0,0,2,0,3,5,4,4,0,0,25,10,0,0,1,0,28,8,1,0,0,4,2,1,0,5,0,6,0,1,1,0,7,3,3,3,0,0,27,8,0,0,2,0,kells001,gregk001,,romer002,vargj001,,0.1724137931034483,0.2857142857142857,0.24242424242424243,0.38235294117647056,0.3103448275862069,0.32142857142857145,0.5527690700104493,0.703781512605042,0.0,1.0
20100521,TOR,AL,44,ARI,NL,43,6,8,51,PHO01,19531,38,12,1,0,6,6,0,0,0,0,0,9,0,0,1,0,5,4,8,8,0,0,24,8,0,0,1,0,36,14,6,0,2,8,0,0,0,4,0,8,0,1,1,0,8,3,6,6,0,0,27,10,0,0,1,0,hared001,morrb001,qualc001,morrb001,hared001,,0.3157894736842105,0.3888888888888889,0.3157894736842105,0.45,0.8157894736842105,0.7222222222222222,1.131578947368421,1.1722222222222223,0.0,0.0
20100522,TOR,AL,45,ARI,NL,44,5,8,51,PHO01,32746,34,7,1,0,2,5,0,0,0,0,0,11,0,0,0,0,2,5,8,8,0,0,24,9,0,0,1,0,33,10,4,0,0,8,0,0,0,3,1,7,0,0,1,0,4,3,5,5,1,0,27,8,0,1,0,0,jacke001,eveld001,qualc001,eveld001,jacke001,,0.20588235294117646,0.30303030303030304,0.20588235294117646,0.3611111111111111,0.4117647058823529,0.42424242424242425,0.6176470588235294,0.7853535353535354,0.0,0.0
20100523,TOR,AL,46,ARI,NL,45,12,4,54,PHO01,23148,42,17,3,0,2,11,0,1,0,3,1,5,0,0,0,0,7,4,4,4,0,0,27,10,0,0,2,0,35,10,4,0,1,4,0,0,0,3,0,10,0,0,2,0,7,5,10,10,1,0,27,13,2,0,0,0,marcs001,buckb002,,marcs001,buckb002,,0.40476190476190477,0.2857142857142857,0.43478260869565216,0.34210526315789475,0.6190476190476191,0.4857142857142857,1.0538302277432712,0.8278195488721805,1.0,0.0
