Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20100417","MIL","NL",11,"WAS","NL",11,0,8,51,"WAS11",18673,"000000000","03001310x",31,4,2,0,0,0,0,0,0,2,0,3,0,0,1,0,6,4,7,7,0,0,24,9,2,0,1,0,31,10,4,0,1,8,1,1,0,4,0,4,1,0,1,0,5,1,0,0,0,0,27,11,1,0,1,0,"hernl003","Livan Hernandez","wolfr001","Randy Wolf","","(none)","wolfr001","Randy Wolf","hernl003","Livan Hernandez",
"20100418","MIL","NL",12,"WAS","NL",12,11,7,54,"WAS11",18789,"(10)00000010","010040200",37,11,3,0,1,11,0,1,3,5,0,9,0,0,0,0,8,4,7,7,0,0,27,12,0,0,1,0,41,16,4,0,0,7,0,0,0,1,0,7,0,0,1,0,8,5,11,11,1,0,27,8,0,0,0,0,"vargc001","Claudio Vargas","marqj001","Jason Marquis","","(none)","david002","Doug Davis","marqj001","Jason Marquis",
"20100420","MIL","NL",13,"PIT","NL",13,8,1,54,"PIT08",9386,"331010000","000000010",34,9,3,1,1,8,1,1,0,7,0,4,1,0,0,0,8,3,1,1,0,0,27,15,1,0,3,0,31,6,3,0,0,1,0,0,0,4,0,2,0,0,2,0,7,5,7,7,1,0,27,14,1,0,0,0,"bushd001","David Bush","mortc002","Charlie Morton","","(none)","bushd001","David Bush","mortc002","Charlie Morton",
"20100421","MIL","NL",14,"PIT","NL",14,8,0,54,"PIT08",12192,"100132001","000000000",39,12,3,2,3,8,0,0,1,5,0,7,2,0,1,0,10,4,0,0,0,0,27,5,0,0,1,0,30,4,1,0,0,0,0,0,1,5,0,13,3,0,1,0,9,3,7,7,1,0,27,14,1,0,1,0,"gally001","Yovani Gallardo","dukez001","Zach Duke","","(none)","gally001","Yovani Gallardo","dukez001","Zach Duke",
"20100422","MIL","NL",15,"PIT","NL",15,20,0,54,"PIT08",13634,"013330604","000000000",52,25,7,1,4,20,0,1,0,6,0,8,2,0,0,0,12,4,0,0,1,0,27,11,0,0,0,0,34,8,2,0,0,0,0,0,0,3,0,7,1,1,0,0,10,6,18,18,0,0,27,9,1,0,0,0,"wolfr001","Randy Wolf","mccud001","Daniel McCutchen","","(none)","wolfr001","Randy Wolf","mccud001","Daniel McCutchen",
"20100423","CHN","NL",17,"MIL","NL",16,8,1,54,"MIL06",37848,"201120002","000000100",38,13,2,1,2,7,2,0,0,3,0,9,0,2,0,0,8,2,1,1,0,0,27,16,1,0,1,0,33,8,3,0,0,1,0,0,2,2,0,7,1,0,1,0,9,5,7,7,1,0,27,12,3,0,1,0,"dempr002","Ryan Dempster","suppj001","Jeff Suppan","","(none)","dempr002","Ryan Dempster","suppj001","Jeff Suppan",
"20100424","CHN","NL",18,"MIL","NL",17,5,1,54,"MIL06",43410,"001001030","000000010",36,10,2,0,0,5,0,1,0,4,0,7,0,0,1,0,9,5,1,1,0,0,27,12,0,0,0,0,33,7,1,0,0,1,1,0,0,4,0,8,0,0,0,0,10,3,5,5,0,0,27,10,1,0,1,0,"lillt001","Ted Lilly","david002","Doug Davis","","(none)","lillt001","Ted Lilly","david002","Doug Davis",
"20100425","CHN","NL",19,"MIL","NL",18,12,2,54,"MIL06",38634,"321320100","000100100",42,18,4,0,4,12,0,1,0,4,0,4,1,0,3,0,8,3,2,2,0,0,27,11,1,0,1,0,35,8,3,0,0,2,0,0,1,1,0,7,0,0,1,0,8,6,10,10,0,0,27,9,1,0,3,0,"wellr001","Randy Wells","bushd001","David Bush","","(none)","wellr001","Randy Wells","bushd001","David Bush",
"20100426","PIT","NL",19,"MIL","NL",19,3,17,51,"MIL06",25892,"000200001","02510009x",36,8,2,0,0,3,0,0,0,4,0,5,0,0,1,1,11,5,17,17,0,0,24,5,1,0,0,0,41,17,3,0,2,17,0,1,1,8,1,12,1,0,0,0,10,4,1,1,2,0,27,7,3,0,1,0,"gally001","Yovani Gallardo","dukez001","Zach Duke","","(none)","dukez001","Zach Duke","gally001","Yovani Gallardo",
"20100427","PIT","NL",20,"MIL","NL",20,7,3,54,"MIL06",28991,"010100005","001000110",39,14,3,0,3,7,1,1,0,2,1,5,0,0,0,0,9,5,3,3,0,1,27,9,0,0,1,0,34,8,3,0,2,3,0,0,0,5,0,6,1,0,1,0,9,2,7,7,0,0,27,9,0,0,0,0,"donnb001","Brendan Donnelly","hofft001","Trevor Hoffman","","(none)","karsj001","Jeff Karstens","wolfr001","Randy Wolf",
