Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20100417","HOU","NL",11,"CHN","NL",11,4,3,54,"CHI11",40471,"020010100","000000030",33,6,0,0,1,4,1,0,0,1,0,3,0,0,0,0,4,4,3,3,1,0,27,8,2,0,0,0,38,9,4,0,0,3,0,0,0,0,0,9,0,0,0,0,8,5,4,4,0,0,27,13,1,0,0,0,"oswar001","Roy Oswalt","gorzt001","Tom Gorzelanny","lindm001","Matt Lindstrom","oswar001","Roy Oswalt","gorzt001","Tom Gorzelanny",
"20100418","HOU","NL",12,"CHN","NL",12,3,2,60,"CHI11",39506,"0000000111","0020000000",35,8,2,0,0,3,1,1,0,3,1,10,1,1,0,0,7,4,2,2,0,0,30,15,1,0,2,0,34,7,1,0,0,2,2,0,0,3,0,7,0,0,1,0,7,3,3,3,0,0,30,10,0,0,0,0,"byrdt001","Tim Byrdak","marss002","Sean Marshall","lindm001","Matt Lindstrom","rodrw002","Wandy Rodriguez","dempr002","Ryan Dempster",
"20100420","FLO","NL",14,"HOU","NL",13,5,7,51,"HOU03",24135,"210001001","11000113x",35,10,1,0,1,5,1,0,0,0,0,3,1,0,1,0,4,2,7,7,0,0,24,9,1,0,0,0,31,9,3,0,1,7,3,0,0,3,0,2,2,0,0,0,6,3,5,5,1,0,27,14,1,0,1,0,"lyonb003","Brandon Lyon","woodt003","Tim Wood","lindm001","Matt Lindstrom","volsc001","Chris Volstad","myerb001","Brett Myers",
"20100421","FLO","NL",15,"HOU","NL",14,4,5,51,"HOU03",22607,"000040000","10001120x",30,5,0,1,0,3,1,0,0,2,0,9,0,0,2,0,2,3,4,4,1,0,24,14,1,0,0,0,29,8,1,1,1,5,1,0,0,3,0,6,1,2,0,0,4,4,3,3,0,0,27,6,1,0,2,0,"lopew001","Wilton Lopez","badeb001","Burke Badenhop","lindm001","Matt Lindstrom","johnj009","Josh Johnson","norrb001","Bud Norris",
"20100422","FLO","NL",16,"HOU","NL",15,5,1,54,"HOU03",21802,"300002000","000000100",32,6,2,0,0,3,0,0,1,3,0,8,0,1,0,0,4,4,1,1,1,0,27,14,0,0,1,0,34,9,0,0,0,1,1,0,1,0,0,5,1,0,1,0,8,3,2,2,1,0,27,15,2,0,0,0,"sanca004","Anibal Sanchez","paulf001","Felipe Paulino","","(none)","sanca004","Anibal Sanchez","paulf001","Felipe Paulino",
"20100423","PIT","NL",16,"HOU","NL",16,3,4,51,"HOU03",30018,"000000300","00100300x",32,4,0,0,2,3,0,0,0,1,0,5,0,0,0,0,3,2,2,2,0,0,24,14,1,0,1,0,29,6,3,0,0,4,0,0,0,2,0,4,0,0,1,0,3,3,2,2,0,0,27,8,1,0,0,0,"oswar001","Roy Oswalt","mahop002","Paul Maholm","lindm001","Matt Lindstrom","mahop002","Paul Maholm","oswar001","Roy Oswalt",
"20100424","PIT","NL",17,"HOU","NL",17,2,5,51,"HOU03",30562,"001000100","20012000x",34,7,0,0,1,2,0,0,0,2,0,10,1,0,0,0,7,6,5,5,1,0,24,11,1,0,2,0,34,13,3,0,1,5,1,0,0,2,0,5,0,0,2,0,8,3,1,1,0,0,27,8,1,0,0,0,"rodrw002","Wandy Rodriguez","jakuc001","Chris Jakubauskas","lindm001","Matt Lindstrom","jakuc001","Chris Jakubauskas","rodrw002","Wandy Rodriguez",
"20100425","PIT","NL",18,"HOU","NL",18,3,10,51,"HOU03",27210,"010001010","02330020x",38,14,1,0,0,3,0,0,0,1,0,8,1,1,1,0,9,4,9,9,1,0,24,8,1,0,1,0,33,10,2,1,1,9,0,0,1,8,0,7,6,0,1,0,8,4,3,3,0,0,27,14,0,0,2,0,"myerb001","Brett Myers","mortc002","Charlie Morton","","(none)","mortc002","Charlie Morton","myerb001","Brett Myers",
"20100427","CIN","NL",20,"HOU","NL",19,6,2,54,"HOU03",22467,"020003010","100001000",33,9,0,0,0,5,1,1,1,6,0,8,1,0,0,0,9,4,2,2,0,0,27,9,1,0,1,0,33,9,2,0,0,2,0,1,1,1,0,11,1,2,0,0,7,5,6,6,0,1,27,9,0,0,0,0,"haraa001","Aaron Harang","norrb001","Bud Norris","","(none)","haraa001","Aaron Harang","norrb001","Bud Norris",
"20100428","CIN","NL",21,"HOU","NL",20,6,4,54,"HOU03",21035,"101400000","000010003",35,8,3,1,0,3,0,0,0,5,0,5,1,0,0,0,7,4,4,4,0,0,27,12,0,0,2,0,33,8,1,0,1,4,0,0,0,4,0,8,0,0,2,0,6,4,2,2,0,0,27,9,1,0,0,0,"leakm001","Mike Leake","paulf001","Felipe Paulino","","(none)","leakm001","Mike Leake","paulf001","Felipe Paulino",
