teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
NYN,NL,2,0,29,5,0,0,2,2,2,9,3,3,2,2,1,0.1724137931034483,0.22580645161290322,0.3793103448275862,0.6051167964404894,0.0
NYN,NL,3,0,31,5,0,0,2,3,3,4,6,5,5,5,0,0.16129032258064516,0.22857142857142856,0.3548387096774194,0.5834101382488479,0.0
NYN,NL,10,0,39,15,3,0,1,10,4,3,9,6,7,7,0,0.38461538461538464,0.4222222222222222,0.5384615384615384,0.9606837606837606,1.0
NYN,NL,1,1,30,4,2,0,0,1,2,9,4,6,1,1,1,0.13333333333333333,0.1875,0.2,0.3875,0.0
NYN,NL,5,1,34,12,3,0,0,5,3,8,8,5,3,3,0,0.35294117647058826,0.40540540540540543,0.4411764705882353,0.8465818759936408,1.0
NYN,NL,6,1,34,11,2,0,2,6,2,7,7,4,4,4,0,0.3235294117647059,0.3783783783783784,0.5588235294117647,0.9372019077901432,1.0
NYN,NL,8,1,34,13,3,1,0,8,2,0,7,2,0,0,0,0.38235294117647056,0.40540540540540543,0.5294117647058824,0.9348171701112876,1.0
NYN,NL,5,1,31,7,3,0,1,5,4,3,7,4,0,0,0,0.22580645161290322,0.3055555555555556,0.41935483870967744,0.7249103942652331,1.0
NYN,NL,0,0,32,8,2,0,0,0,1,7,6,3,2,2,0,0.25,0.2727272727272727,0.3125,0.5852272727272727,0.0
NYN,NL,6,0,38,9,1,0,1,6,4,12,9,5,8,8,0,0.23684210526315788,0.30952380952380953,0.34210526315789475,0.6516290726817042,0.0
NYN,NL,10,0,38,16,7,0,1,10,8,8,12,4,4,4,0,0.42105263157894735,0.5106382978723404,0.6842105263157895,1.19484882418813,1.0
NYN,NL,6,0,34,8,1,1,1,6,3,5,5,5,18,18,1,0.23529411764705882,0.3157894736842105,0.4117647058823529,0.7275541795665634,0.0
NYN,NL,4,0,35,10,0,0,2,4,4,9,8,2,2,2,0,0.2857142857142857,0.358974358974359,0.45714285714285713,0.8161172161172161,1.0
NYN,NL,1,0,39,6,2,0,0,1,4,11,9,5,5,5,0,0.15384615384615385,0.23255813953488372,0.20512820512820512,0.4376863446630889,0.0
NYN,NL,4,1,32,9,3,0,0,4,4,2,8,4,3,3,1,0.28125,0.3611111111111111,0.375,0.7361111111111112,1.0
NYN,NL,6,1,33,10,4,0,1,6,2,7,5,3,1,1,0,0.30303030303030304,0.34285714285714286,0.5151515151515151,0.858008658008658,1.0
NYN,NL,7,1,35,12,2,0,1,6,6,2,10,6,6,6,2,0.34285714285714286,0.43902439024390244,0.4857142857142857,0.924738675958188,1.0
NYN,NL,2,1,39,9,1,1,2,2,1,11,8,4,1,1,1,0.23076923076923078,0.25,0.46153846153846156,0.7115384615384616,1.0
NYN,NL,2,1,29,2,0,0,1,2,1,12,1,4,4,4,1,0.06896551724137931,0.1,0.1724137931034483,0.2724137931034483,0.0
NYN,NL,5,0,36,10,2,0,1,5,1,5,6,3,1,1,0,0.2777777777777778,0.3157894736842105,0.4166666666666667,0.7324561403508771,1.0
NYN,NL,3,0,31,5,0,0,2,3,0,5,2,3,1,1,0,0.16129032258064516,0.16129032258064516,0.3548387096774194,0.5161290322580645,1.0
NYN,NL,11,0,43,18,3,0,4,11,1,6,7,4,4,4,1,0.4186046511627907,0.4222222222222222,0.7674418604651163,1.1896640826873386,1.0
NYN,NL,7,0,39,12,0,0,1,6,2,4,7,3,6,6,0,0.3076923076923077,0.34146341463414637,0.38461538461538464,0.7260787992495309,1.0
NYN,NL,8,0,39,14,7,0,0,8,0,4,5,3,4,4,0,0.358974358974359,0.358974358974359,0.5384615384615384,0.8974358974358974,1.0
NYN,NL,6,0,38,14,1,1,0,6,2,7,9,4,3,3,2,0.3684210526315789,0.3902439024390244,0.4473684210526316,0.8376123234916559,1.0
NYN,NL,4,0,33,8,4,0,0,4,6,5,8,5,0,0,1,0.24242424242424243,0.358974358974359,0.36363636363636365,0.7226107226107226,1.0
