teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
TOR,AL,1,0,31,4,2,0,0,1,1,11,4,4,6,6,0,0.12903225806451613,0.15625,0.1935483870967742,0.3497983870967742,0.0,0.0
TOR,AL,3,0,33,6,3,0,1,3,1,8,4,3,2,2,0,0.18181818181818182,0.20588235294117646,0.36363636363636365,0.5695187165775402,1.0,0.0
TOR,AL,16,1,38,15,3,0,5,16,9,6,7,6,10,10,1,0.39473684210526316,0.5106382978723404,0.868421052631579,1.3790593505039195,1.0,1.0
TOR,AL,6,1,35,10,1,1,2,6,1,7,6,1,0,0,0,0.2857142857142857,0.3055555555555556,0.5428571428571428,0.8484126984126984,1.0,1.0
TOR,AL,5,1,27,3,1,0,1,5,5,10,4,4,2,2,0,0.1111111111111111,0.2727272727272727,0.25925925925925924,0.531986531986532,1.0,1.0
TOR,AL,3,1,37,11,0,0,1,3,1,5,8,4,6,6,2,0.2972972972972973,0.3157894736842105,0.3783783783783784,0.6941678520625889,0.0,1.0
TOR,AL,11,1,37,15,3,0,4,11,0,6,4,3,2,2,0,0.40540540540540543,0.41025641025641024,0.8108108108108109,1.221067221067221,1.0,0.0
TOR,AL,3,0,32,6,3,0,0,3,1,7,5,4,2,2,1,0.1875,0.22857142857142856,0.28125,0.5098214285714285,1.0,1.0
TOR,AL,3,0,29,5,1,0,1,3,3,3,3,5,4,4,0,0.1724137931034483,0.24242424242424243,0.3103448275862069,0.5527690700104493,0.0,1.0
TOR,AL,6,0,38,12,1,0,6,6,0,9,5,4,8,8,0,0.3157894736842105,0.3157894736842105,0.8157894736842105,1.131578947368421,0.0,0.0
TOR,AL,5,0,34,7,1,0,2,5,0,11,2,5,8,8,0,0.20588235294117646,0.20588235294117646,0.4117647058823529,0.6176470588235294,0.0,0.0
TOR,AL,12,0,42,17,3,0,2,11,3,5,7,4,4,4,0,0.40476190476190477,0.43478260869565216,0.6190476190476191,1.0538302277432712,1.0,0.0
TOR,AL,6,0,33,6,1,1,0,5,8,7,9,3,0,0,0,0.18181818181818182,0.3333333333333333,0.2727272727272727,0.606060606060606,1.0,1.0
TOR,AL,3,0,32,4,1,0,3,3,1,10,3,3,7,7,3,0.125,0.15151515151515152,0.4375,0.5890151515151515,0.0,1.0
TOR,AL,5,0,33,6,3,0,0,5,4,11,5,5,6,6,0,0.18181818181818182,0.2702702702702703,0.2727272727272727,0.542997542997543,0.0,0.0
TOR,AL,5,1,31,8,0,1,2,4,1,5,3,4,0,0,0,0.25806451612903225,0.28125,0.5161290322580645,0.7973790322580645,1.0,0.0
TOR,AL,5,1,31,9,2,0,4,5,5,7,7,2,2,2,1,0.2903225806451613,0.3888888888888889,0.7419354838709677,1.1308243727598566,1.0,1.0
TOR,AL,6,1,33,9,2,0,3,6,3,4,6,1,1,1,1,0.2727272727272727,0.3333333333333333,0.6060606060606061,0.9393939393939394,1.0,1.0
TOR,AL,3,1,33,11,3,0,1,3,2,4,8,4,2,2,0,0.3333333333333333,0.37142857142857144,0.5151515151515151,0.8865800865800866,1.0,1.0
TOR,AL,6,1,38,12,4,1,2,6,2,6,8,7,7,7,1,0.3157894736842105,0.34146341463414637,0.631578947368421,0.9730423620025674,0.0,1.0
TOR,AL,3,1,33,11,3,0,0,3,0,5,5,3,6,6,1,0.3333333333333333,0.34285714285714286,0.42424242424242425,0.7670995670995671,0.0,0.0
TOR,AL,6,1,28,7,1,0,3,5,5,4,4,2,1,1,0,0.25,0.35294117647058826,0.6071428571428571,0.9600840336134453,1.0,0.0
TOR,AL,3,1,47,10,2,0,2,3,8,16,13,5,2,2,0,0.2127659574468085,0.32727272727272727,0.3829787234042553,0.7102514506769826,1.0,1.0
TOR,AL,3,1,29,3,1,0,1,3,4,10,3,4,4,4,0,0.10344827586206896,0.21212121212121213,0.2413793103448276,0.4535005224660397,0.0,1.0
TOR,AL,0,0,28,2,0,0,0,0,1,6,3,4,9,9,1,0.07142857142857142,0.13333333333333333,0.07142857142857142,0.20476190476190476,0.0,0.0
TOR,AL,1,0,30,4,1,0,0,1,6,8,9,4,10,10,0,0.13333333333333333,0.2972972972972973,0.16666666666666666,0.463963963963964,0.0,0.0
TOR,AL,3,0,35,9,1,0,1,3,2,9,8,5,2,2,0,0.2571428571428571,0.2894736842105263,0.37142857142857144,0.6609022556390978,1.0,0.0
TOR,AL,3,0,22,5,1,1,1,3,5,6,6,3,5,5,0,0.22727272727272727,0.37037037037037035,0.5,0.8703703703703703,0.0,1.0
TOR,AL,0,0,29,4,1,0,0,0,3,6,6,4,1,1,0,0.13793103448275862,0.21875,0.1724137931034483,0.3911637931034483,0.0,0.0
TOR,AL,3,0,35,7,4,0,0,2,3,6,8,4,10,10,0,0.2,0.2631578947368421,0.3142857142857143,0.5774436090225563,0.0,0.0
TOR,AL,6,0,37,12,4,0,2,6,4,11,9,3,2,2,1,0.32432432432432434,0.3902439024390244,0.5945945945945946,0.984838497033619,1.0,0.0
TOR,AL,2,0,32,5,1,0,0,2,2,11,6,3,8,8,0,0.15625,0.22857142857142856,0.1875,0.41607142857142854,0.0,1.0
TOR,AL,7,0,35,11,1,1,2,7,3,6,4,3,0,0,1,0.3142857142857143,0.3684210526315789,0.5714285714285714,0.9398496240601504,1.0,0.0
TOR,AL,3,1,28,4,0,0,1,3,1,5,3,4,2,2,0,0.14285714285714285,0.2,0.25,0.45,1.0,1.0
TOR,AL,3,1,31,8,1,0,1,3,2,3,6,3,0,0,0,0.25806451612903225,0.30303030303030304,0.3870967741935484,0.6901270772238515,1.0,1.0
TOR,AL,6,1,36,9,2,0,1,6,6,8,10,4,6,6,2,0.25,0.37209302325581395,0.3888888888888889,0.7609819121447028,0.0,1.0
TOR,AL,4,1,31,7,0,0,2,4,1,5,1,4,9,9,0,0.22580645161290322,0.25,0.41935483870967744,0.6693548387096775,0.0,0.0
TOR,AL,0,1,29,4,1,0,0,0,5,7,7,2,1,1,1,0.13793103448275862,0.2647058823529412,0.1724137931034483,0.43711967545638947,0.0,0.0
TOR,AL,5,1,35,10,2,0,3,5,2,8,9,2,0,0,0,0.2857142857142857,0.3157894736842105,0.6,0.9157894736842105,1.0,0.0
TOR,AL,0,1,32,7,2,0,0,0,1,4,6,4,9,9,0,0.21875,0.24242424242424243,0.28125,0.5236742424242424,0.0,1.0
TOR,AL,5,1,31,8,0,0,3,5,5,7,8,3,1,1,0,0.25806451612903225,0.3783783783783784,0.5483870967741935,0.9267654751525719,1.0,0.0
TOR,AL,2,1,35,7,1,0,1,2,2,7,8,5,5,5,4,0.2,0.24324324324324326,0.3142857142857143,0.5575289575289575,0.0,1.0
TOR,AL,1,0,34,8,3,0,0,1,1,8,7,3,2,2,0,0.23529411764705882,0.2571428571428571,0.3235294117647059,0.580672268907563,0.0,0.0
TOR,AL,4,0,31,6,0,0,0,2,4,4,6,3,3,3,1,0.1935483870967742,0.32432432432432434,0.1935483870967742,0.5178727114210986,0.0,0.0
TOR,AL,1,0,32,6,2,0,0,1,2,8,6,3,3,3,0,0.1875,0.23529411764705882,0.25,0.4852941176470588,0.0,0.0
TOR,AL,1,0,35,8,3,0,0,1,0,5,7,3,5,5,2,0.22857142857142856,0.22857142857142856,0.3142857142857143,0.5428571428571428,0.0,0.0
TOR,AL,6,0,42,11,0,1,0,6,7,8,13,5,1,1,0,0.2619047619047619,0.39215686274509803,0.30952380952380953,0.7016806722689075,1.0,0.0
TOR,AL,3,0,32,5,0,0,2,3,1,6,3,3,11,11,0,0.15625,0.18181818181818182,0.34375,0.5255681818181819,0.0,1.0
TOR,AL,6,0,40,11,0,0,3,6,4,10,8,5,7,7,0,0.275,0.3409090909090909,0.5,0.8409090909090908,0.0,0.0
TOR,AL,6,1,36,9,3,0,3,6,0,5,3,5,7,7,1,0.25,0.25,0.5833333333333334,0.8333333333333334,0.0,0.0
TOR,AL,6,1,32,11,3,1,2,6,2,5,5,4,5,5,0,0.34375,0.37142857142857144,0.6875,1.0589285714285714,1.0,0.0
TOR,AL,8,1,33,10,1,0,5,8,0,7,1,3,1,1,0,0.30303030303030304,0.30303030303030304,0.7878787878787878,1.0909090909090908,1.0,1.0
TOR,AL,3,1,33,7,2,0,2,3,4,6,7,5,10,9,1,0.21212121212121213,0.2972972972972973,0.45454545454545453,0.7518427518427518,0.0,1.0
TOR,AL,9,1,34,11,4,0,3,9,6,2,7,5,4,4,1,0.3235294117647059,0.425,0.7058823529411765,1.1308823529411764,1.0,0.0
TOR,AL,2,1,35,8,1,0,1,2,0,6,6,3,3,3,0,0.22857142857142856,0.22857142857142856,0.34285714285714286,0.5714285714285714,0.0,1.0
TOR,AL,4,0,35,10,3,0,1,4,3,4,8,4,0,0,2,0.2857142857142857,0.3333333333333333,0.45714285714285713,0.7904761904761904,1.0,0.0
TOR,AL,3,0,37,11,4,0,2,3,1,9,8,6,2,2,0,0.2972972972972973,0.3157894736842105,0.5675675675675675,0.883357041251778,1.0,1.0
TOR,AL,10,0,41,15,4,0,1,10,2,9,9,4,1,1,0,0.36585365853658536,0.4222222222222222,0.5365853658536586,0.9588075880758808,1.0,1.0
TOR,AL,4,0,40,13,1,0,1,4,0,7,8,5,5,5,1,0.325,0.35714285714285715,0.425,0.7821428571428571,0.0,1.0
TOR,AL,13,0,44,16,8,0,2,13,3,7,8,5,1,1,0,0.36363636363636365,0.4166666666666667,0.6818181818181818,1.0984848484848484,1.0,0.0
TOR,AL,2,0,34,8,2,0,0,2,0,10,5,3,5,5,1,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.5294117647058824,0.0,1.0
TOR,AL,2,0,35,9,4,1,1,2,2,7,8,2,5,5,0,0.2571428571428571,0.2972972972972973,0.5142857142857142,0.8115830115830116,0.0,0.0
TOR,AL,3,0,33,6,2,0,0,3,4,1,7,4,2,2,0,0.18181818181818182,0.2702702702702703,0.24242424242424243,0.5126945126945127,1.0,0.0
