teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
PHI,NL,4,1,39,8,0,1,1,4,5,12,9,6,1,1,1,0.20512820512820512,0.3111111111111111,0.3333333333333333,0.6444444444444444,1.0,1.0,1.1818181818181819,0.2391304347826087,0.06521739130434782,2.2489090909090907,0.3225806451612903,4.56,10,11
PHI,NL,2,1,33,9,1,0,0,1,5,10,12,3,1,1,0,0.2727272727272727,0.3684210526315789,0.30303030303030304,0.671451355661882,1.0,1.0,1.3333333333333333,0.1891891891891892,0.10810810810810811,2.9357777777777776,0.3333333333333333,4.53,8,7
PHI,NL,7,1,33,9,0,1,2,7,4,6,7,5,6,6,0,0.2727272727272727,0.3684210526315789,0.5151515151515151,0.8835725677830941,1.0,1.0,1.5555555555555556,0.14285714285714285,0.09523809523809523,6.380222222222223,0.27586206896551724,4.54,10,6
PHI,NL,1,0,34,8,3,0,0,1,3,7,9,3,6,6,1,0.23529411764705882,0.2972972972972973,0.3235294117647059,0.6208267090620032,0.0,1.0,1.75,0.13157894736842105,0.02631578947368421,4.2829999999999995,0.4,4.56,13,5
PHI,NL,0,0,31,6,0,0,0,0,2,4,6,3,2,2,2,0.1935483870967742,0.24242424242424243,0.1935483870967742,0.4359726295210166,0.0,0.0,1.375,0.11428571428571428,0.02857142857142857,7.7829999999999995,0.2692307692307692,4.54,10,4
PHI,NL,4,0,36,10,3,0,1,4,4,7,9,3,5,5,0,0.2777777777777778,0.35,0.4444444444444444,0.7944444444444444,0.0,0.0,1.5,0.19444444444444445,0.16666666666666666,5.2829999999999995,0.22727272727272727,4.55,6,7
PHI,NL,3,0,37,10,2,1,0,3,1,8,8,4,4,4,0,0.2702702702702703,0.2894736842105263,0.3783783783783784,0.6678520625889047,0.0,0.0,1.875,0.07692307692307693,0.20512820512820512,7.4079999999999995,0.24,4.55,7,3
PHI,NL,5,0,38,12,0,1,1,4,1,7,7,3,8,8,0,0.3157894736842105,0.3333333333333333,0.4473684210526316,0.7807017543859649,0.0,0.0,1.75,0.2894736842105263,0.07894736842105263,3.533,0.45454545454545453,4.59,11,11
PHI,NL,3,0,34,9,5,0,1,3,3,9,7,3,2,2,0,0.2647058823529412,0.32432432432432434,0.5,0.8243243243243243,1.0,0.0,1.1111111111111112,0.24324324324324326,0.08108108108108109,2.158,0.28,4.56,7,9
PHI,NL,5,0,37,11,3,0,1,5,6,9,11,3,2,2,0,0.2972972972972973,0.3953488372093023,0.4594594594594595,0.8548082966687618,1.0,1.0,1.0,0.14705882352941177,0.029411764705882353,3.8246666666666664,0.25925925925925924,4.54,8,5
PHI,NL,3,0,33,5,2,2,0,2,1,8,5,5,2,2,0,0.15151515151515152,0.2,0.3333333333333333,0.5333333333333333,1.0,1.0,1.1111111111111112,0.22857142857142856,0.02857142857142857,1.7135555555555555,0.34615384615384615,4.52,9,8
PHI,NL,0,1,29,4,1,0,0,0,1,13,3,5,10,10,0,0.13793103448275862,0.16666666666666666,0.1724137931034483,0.3390804597701149,0.0,1.0,1.7777777777777777,0.2558139534883721,0.06976744186046512,7.824666666666667,0.375,4.56,13,11
PHI,NL,6,1,40,13,3,0,1,6,4,12,11,5,6,6,1,0.325,0.38636363636363635,0.475,0.8613636363636363,0.0,0.0,1.6666666666666667,0.2,0.05,6.380222222222223,0.4,4.58,13,8
PHI,NL,3,1,27,5,0,0,0,3,4,3,7,4,1,1,0,0.18518518518518517,0.30303030303030304,0.18518518518518517,0.4882154882154882,1.0,0.0,0.7777777777777778,0.3235294117647059,0.11764705882352941,3.4913333333333334,0.1111111111111111,4.55,3,11
PHI,NL,2,1,33,7,1,0,0,1,5,8,9,4,5,5,1,0.21212121212121213,0.3157894736842105,0.24242424242424243,0.5582137161084529,0.0,1.0,1.3333333333333333,0.25,0.0,3.8246666666666664,0.35714285714285715,4.55,12,10
PHI,NL,4,0,38,11,2,0,2,3,2,8,10,3,6,6,1,0.2894736842105263,0.34146341463414637,0.5,0.8414634146341464,0.0,0.0,1.875,0.175,0.125,5.2829999999999995,0.34615384615384615,4.57,10,7
PHI,NL,4,0,32,6,1,0,2,4,1,7,3,3,4,4,2,0.1875,0.23529411764705882,0.40625,0.6415441176470589,0.0,0.0,1.625,0.13157894736842105,0.13157894736842105,7.4079999999999995,0.24,4.57,8,5
PHI,NL,0,0,31,3,2,0,0,0,1,6,5,3,3,3,0,0.0967741935483871,0.125,0.16129032258064516,0.28629032258064513,0.0,0.0,1.25,0.48484848484848486,0.09090909090909091,0.2829999999999999,0.5,4.56,7,16
PHI,NL,4,0,35,9,2,1,2,3,2,9,6,4,5,5,0,0.2571428571428571,0.2972972972972973,0.5428571428571428,0.8401544401544401,0.0,0.0,1.75,0.13513513513513514,0.13513513513513514,3.783,0.34615384615384615,4.57,9,5
PHI,NL,2,0,31,4,0,0,0,2,4,5,6,4,9,9,1,0.12903225806451613,0.22857142857142856,0.12903225806451613,0.35760368663594466,0.0,0.0,1.75,0.15789473684210525,0.05263157894736842,5.6579999999999995,0.35714285714285715,4.61,12,6
PHI,NL,12,0,39,13,3,0,3,12,4,11,5,7,9,9,2,0.3333333333333333,0.38636363636363635,0.6410256410256411,1.0273892773892774,1.0,0.0,2.111111111111111,0.13333333333333333,0.1111111111111111,5.269111111111111,0.40625,4.64,14,6
PHI,NL,5,0,39,13,2,0,1,5,1,11,8,5,2,2,0,0.3333333333333333,0.35,0.46153846153846156,0.8115384615384615,1.0,1.0,1.4444444444444444,0.24324324324324326,0.08108108108108109,2.4913333333333334,0.4166666666666667,4.62,10,9
PHI,NL,8,1,34,8,1,0,5,8,2,13,2,3,12,12,0,0.23529411764705882,0.2702702702702703,0.7058823529411765,0.9761526232114468,0.0,1.0,1.8888888888888888,0.2558139534883721,0.06976744186046512,7.491333333333333,0.4,4.68,14,11
PHI,NL,4,1,34,8,1,0,3,4,2,7,6,6,7,7,1,0.23529411764705882,0.2972972972972973,0.5294117647058824,0.8267090620031796,0.0,0.0,1.8888888888888888,0.2558139534883721,0.09302325581395349,4.935777777777778,0.44,4.7,13,11
