Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100418,TBA,AL,12,BOS,AL,12,7,1,54,BOS07,37143,32,7,2,0,2,7,1,0,0,6,0,6,3,0,2,0,5,2,1,1,0,0,27,13,0,0,3,0,27,5,2,0,0,1,0,1,0,2,0,5,0,0,3,0,2,3,7,7,0,0,27,15,1,0,2,0,garzm001,lestj001,,garzm001,lestj001,12,Apr 18,1,TBR,"L,1-7",9.0,7,7,7,0,6,6,2,0,4.29,39,144,87,0,0,3,0,32,2,0,0,1,0,1,2,3,Ted Barrett,"J.Lester (5-32-L), S.Schoeneweis (2), M.Delcarmen (1)",,0.21875,0.18518518518518517,0.34210526315789475,0.23333333333333334,0.46875,0.25925925925925924,0.8108552631578947,0.4925925925925926,0.0,0.0,1.4444444444444444,0.15384615384615385,0.15384615384615385,0.20833333333333334
20100419,TBA,AL,13,BOS,AL,13,8,2,54,BOS07,37609,35,12,4,1,1,8,1,1,0,3,0,5,1,0,1,0,5,2,2,2,0,0,27,9,0,0,1,0,30,5,1,0,1,2,1,0,0,3,0,4,0,0,1,0,5,4,8,8,0,0,27,10,1,0,1,0,niemj001,lackj001,,niemj001,lackj001,13,Apr 19,1,TBR,"L,2-8",9.0,12,8,8,0,3,5,1,0,4.58,40,157,103,1,1,1,0,35,4,1,0,1,1,0,1,4,Angel Campos,"J.Lackey (4-12-L), S.Atchison (1), R.Ramirez (1), S.Schoeneweis (0)",,0.34285714285714286,0.16666666666666666,0.38461538461538464,0.24242424242424243,0.6,0.3,0.9846153846153847,0.5424242424242425,0.0,0.0,1.6666666666666667,0.125,0.075,0.36666666666666664
20100420,TEX,AL,13,BOS,AL,14,6,7,53,BOS07,37614,34,8,2,0,0,5,0,0,1,9,1,5,9,0,0,0,11,5,7,7,0,0,26,7,1,1,0,0,38,13,3,0,2,7,1,0,1,5,1,7,0,0,0,0,12,4,6,6,2,1,27,6,0,0,1,0,papej001,franf001,,lewic001,waket001,14,Apr 20,1,TEX,"W,7-6",9.0,8,6,6,0,9,5,0,1,4.68,44,179,104,1,0,9,0,34,2,0,1,0,0,0,0,4,Jerry Crawford,"T.Wakefield (4-32), M.Delcarmen (1), H.Okajima (3), J.Papelbon (3-W)",,0.23529411764705882,0.34210526315789475,0.4090909090909091,0.4318181818181818,0.29411764705882354,0.5789473684210527,0.7032085561497327,1.0107655502392345,1.0,0.0,1.8888888888888888,0.11363636363636363,0.20454545454545456,0.27586206896551724
20100421,TEX,AL,14,BOS,AL,15,7,8,71,BOS07,37518,40,8,2,1,1,7,1,1,0,5,0,10,3,0,1,0,4,6,8,8,0,0,35,11,0,0,1,0,43,9,2,0,3,8,0,0,0,6,1,12,0,0,1,0,6,4,7,7,0,0,36,15,0,0,2,0,okajh001,nippd001,,harrm001,beckj002,15,Apr 21,1,TEX,"W,8-7",12.0,8,7,7,0,5,10,1,0,4.73,47,172,115,0,0,3,0,40,2,1,0,1,1,0,1,4,Brian O'Nora,"J.Beckett (4-34), D.Bard (4), J.Papelbon (0), H.Okajima (0-W)",,0.2,0.20930232558139536,0.2826086956521739,0.30612244897959184,0.375,0.46511627906976744,0.6576086956521738,0.7712387280493593,1.0,1.0,1.0833333333333333,0.2127659574468085,0.10638297872340426,0.23333333333333334
20100422,TEX,AL,15,BOS,AL,16,3,0,54,BOS07,37417,33,7,3,0,0,3,0,0,0,2,1,11,2,0,1,0,5,3,0,0,0,0,27,17,0,0,2,0,31,6,0,0,0,0,0,0,0,2,0,4,0,0,2,0,6,3,3,3,0,0,27,8,2,0,1,0,wilsc004,buchc001,olivd001,wilsc004,buchc001,16,Apr 22,1,TEX,"L,0-3",9.0,7,3,3,0,2,11,0,0,4.62,35,142,92,2,0,2,0,33,3,0,1,0,0,0,1,3,Phil Cuzzi,"C.Buchholz (4-59-L), R.Ramirez (2), S.Schoeneweis (2)",,0.21212121212121213,0.1935483870967742,0.2571428571428571,0.24242424242424243,0.30303030303030304,0.1935483870967742,0.5601731601731601,0.4359726295210166,0.0,1.0,1.0,0.3142857142857143,0.05714285714285714,0.3181818181818182
20100423,BAL,AL,17,BOS,AL,17,3,4,51,BOS07,37367,34,9,2,0,1,3,0,0,1,7,1,9,1,1,1,0,12,6,4,4,0,0,24,11,2,0,3,0,26,6,0,0,1,3,1,1,0,7,1,0,0,0,3,0,7,5,3,3,1,0,27,14,0,0,1,0,delcm001,albem001,papej001,guthj001,lestj001,17,Apr 23,1,BAL,"W,4-3",9.0,9,3,3,0,7,9,1,1,4.53,42,193,110,4,1,1,1,34,2,0,1,0,0,0,1,5,Jeff Nelson,"J.Lester (4-64), D.Bard (1-H), H.Okajima (1-H), M.Delcarmen (2-BW), J.Papelbon (1-Sv)",,0.2647058823529412,0.23076923076923078,0.40476190476190477,0.38235294117647056,0.4117647058823529,0.34615384615384615,0.8165266106442577,0.7285067873303167,1.0,0.0,1.7777777777777777,0.21428571428571427,0.16666666666666666,0.3333333333333333
20100424,BAL,AL,18,BOS,AL,18,6,7,51,BOS07,38017,42,17,2,0,2,5,0,0,0,2,0,6,0,0,2,0,11,4,7,7,0,0,24,7,0,0,1,0,32,9,1,0,3,7,0,0,0,4,0,8,1,0,1,0,5,4,6,6,0,0,27,12,1,0,2,0,lackj001,albem001,papej001,matub001,lackj001,18,Apr 24,1,BAL,"W,7-6",9.0,17,6,6,0,2,6,2,0,4.61,44,166,106,3,1,0,0,42,2,0,0,0,0,0,2,4,Todd Tichenor,"J.Lackey (4-46-W), S.Schoeneweis (1), R.Ramirez (1-H), J.Papelbon (0-Sv)",,0.40476190476190477,0.28125,0.4318181818181818,0.3611111111111111,0.5952380952380952,0.59375,1.027056277056277,0.9548611111111112,1.0,1.0,2.111111111111111,0.13636363636363635,0.045454545454545456,0.4411764705882353
20100425,BAL,AL,19,BOS,AL,19,7,6,60,BOS07,37102,45,14,4,0,1,7,0,0,0,2,0,10,1,0,0,0,10,6,6,6,1,0,30,7,0,0,0,0,41,13,4,0,0,6,1,1,0,3,0,6,0,0,0,0,10,6,7,7,0,0,30,5,1,0,0,0,johnj010,atchs001,merec001,hernd002,waket001,19,Apr 25,1,BAL,"L,6-7",10.0,14,7,7,0,2,10,1,0,4.7,47,175,117,6,4,1,0,45,4,0,0,0,0,1,0,6,Jeff Kellogg,"T.Wakefield (4-56), H.Okajima (1-BSv), D.Bard (1), S.Atchison (5-L), S.Schoeneweis (0), M.Delcarmen (1)",,0.3111111111111111,0.3170731707317073,0.3404255319148936,0.35555555555555557,0.4666666666666667,0.4146341463414634,0.8070921985815602,0.770189701897019,0.0,1.0,1.6,0.2127659574468085,0.0425531914893617,0.38235294117647056
20100426,BOS,AL,20,TOR,AL,20,13,12,54,TOR02,13847,45,18,4,0,0,12,0,0,1,4,0,11,2,0,0,0,10,7,12,12,0,0,27,4,0,0,0,0,42,16,4,2,2,12,0,1,0,4,0,9,0,0,0,0,8,6,13,13,2,0,27,8,0,0,0,0,schos001,camps002,papej001,beckj002,eveld001,20,Apr 26,@,TOR,"W,13-12",9.0,16,12,12,0,4,9,2,0,5.06,47,186,114,6,4,0,0,42,4,2,0,0,1,0,0,7,Ed Hickox,"J.Beckett (4-9), S.Atchison (0), S.Schoeneweis (0-BW), M.Delcarmen (0-H), H.Okajima (0), D.Bard (0-H), J.Papelbon (1-Sv)",,0.4,0.38095238095238093,0.46,0.425531914893617,0.4888888888888889,0.7142857142857143,0.9488888888888889,1.1398176291793314,1.0,0.0,2.2222222222222223,0.19148936170212766,0.0851063829787234,0.4375
20100427,BOS,AL,21,TOR,AL,21,2,1,54,TOR02,14776,33,7,1,0,0,2,0,0,0,5,0,7,0,0,1,0,9,2,1,1,0,0,27,10,1,0,0,0,34,7,1,0,0,1,0,0,0,2,0,4,0,0,0,0,8,3,2,2,0,0,27,11,0,0,1,0,buchc001,downs001,ramir003,buchc001,marcs001,21,Apr 27,@,TOR,"W,2-1",9.0,7,1,1,0,2,4,0,0,4.87,36,128,88,0,0,0,0,34,1,0,0,0,0,0,0,2,Fieldin Culbreth,"C.Buchholz (4-66-W), R.Ramirez (2-Sv)",,0.21212121212121213,0.20588235294117646,0.3157894736842105,0.25,0.24242424242424243,0.23529411764705882,0.5582137161084529,0.4852941176470588,1.0,1.0,1.0,0.1111111111111111,0.05555555555555555,0.23333333333333334
