team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
99,Jul 25,1,STL,"L,3-4",11.0,15,4,4,0,4,7,2,0,4.00,47,167,111,0,0,1,1,42,1,1,1,1,0,0,2,4,Bob Davidson,"R.Dempster (4-47), S.Marshall (1), C.Marmol (0), B.Schlitter (22-L)"
100,Jul 26,@,HOU,"W,5-2",9.0,11,2,2,0,1,8,0,0,3.98,41,153,99,2,0,2,0,40,2,0,0,0,0,0,0,5,Brian Knight,"C.Silva (6-56-W), J.Berg (4), A.Cashner (1-H), S.Marshall (0-H), C.Marmol (0-Sv)"
101,Jul 27,@,HOU,"L,1-6",8.0,8,6,6,0,5,10,1,2,4.01,38,159,93,2,0,2,0,29,1,0,1,2,0,0,1,3,Gerry Davis,"T.Lilly (5-64), A.Cashner (0-L), B.Howry (5)"
102,Jul 28,@,HOU,"L,1-8",8.0,13,8,8,0,6,4,2,0,4.05,43,161,94,4,0,0,0,37,2,1,0,0,0,0,0,5,Vic Carapazza,"R.Wells (4-46-L), J.Russell (3), B.Schlitter (2), B.Howry (0), J.Berg (1)"
103,Jul 30,@,COL,"L,2-17",8.0,21,17,17,0,7,10,3,0,4.18,52,206,130,5,3,0,0,45,8,1,0,0,0,0,0,6,Mike Winters,"R.Dempster (4-28-L), J.Russell (1), J.Berg (1), S.Marshall (3), A.Cashner (2), B.Schlitter (1)"
104,Jul 31,@,COL,"L,5-6",8.0,12,6,6,0,3,7,2,0,4.21,39,125,84,1,0,2,0,35,1,1,1,0,1,0,0,3,Hunter Wendelstedt,"T.Gorzelanny (6-38), C.Zambrano (35), S.Marshall (0-L)"
105,Aug 1,@,COL,"L,7-8",8.0,8,8,6,2,7,3,0,1,4.23,40,161,94,2,1,0,0,30,1,0,0,1,1,1,1,6,Mike Estabrook,"C.Silva (5-38-L), J.Russell (1), C.Zambrano (0), J.Berg (1), A.Cashner (1), C.Marmol (5)"
106,Aug 2,1,MIL,"L,1-18",9.0,26,18,14,4,3,9,1,3,4.32,60,201,128,5,5,0,0,53,3,0,0,0,1,2,1,4,Lance Barksdale,"R.Wells (4-21-L), J.Berg (0), C.Coleman (99), B.Schlitter (2)"
107,Aug 3,1,MIL,"L,3-4",9.0,11,4,4,0,3,13,0,1,4.32,40,173,114,2,1,0,1,35,1,0,0,0,1,0,1,5,Ed Rapuano,"T.Diamond (99-53-L), J.Berg (0), J.Russell (1), A.Cashner (1), C.Marmol (1)"
108,Aug 4,1,MIL,"W,15-3",9.0,6,3,0,3,4,12,0,0,4.28,38,150,88,0,0,0,0,34,2,0,0,0,0,2,1,4,Tom Hallion,"R.Dempster (4-62-W), C.Zambrano (2), S.Marshall (3), M.Atkins (15)"
109,Aug 6,1,CIN,"L,0-3",9.0,7,3,3,0,4,7,1,1,4.27,38,154,102,0,0,0,0,32,1,0,0,1,0,0,1,3,Andy Fletcher,"T.Gorzelanny (5-58-L), A.Cashner (2), J.Berg (2)"
110,Aug 7,1,CIN,"L,3-4",9.0,7,4,3,1,2,4,1,0,4.26,35,115,75,3,1,0,0,33,1,0,0,0,0,1,1,4,Mike Everitt,"R.Wells (4-56-L), J.Berg (0), S.Marshall (2), C.Marmol (3)"
111,Aug 8,1,CIN,"L,4-11",9.0,12,11,10,1,6,4,1,2,4.31,48,174,106,0,0,0,0,36,2,0,0,1,3,1,0,4,Adrian Johnson,"T.Diamond (4-29-L), C.Coleman (5), J.Russell (4), M.Atkins (3)"
112,Aug 9,@,SFG,"L,3-4",10.1,11,4,4,0,11,8,0,0,4.30,50,181,101,2,1,0,0,37,4,0,1,1,1,0,1,6,Brian Gorman,"C.Zambrano (4-47), J.Berg (1-H), J.Russell (0-BSv), A.Cashner (2), S.Marshall (1), M.Mateo (99-L)"
113,Aug 10,@,SFG,"W,8-6",9.0,13,6,3,3,3,6,0,0,4.29,44,172,114,2,2,0,0,40,2,0,0,1,0,3,2,4,Paul Nauert,"R.Dempster (5-49-W), A.Cashner (0-H), S.Marshall (0), C.Marmol (2)"
114,Aug 11,@,SFG,"L,4-5",8.0,10,5,5,0,2,7,2,0,4.30,36,124,80,1,0,2,0,33,2,1,0,1,0,0,0,3,Ted Barrett,"T.Gorzelanny (4-44), J.Russell (1), J.Berg (1-L)"
115,Aug 12,@,SFG,"L,7-8",8.1,11,8,7,1,5,6,3,0,4.32,41,159,84,0,0,1,0,34,1,1,1,2,0,1,1,5,Tony Randazzo,"R.Wells (4-24), M.Mateo (2), C.Coleman (3), S.Marshall (1), A.Cashner (1-L)"
116,Aug 13,@,STL,"L,3-6",8.0,8,6,5,1,6,6,1,0,4.34,39,157,91,0,0,0,0,30,3,0,1,1,2,2,0,3,Jim Reynolds,"T.Diamond (4-32-L), C.Coleman (0), J.Berg (1)"
117,Aug 14,@,STL,"W,3-2",9.0,9,2,2,0,2,6,0,0,4.31,38,137,92,2,0,0,0,35,1,0,0,0,1,0,0,4,Bill Welke,"C.Zambrano (4-48-W), M.Mateo (1-H), S.Marshall (1-H), C.Marmol (3-Sv)"
118,Aug 15,@,STL,"W,9-7",9.0,9,7,7,0,6,9,2,0,4.34,42,186,110,8,4,0,0,36,1,0,0,0,0,0,0,5,Mike DiMuro,"R.Dempster (4-60-W), S.Marshall (0), M.Mateo (0), J.Russell (3), C.Marmol (0-Sv)"
119,Aug 16,1,SDP,"L,5-9",9.0,15,9,9,0,5,7,0,0,4.38,46,185,109,1,1,2,0,40,4,1,0,0,1,0,1,4,Gary Cederstrom,"T.Gorzelanny (4-34-L), J.Berg (2), A.Cashner (3), J.Russell (0)"
120,Aug 17,1,SDP,"L,0-1",9.0,3,1,1,0,4,8,0,1,4.35,35,155,90,0,0,2,0,30,1,0,0,0,0,1,1,3,Ed Hickox,"R.Wells (4-70-L), S.Marshall (1), C.Marmol (1)"
121,Aug 18,1,SDP,"L,1-5",9.0,11,5,5,0,5,7,1,1,4.35,41,175,95,6,0,0,1,34,1,0,0,0,1,0,1,6,Fieldin Culbreth,"C.Coleman (4-37-L), J.Russell (1), J.Berg (1), T.Diamond (4), A.Cashner (1), M.Mateo (2)"
122,Aug 19,1,SDP,"L,3-5",9.0,8,5,5,0,7,5,0,0,4.36,42,167,99,2,1,0,0,34,0,0,0,1,0,0,0,5,D.J. Reyburn,"C.Zambrano (4-55), S.Marshall (1-BL), J.Berg (0), M.Mateo (0), A.Cashner (0)"
123,Aug 20,1,ATL,"L,3-5",9.0,5,5,5,0,5,10,1,0,4.37,36,136,81,0,0,0,0,31,2,1,0,0,0,0,1,2,Mark Wegner,"R.Dempster (4-71), C.Marmol (2-BL)"
124,Aug 21,1,ATL,"W,5-4",9.0,9,4,4,0,6,13,0,1,4.36,43,167,100,3,3,0,0,36,5,0,1,0,0,0,0,4,Dan Iassogna,"T.Gorzelanny (4-66-W), A.Cashner (1), S.Marshall (1-H), C.Marmol (0-Sv)"
125,Aug 22,1,ATL,"L,5-16",9.0,13,16,12,4,7,7,4,1,4.42,48,169,102,8,4,1,0,40,1,0,0,0,0,1,0,5,Dale Scott,"R.Wells (4-35-L), T.Diamond (3), J.Russell (3), J.Berg (2), M.Mateo (2)"
126,Aug 23,@,WSN,"W,9-1",9.0,3,1,1,0,2,6,0,0,4.40,32,125,79,2,0,0,0,30,1,0,0,0,0,1,1,3,Tim Timmons,"C.Coleman (4-64-W), A.Cashner (1), T.Diamond (0)"
127,Aug 24,@,WSN,"W,5-4",9.0,7,4,4,0,5,11,0,0,4.39,39,158,96,4,0,0,0,33,1,0,0,1,0,1,2,3,Tim Tschida,"C.Zambrano (4-71-W), S.Marshall (2), C.Marmol (2-Sv)"
128,Aug 25,@,WSN,"W,4-0",9.0,4,0,0,0,1,10,0,0,4.36,31,103,75,0,0,0,0,28,0,0,0,2,0,0,1,3,Bob Davidson,"R.Dempster (4-80-W), A.Cashner (1-H), C.Marmol (0)"
129,Aug 27,@,CIN,"L,1-7",8.0,8,7,7,0,4,7,4,0,4.38,34,127,80,0,0,2,1,29,3,0,0,1,0,0,1,4,Scott Barry,"T.Gorzelanny (5-28-L), T.Diamond (3), S.Maine (99), M.Mateo (4)"
130,Aug 28,@,CIN,"W,3-2",9.0,7,2,2,0,2,8,1,0,4.36,36,135,86,0,0,0,0,34,1,0,0,0,0,1,1,4,Greg Gibson,"R.Wells (5-54-W), J.Russell (5-H), A.Cashner (2-H), C.Marmol (2-Sv)"
131,Aug 29,@,CIN,"L,5-7",8.0,14,7,5,2,0,3,1,0,4.37,38,126,84,3,0,3,0,36,2,0,0,1,1,0,0,4,Brian Knight,"C.Coleman (5-42), M.Mateo (1), S.Marshall (4-L), A.Cashner (0)"
132,Aug 30,1,PIT,"W,14-2",9.0,6,2,0,2,4,12,0,0,4.34,38,178,108,2,0,1,0,34,2,0,0,0,0,2,0,4,Bill Hohn,"C.Zambrano (5-61-W), T.Diamond (2), J.Russell (1), S.Maine (2)"
133,Aug 31,1,PIT,"L,7-14",9.0,15,14,11,3,3,15,2,1,4.39,47,184,124,1,0,1,0,42,4,1,0,1,0,1,0,5,Gary Darling,"R.Dempster (5-18-L), M.Mateo (1), J.Russell (0), S.Marshall (1), C.Marmol (2)"
134,Sep 1,1,PIT,"W,5-3",9.0,6,3,2,1,8,12,1,1,4.37,42,173,101,6,1,0,0,33,3,0,0,0,0,1,1,6,Bruce Dreckman,"T.Gorzelanny (4-54), T.Diamond (1-W), S.Maine (1-H), A.Cashner (2-H), S.Marshall (0-H), C.Marmol (0-Sv)"
135,Sep 3,1,NYM,"W,7-6",9.0,10,6,6,0,6,7,2,0,4.38,43,162,98,1,0,0,0,37,2,0,0,0,0,0,0,5,Brian Gorman,"R.Wells (5-37), J.Russell (2-W), A.Cashner (1-H), S.Marshall (1-H), C.Marmol (1-Sv)"
136,Sep 4,1,NYM,"W,5-3",9.0,6,3,3,0,3,11,1,1,4.37,35,135,84,0,0,3,0,31,1,0,0,0,0,0,2,3,Ted Barrett,"C.Zambrano (4-67-W), A.Cashner (0-H), C.Marmol (0-Sv)"
137,Sep 5,1,NYM,"L,5-18",9.0,21,18,14,4,9,8,2,0,4.45,57,225,141,5,0,2,0,47,4,0,1,0,1,1,1,6,Tony Randazzo,"R.Dempster (4-27-L), S.Maine (3), M.Mateo (4), J.Russell (1), T.Diamond (3), S.Marshall (1)"
138,Sep 6,1,HOU,"W,5-4",9.0,9,4,4,0,5,5,1,0,4.44,39,153,85,0,0,1,0,33,2,0,0,1,0,0,2,4,Mark Carlson,"C.Coleman (7-37), M.Mateo (0), A.Cashner (1-W), C.Marmol (1-Sv)"
139,Sep 7,1,HOU,"L,3-7",9.0,10,7,6,1,1,7,1,0,4.45,38,152,98,1,0,1,1,34,2,1,0,1,1,1,1,4,Jeff Kellogg,"C.Silva (36-28-L), S.Maine (1), T.Diamond (1), J.Russell (1)"
140,Sep 8,1,HOU,"L,0-4",9.0,9,4,4,0,2,6,1,0,4.45,39,135,84,0,0,0,0,36,3,0,1,1,0,1,0,4,Larry Vanover,"R.Wells (4-39-L), M.Mateo (1), S.Marshall (2), J.Berg (16)"
141,Sep 10,@,MIL,"W,4-0",9.0,3,0,0,0,3,9,0,0,4.42,32,120,74,2,0,0,0,29,0,0,0,0,0,1,1,2,Ron Kulpa,"C.Zambrano (5-84-W), C.Marmol (3-Sv)"
142,Sep 11,@,MIL,"W,1-0",9.0,3,0,0,0,3,12,0,1,4.39,34,134,90,2,0,1,0,30,0,0,0,0,0,0,0,4,Lance Barksdale,"R.Dempster (5-77-W), A.Cashner (4-H), S.Marshall (2-H), C.Marmol (0-Sv)"
143,Sep 12,@,MIL,"L,0-2",8.0,6,2,2,0,3,6,1,0,4.37,33,114,64,0,0,0,0,30,2,0,2,0,0,1,1,4,Ed Rapuano,"C.Coleman (5-58-L), M.Mateo (3), J.Russell (4), T.Diamond (4)"
144,Sep 13,@,STL,"W,5-1",9.0,9,1,1,0,5,6,0,1,4.35,40,162,100,5,1,0,0,34,1,0,0,0,0,0,2,5,Mike Estabrook,"J.Samardzija (99-54-W), S.Maine (5-H), A.Cashner (1), S.Marshall (1-H), C.Marmol (1)"
145,Sep 14,@,STL,"W,7-2",9.0,6,2,2,0,0,5,1,0,4.33,32,109,76,0,0,1,0,32,2,0,0,0,0,0,0,2,Jim Joyce,"R.Wells (5-73-W), J.Russell (1)"
146,Sep 15,@,STL,"W,7-3",9.0,8,3,2,1,4,8,0,2,4.32,41,167,95,5,1,0,0,32,2,0,0,1,2,0,1,6,Marvin Hudson,"C.Zambrano (4-58-W), S.Maine (1-H), M.Mateo (2), J.Russell (0-H), A.Cashner (1), C.Marmol (1-Sv)"
147,Sep 17,@,FLA,"W,2-0",9.0,5,0,0,0,6,8,0,1,4.29,38,166,97,2,0,1,1,31,2,0,0,0,0,1,0,4,Mike Everitt,"R.Dempster (5-71-W), A.Cashner (1-H), S.Marshall (3-H), C.Marmol (1-Sv)"
148,Sep 18,@,FLA,"W,5-3",9.0,7,3,3,0,5,10,0,0,4.28,38,135,81,2,1,0,0,33,3,0,0,0,0,1,2,5,Adrian Johnson,"C.Coleman (5-51-W), J.Russell (2-H), J.Berg (9-H), A.Cashner (0-H), C.Marmol (0-Sv)"
149,Sep 19,@,FLA,"W,13-3",9.0,3,3,3,0,6,9,2,2,4.27,38,146,85,0,0,0,0,30,0,0,0,0,0,0,0,4,Andy Fletcher,"J.Samardzija (5-55-W), M.Mateo (3), T.Diamond (6), S.Maine (3)"
150,Sep 21,1,SFG,"L,0-1",9.0,5,1,1,0,5,9,1,1,4.25,36,154,88,0,0,0,1,29,0,0,0,1,0,0,1,3,Jerry Layne,"C.Zambrano (5-69), A.Cashner (2-L), S.Maine (1)"
151,Sep 22,1,SFG,"W,2-0",9.0,6,0,0,0,2,10,0,0,4.22,33,115,78,2,0,0,0,31,3,0,0,0,0,0,1,2,Mike Winters,"R.Wells (7-72-W), C.Marmol (3-Sv)"
152,Sep 23,1,SFG,"L,0-13",9.0,19,13,13,0,3,5,4,2,4.28,48,185,112,5,3,0,0,43,2,0,0,0,0,0,3,6,Hunter Wendelstedt,"R.Dempster (5-5-L), T.Diamond (3), M.Mateo (3), J.Russell (4), J.Berg (4), S.Marshall (5)"
153,Sep 24,1,STL,"L,1-7",9.0,9,7,7,0,7,9,1,0,4.30,41,166,94,3,1,1,0,34,3,0,0,0,0,0,2,5,Rob Drake,"T.Gorzelanny (22-17-L), J.Berg (0), S.Maine (2), M.Mateo (0), J.Russell (0)"
154,Sep 25,1,STL,"W,7-3",9.0,6,3,2,1,3,7,0,1,4.28,37,136,80,0,0,0,1,32,1,0,0,0,1,1,0,3,Joe West,"C.Coleman (6-59-W), S.Marshall (1), C.Marmol (2)"
155,Sep 26,1,STL,"L,7-8",9.0,12,8,8,0,11,4,1,0,4.30,49,205,112,2,1,1,1,38,3,0,3,0,0,1,1,7,Dan Bellino,"J.Samardzija (6-12-L), J.Berg (1), S.Maine (1), M.Mateo (1), A.Cashner (4), J.Russell (1), T.Diamond (2)"
156,Sep 27,@,SDP,"W,1-0",9.0,4,0,0,0,5,9,0,1,4.28,36,144,82,0,0,1,0,30,0,0,0,0,0,0,0,3,Greg Gibson,"C.Zambrano (5-72-W), S.Marshall (1-H), C.Marmol (1-Sv)"
157,Sep 28,@,SDP,"W,5-2",9.0,4,2,2,0,3,11,1,0,4.26,34,145,92,0,0,0,0,31,1,0,0,0,0,0,0,3,Gerry Davis,"R.Dempster (4-68-W), A.Cashner (1-H), C.Marmol (0-Sv)"
158,Sep 29,@,SDP,"L,0-3",8.0,6,3,3,0,4,2,0,1,4.26,33,116,61,0,0,2,0,27,2,0,1,1,0,0,1,2,Alfonso Marquez,"R.Wells (6-51-L), S.Maine (2)"
159,Sep 30,@,SDP,"W,1-0",9.0,3,0,0,0,4,8,0,0,4.23,32,131,78,0,0,1,1,28,0,0,1,0,0,0,1,4,Sam Holbrook,"T.Gorzelanny (5-65), A.Cashner (1), S.Marshall (2-W), C.Marmol (1-Sv)"
160,Oct 1,@,HOU,"W,2-0",9.0,7,0,0,0,1,5,0,0,4.20,33,132,78,0,0,0,0,32,2,0,0,0,0,0,2,3,David Rackley,"C.Coleman (5-66-W), A.Cashner (0-H), C.Marmol (0-Sv)"
161,Oct 2,@,HOU,"W,8-3",9.0,3,3,2,1,3,6,0,2,4.19,35,130,86,2,0,0,0,29,1,0,0,1,0,1,1,5,Lance Barrett,"C.Zambrano (4-59-W), J.Russell (5), J.Berg (5), S.Maine (2), M.Mateo (5)"
162,Oct 3,@,HOU,"L,0-4",8.0,9,4,3,1,2,10,1,0,4.18,34,153,97,1,0,1,0,31,0,1,0,1,0,0,1,4,Bob Davidson,"R.Dempster (4-46-L), T.Diamond (6), M.Mateo (0), S.Marshall (2)"
