team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
24,Apr 30,1,ARI,"W,11-5",9.0,11,5,5,0,1,14,1,0,3.88,39,152,103,0,0,0,0,38,5,0,0,0,0,0,0,4,Tim Welke,"R.Wells (4-44-W), J.Grabow (2-H), C.Zambrano (3), C.Marmol (3)"
25,May 1,1,ARI,"W,7-5",9.0,10,5,5,0,6,12,3,0,3.93,41,184,109,0,0,1,1,35,1,0,0,0,0,0,1,4,Sam Holbrook,"C.Silva (4-34), J.Gray (1), S.Marshall (1-W), C.Marmol (0-Sv)"
26,May 2,1,ARI,"W,10-5",9.0,10,5,5,0,5,12,1,0,3.97,41,152,90,0,0,0,0,36,2,1,0,0,0,0,1,3,Bill Welke,"T.Gorzelanny (4-64-W), J.Berg (2), J.Grabow (1)"
27,May 4,@,PIT,"L,2-3",8.0,8,3,3,0,1,7,2,0,3.95,32,120,83,0,0,0,0,30,0,0,0,1,0,0,0,2,Dale Scott,"R.Dempster (5-55-L), S.Marshall (2)"
28,May 5,@,PIT,"L,2-4",8.0,10,4,4,0,0,5,1,1,3.97,33,103,76,0,0,0,1,31,4,0,0,1,0,0,1,3,Jerry Meals,"T.Lilly (5-40-L), C.Zambrano (4), C.Marmol (3)"
29,May 6,@,PIT,"L,1-11",8.0,9,11,8,3,7,2,0,0,4.13,42,147,83,0,0,0,0,33,4,0,0,2,0,3,0,5,Mark Wegner,"R.Wells (5-18-L), J.Gray (4), J.Russell (6), J.Berg (3), J.Grabow (3)"
30,May 7,@,CIN,"W,14-7",9.0,16,7,7,0,2,10,1,0,4.23,44,163,110,0,0,0,0,42,4,0,0,0,0,1,2,5,Brian Runge,"C.Silva (5-33-W), J.Berg (0), S.Marshall (2), J.Russell (0), J.Grabow (0)"
31,May 8,@,CIN,"L,2-14",8.0,15,14,9,5,4,11,2,1,4.40,45,172,102,5,3,3,0,39,4,0,2,0,1,2,1,5,Jerry Layne,"T.Gorzelanny (5-50-L), E.Caridad (26), S.Marshall (0), C.Zambrano (2), J.Berg (0)"
32,May 9,@,CIN,"L,3-5",8.0,6,5,5,0,4,7,1,0,4.44,35,128,81,0,0,1,0,30,3,0,0,1,0,1,0,2,Sam Holbrook,"R.Dempster (4-49-L), J.Russell (1)"
33,May 10,1,FLA,"L,2-4",9.0,7,4,3,1,2,4,1,0,4.39,38,135,93,0,0,4,0,34,1,0,0,2,0,3,0,3,Bill Miller,"T.Lilly (4-54-L), C.Zambrano (1), C.Marmol (4)"
34,May 11,1,FLA,"L,2-3",9.0,4,3,3,0,1,9,2,0,4.35,33,116,76,0,0,0,0,32,0,0,0,0,0,2,1,2,Chad Fairchild,"R.Wells (4-69-L), E.Caridad (2)"
35,May 12,1,FLA,"W,4-3",9.0,10,3,3,0,4,6,0,0,4.31,39,150,103,4,0,0,0,35,0,0,0,0,0,0,3,4,Mike Reilly,"C.Silva (4-51-W), S.Marshall (3-H), C.Zambrano (1-H), C.Marmol (1-Sv)"
36,May 14,1,PIT,"L,6-10",9.0,16,10,10,0,6,12,2,1,4.47,50,208,121,1,0,2,0,42,3,0,1,0,1,0,0,6,Ted Barrett,"T.Gorzelanny (5-32), E.Caridad (2-BSv), S.Marshall (1), J.Grabow (6), C.Zambrano (1-L), J.Russell (4)"
37,May 15,1,PIT,"L,3-4",9.0,6,4,4,0,5,9,1,0,4.46,36,147,88,0,0,0,0,31,1,0,0,0,0,0,2,3,Tony Randazzo,"R.Dempster (5-61-L), J.Grabow (0), C.Marmol (2)"
38,May 16,1,PIT,"W,4-3",9.0,6,3,3,0,4,7,0,0,4.42,36,138,89,0,0,0,1,32,1,0,1,0,0,0,0,3,Paul Nauert,"T.Lilly (5-54), S.Marshall (1-W), C.Marmol (0-Sv)"
