Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100417,TEX,AL,11,NYA,AL,11,3,7,51,NYC21,44963.0,34,8,1,0,1,3,0,0,0,3,0,10,1,0,1,0,7,4,7,7,0,0,24,10,1,0,1,0,36,13,1,0,2,6,0,0,0,2,0,4,1,0,1,0,7,4,3,3,1,0,27,10,0,0,1,0,burna001,felds001,,felds001,burna001,11,Apr 17,1,TEX,"W,7-3",9.0,8,3,3,0,3,10,1,0,3.79,37,151,93,0,0,1,0,34,1,0,0,0,0,0,1,4,D.J. Reyburn,"A.Burnett (5-70-W), A.Aceves (2), D.Marte (1), J.Chamberlain (1)",,0.23529411764705882,0.3611111111111111,0.2972972972972973,0.39473684210526316,0.35294117647058826,0.5555555555555556,0.6502384737678856,0.9502923976608187,1.0,1.0,1.2222222222222223,0.2702702702702703,0.08108108108108109,0.30434782608695654
20100418,TEX,AL,12,NYA,AL,12,2,5,51,NYC21,44121.0,29,4,1,0,0,2,1,0,0,3,0,6,0,0,1,0,4,3,5,5,0,0,24,8,0,0,1,0,28,7,0,0,2,5,0,1,2,8,0,10,4,1,1,0,10,2,2,2,0,0,27,10,0,0,1,0,petta001,hardr001,rivem002,hardr001,petta001,12,Apr 18,1,TEX,"W,5-2",9.0,4,2,2,0,3,6,0,0,3.63,33,121,77,0,0,0,0,29,1,0,0,1,0,0,1,2,Mike DiMuro,"A.Pettitte (4-67-W), M.Rivera (2-Sv)",,0.13793103448275862,0.25,0.21875,0.4358974358974359,0.1724137931034483,0.4642857142857143,0.3911637931034483,0.9001831501831502,1.0,1.0,0.7777777777777778,0.18181818181818182,0.09090909090909091,0.17391304347826086
20100420,NYA,AL,13,OAK,AL,15,7,3,54,OAK01,19849.0,31,5,1,0,1,7,1,0,0,10,0,10,0,0,0,0,8,5,3,3,0,0,27,10,0,0,3,0,32,8,1,0,2,3,0,0,0,5,0,11,0,0,2,0,7,4,7,7,0,0,27,10,0,0,0,0,vazqj001,gonzg003,,vazqj001,gonzg003,13,Apr 20,@,OAK,"W,7-3",9.0,8,3,3,0,5,11,2,0,3.58,37,172,110,4,0,0,0,32,1,0,0,0,0,0,2,5,Ed Rapuano,"J.Vazquez (5-47-W), B.Logan (99-H), J.Chamberlain (2-H), D.Marte (2), M.Rivera (1)",,0.16129032258064516,0.25,0.36585365853658536,0.35135135135135137,0.2903225806451613,0.46875,0.6561762391817467,0.8201013513513513,1.0,1.0,1.4444444444444444,0.2972972972972973,0.13513513513513514,0.3157894736842105
20100421,NYA,AL,14,OAK,AL,16,3,1,54,OAK01,30211.0,34,8,0,2,0,3,0,0,0,4,0,7,1,1,0,0,8,3,1,1,0,0,27,4,0,0,0,0,30,3,0,0,0,1,0,0,1,2,0,10,0,0,0,0,5,3,3,3,1,0,27,11,0,0,1,0,hughp001,sheeb001,rivem002,hughp001,sheeb001,14,Apr 21,@,OAK,"W,3-1",9.0,3,1,1,0,2,10,0,1,3.39,33,137,96,2,1,0,0,30,0,0,0,0,0,0,0,3,Tom Hallion,"P.Hughes (5-80-W), J.Chamberlain (0-H), M.Rivera (0-Sv)",,0.23529411764705882,0.1,0.3157894736842105,0.18181818181818182,0.35294117647058826,0.1,0.6687306501547987,0.28181818181818186,1.0,1.0,0.5555555555555556,0.30303030303030304,0.06060606060606061,0.15
20100422,NYA,AL,15,OAK,AL,17,2,4,51,OAK01,21986.0,32,7,1,0,2,2,0,0,0,1,0,3,0,0,2,0,4,1,3,3,1,0,24,13,1,0,1,1,23,4,0,0,1,4,0,1,0,6,0,5,1,0,1,0,2,3,2,2,0,0,27,12,0,0,2,0,bradd002,sabac001,baila001,sabac001,bradd002,15,Apr 22,@,OAK,"L,2-4",8.0,4,4,3,1,6,5,1,0,3.39,30,97,51,1,1,1,0,23,0,0,0,0,1,0,1,1,Ron Kulpa,C.Sabathia (5-59-L),,0.21875,0.17391304347826086,0.24242424242424243,0.3333333333333333,0.4375,0.30434782608695654,0.6799242424242424,0.6376811594202898,0.0,1.0,1.25,0.16666666666666666,0.2,0.16666666666666666
20100423,NYA,AL,16,ANA,AL,18,4,6,51,ANA01,44002.0,35,8,2,0,1,4,0,0,2,3,0,6,2,0,0,0,9,3,6,6,0,0,24,13,1,0,2,0,32,12,4,0,1,5,0,0,2,2,0,4,1,2,2,0,6,4,4,4,0,0,27,9,1,0,0,0,rodnf001,chamj002,fuenb001,burna001,sante001,16,Apr 23,@,LAA,"L,4-6",8.0,12,6,6,0,2,4,1,2,3.59,36,129,71,1,0,1,2,32,4,0,0,0,0,0,2,3,Tim Tschida,"A.Burnett (5-40), D.Robertson (7), J.Chamberlain (1-L)",,0.22857142857142856,0.375,0.325,0.4444444444444444,0.37142857142857144,0.59375,0.6964285714285714,1.0381944444444444,0.0,0.0,1.75,0.1111111111111111,0.05555555555555555,0.4074074074074074
20100424,NYA,AL,17,ANA,AL,19,7,1,54,ANA01,43390.0,38,14,2,1,0,7,1,0,0,3,1,4,1,0,1,0,8,2,1,1,0,0,27,12,0,0,1,0,31,7,1,0,0,1,0,1,0,0,0,8,0,0,1,0,4,3,7,7,1,0,27,18,0,1,1,0,petta001,pinej001,,petta001,pinej001,17,Apr 24,@,LAA,"W,7-1",9.0,7,1,1,0,0,8,0,0,3.43,32,125,85,0,0,0,0,31,1,0,0,0,1,0,1,2,Bob Davidson,"A.Pettitte (5-74-W), D.Marte (3)",,0.3684210526315789,0.22580645161290322,0.4146341463414634,0.21875,0.47368421052631576,0.25806451612903225,0.8883183568677792,0.47681451612903225,1.0,0.0,0.7777777777777778,0.25,0.0,0.2916666666666667
20100425,NYA,AL,18,ANA,AL,20,4,8,51,ANA01,42284.0,28,3,1,0,2,4,1,0,1,5,0,5,0,0,1,0,4,5,8,8,0,0,24,7,0,0,1,0,30,7,1,0,2,8,0,0,2,6,0,5,2,0,1,0,6,5,4,4,0,0,27,9,0,0,1,0,kazms001,vazqj001,,vazqj001,kazms001,18,Apr 25,@,LAA,"L,4-8",8.0,7,8,8,0,6,5,2,2,3.72,38,150,87,2,0,2,0,30,1,0,0,0,0,0,1,5,Alfonso Marquez,"J.Vazquez (4-31-L), B.Logan (4), A.Aceves (7), D.Marte (0), S.Mitre (15)",,0.10714285714285714,0.23333333333333334,0.2647058823529412,0.39473684210526316,0.35714285714285715,0.4666666666666667,0.6218487394957983,0.8614035087719298,0.0,1.0,1.625,0.13157894736842105,0.15789473684210525,0.21739130434782608
20100427,NYA,AL,19,BAL,AL,20,4,5,51,BAL12,20536.0,36,9,0,0,1,3,0,0,0,4,0,9,0,1,0,0,9,4,4,4,0,0,24,8,2,0,1,0,31,7,1,0,0,5,0,0,1,6,0,4,1,0,1,0,9,4,2,2,0,0,27,8,2,0,0,0,casta002,robed002,simoa001,hughp001,millk004,19,Apr 27,@,BAL,"L,4-5",8.0,7,5,4,1,6,4,0,1,3.75,38,167,105,1,1,1,0,31,1,0,0,0,0,1,1,4,Wally Bell,"P.Hughes (5-59), B.Logan (1), D.Robertson (3-BL), A.Aceves (1)",,0.25,0.22580645161290322,0.325,0.3684210526315789,0.3333333333333333,0.25806451612903225,0.6583333333333333,0.6264855687606112,0.0,0.0,1.625,0.10526315789473684,0.15789473684210525,0.25925925925925924
20100428,NYA,AL,20,BAL,AL,21,8,3,54,BAL12,17248.0,40,15,1,1,1,7,0,2,1,1,0,7,0,0,0,0,9,3,3,3,0,0,27,16,0,0,2,0,35,11,3,0,1,3,0,1,0,2,0,5,0,0,2,0,8,5,7,7,0,0,27,9,1,0,0,0,sabac001,guthj001,,sabac001,guthj001,20,Apr 28,@,BAL,"W,8-3",9.0,11,3,3,0,2,5,1,0,3.72,38,125,83,2,0,0,0,35,3,0,0,0,1,0,2,3,Laz Diaz,"C.Sabathia (5-48-W), J.Chamberlain (4), S.Mitre (2)",,0.375,0.3142857142857143,0.38636363636363635,0.34210526315789475,0.525,0.4857142857142857,0.9113636363636364,0.8278195488721805,1.0,0.0,1.4444444444444444,0.13157894736842105,0.05263157894736842,0.3333333333333333
