,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
count,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,0.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1456.0,1455.0
mean,20140673.71840659,81.81112637362638,81.8228021978022,4.238324175824176,4.289148351648351,53.619505494505496,34975.132554945056,34.705357142857146,8.483516483516484,1.7156593406593406,0.1662087912087912,1.0206043956043955,4.027472527472527,0.29945054945054944,0.21703296703296704,0.38392857142857145,3.268543956043956,0.21497252747252749,8.49587912087912,0.5892857142857143,0.2403846153846154,0.709478021978022,0.009615384615384616,7.09065934065934,4.081730769230769,3.9326923076923075,3.927197802197802,0.35782967032967034,0.024725274725274724,26.064560439560438,9.541208791208792,0.632554945054945,0.0625,0.8262362637362637,0.0,32.957417582417584,8.208791208791208,1.6572802197802199,0.19917582417582416,0.9958791208791209,4.0625,0.30288461538461536,0.22321428571428573,0.40041208791208793,3.2623626373626373,0.25892857142857145,7.793269230769231,0.5638736263736264,0.20673076923076922,0.6971153846153846,0.008928571428571428,6.801510989010989,4.263049450549451,3.8736263736263736,3.860576923076923,0.3715659340659341,0.025412087912087912,27.554945054945055,10.002747252747254,0.6593406593406593,0.07142857142857142,0.8523351648351648,0.0013736263736263737,,0.2757971312255063,0.2876998773693999,0.30639507755674716,0.3156026598656421,0.38103406018721264,0.3953259339615535,0.6874291377439599,0.7109285938271956,0.5024054982817869
std,25847.42302764698,46.695364713649255,46.71391532724173,3.1979698791199973,3.045504663539344,5.162860101613811,7621.152694038713,4.450460280785493,3.4915316694884524,1.3917486261931895,0.4241648131076825,1.0958785231711021,3.103584126817643,0.5582493256426324,0.46263668541577685,0.6466322635327839,2.109054170380454,0.4999749814366824,2.881148023708447,0.899939996908865,0.48330575910114404,0.785657167215039,0.09761902459287151,2.750324312901934,1.3095667126525685,2.9003381537833315,2.8883321346925412,0.6327655666807402,0.15970309675559372,2.914347883613512,3.048466176494091,0.804803831129648,0.24775625423392947,0.8978928271351806,0.0,4.1841921373187345,3.2531800432022933,1.3667587337198688,0.4450869724569196,1.072612917413157,2.9438400360881705,0.5606990510536807,0.48372506259305803,0.6365498459315658,2.079482071474984,0.5278393542526827,2.837012857008701,0.9036237671404328,0.4591745458400859,0.8279598096955278,0.1011410113297427,2.684771445643572,1.3521656450204542,3.0004292078703356,2.99537984618725,0.6538192472089248,0.15742723786397178,2.42773272469314,3.041973158138942,0.8643504471886989,0.2731657711666385,0.8636421161392358,0.03704972740139058,,0.09505729085764827,0.10442680517240846,0.08001277712503108,0.08580417183533032,0.1511636804625138,0.16469238626934812,0.2163546406288326,0.2355494220690716,0.5001661214793169
min,20100405.0,1.0,1.0,0.0,0.0,31.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,,0.037037037037037035,0.0,0.06896551724137931,0.03571428571428571,0.03571428571428571,0.0,0.10467980295566502,0.03571428571428571,0.0
25%,20120519.75,41.0,41.75,2.0,2.0,51.0,30866.75,32.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,27.0,8.0,0.0,0.0,0.0,0.0,,0.20689655172413793,0.21428571428571427,0.25,0.2571428571428571,0.2727272727272727,0.27586206896551724,0.5377391492302573,0.5450638138138139,0.0
50%,20140629.0,82.0,82.0,4.0,4.0,54.0,36663.0,34.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,7.0,4.0,3.0,3.0,0.0,0.0,27.0,9.0,0.0,0.0,1.0,0.0,32.0,8.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,7.0,4.0,3.0,3.0,0.0,0.0,27.0,10.0,0.0,0.0,1.0,0.0,,0.2727272727272727,0.28125,0.3076923076923077,0.3170731707317073,0.3684210526315789,0.3793103448275862,0.6754385964912281,0.7016101953601953,1.0
75%,20160820.25,122.0,122.0,6.0,6.0,54.0,40793.0,37.0,11.0,2.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0,0.0,9.0,5.0,5.0,5.0,1.0,0.0,27.0,11.0,1.0,0.0,1.0,0.0,35.0,10.0,2.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0,0.0,8.0,5.0,5.0,5.0,1.0,0.0,27.0,12.0,1.0,0.0,1.0,0.0,,0.3333333333333333,0.35714285714285715,0.36585365853658536,0.3783783783783784,0.4722222222222222,0.5,0.8253267502617396,0.8698183662179605,1.0
max,20181001.0,163.0,163.0,18.0,17.0,108.0,53904.0,63.0,26.0,7.0,3.0,7.0,18.0,3.0,3.0,4.0,12.0,3.0,24.0,5.0,4.0,4.0,1.0,21.0,10.0,17.0,17.0,4.0,2.0,54.0,23.0,4.0,2.0,7.0,0.0,65.0,22.0,9.0,2.0,6.0,17.0,3.0,3.0,3.0,14.0,4.0,26.0,7.0,3.0,6.0,2.0,18.0,9.0,18.0,18.0,5.0,1.0,54.0,22.0,7.0,2.0,4.0,1.0,,0.6875,0.8,0.5333333333333333,0.5625,0.9565217391304348,1.0,1.4468292682926829,1.4772727272727273,1.0
